problem,depth_min,depth_max,depth_mean,depth_stdev,depth_q25,depth_q50,depth_q75,depth_gini,operation-children_min,operation-children_max,operation-children_mean,operation-children_stdev,operation-children_q25,operation-children_q50,operation-children_q75,operation-children_gini,assembly-nodes-per-manufacturing-nodes,operations_no,machine_no,machine_operations_min,machine_operations_max,machine_operations_mean,machine_operations_stdev,machine_operations_q25,machine_operations_q50,machine_operations_q75,machine_operations_gini,machine_fraction_stdev_min,machine_fraction_stdev_max,machine_fraction_stdev_mean,machine_fraction_stdev_stdev,machine_fraction_stdev_q25,machine_fraction_stdev_q50,machine_fraction_stdev_q75,machine_fraction_stdev_gini,machine_fraction_mean_min,machine_fraction_mean_max,machine_fraction_mean_mean,machine_fraction_mean_stdev,machine_fraction_mean_q25,machine_fraction_mean_q50,machine_fraction_mean_q75,machine_fraction_mean_gini,operation_machines_min,operation_machines_max,operation_machines_mean,operation_machines_stdev,operation_machines_q25,operation_machines_q50,operation_machines_q75,operation_machines_gini,levels_min,levels_max,levels_mean,levels_stdev,levels_q25,levels_q50,levels_q75,levels_gini,operation_mean_acctual_execution_time_min,operation_mean_acctual_execution_time_max,operation_mean_acctual_execution_time_mean,operation_mean_acctual_execution_time_stdev,operation_mean_acctual_execution_time_q25,operation_mean_acctual_execution_time_q50,operation_mean_acctual_execution_time_q75,operation_mean_acctual_execution_time_gini,operation_stdev_acctual_execution_time_min,operation_stdev_acctual_execution_time_max,operation_stdev_acctual_execution_time_mean,operation_stdev_acctual_execution_time_stdev,operation_stdev_acctual_execution_time_q25,operation_stdev_acctual_execution_time_q50,operation_stdev_acctual_execution_time_q75,operation_stdev_acctual_execution_time_gini,machine_mean_acctual_execution_time_min,machine_mean_acctual_execution_time_max,machine_mean_acctual_execution_time_mean,machine_mean_acctual_execution_time_stdev,machine_mean_acctual_execution_time_q25,machine_mean_acctual_execution_time_q50,machine_mean_acctual_execution_time_q75,machine_mean_acctual_execution_time_gini,machine_stev_acctual_execution_time_min,machine_stev_acctual_execution_time_max,machine_stev_acctual_execution_time_mean,machine_stev_acctual_execution_time_stdev,machine_stev_acctual_execution_time_q25,machine_stev_acctual_execution_time_q50,machine_stev_acctual_execution_time_q75,machine_stev_acctual_execution_time_gini
100_2_4_173,3,3,3,0.0,3.0,3.0,3.0,-3.031648904854797e-17,2,100,2.9702970297029703,9.751364464057893,2.0,2.0,2.0,0.3234323323454349,0.505,301,7,0.0033222591362126247,0.33222591362126247,0.2852396772662554,0.12431389643825082,0.33222591362126247,0.33222591362126247,0.33222591362126247,0.14119319984648193,0.0,7.824607964359516,4.471204551062581,4.182428884065143,0.0,7.824607964359516,7.824607964359516,0.42857141898628404,0.0,7.142857142857143,4.081632653061225,3.818017741606063,0.0,7.142857142857143,7.142857142857143,0.42857141807142884,0.14285714285714285,0.5714285714285714,0.2852396772662553,0.20219823871011766,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.3333313738447601,0.006644518272425249,0.009966777408637873,0.00830564784053156,0.002349191964074908,0.005813953488372094,0.00830564784053156,0.010797342192691028,0.09999879601449593,0,812,184.84717607973423,238.9264250077812,33.0,71.0,250.0,0.6172459991648638,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,459.12,276.25,228.65648638660278,46.94,459.12,459.12,0.38570652862573007,0,239.66202128089557,145.35178963379386,118.03412210252769,28.62746438600033,239.66202128089557,239.66202128089557,0.37924323181845665
100_2_6_187,3,3,3,0.0,3.0,3.0,3.0,-3.031648904854797e-17,2,100,2.9702970297029703,9.751364464057893,2.0,2.0,2.0,0.3234323323454349,0.505,301,9,0.0033222591362126247,0.33222591362126247,0.2956810631229236,0.10963455149501662,0.33222591362126247,0.33222591362126247,0.33222591362126247,0.10986263450463454,0.0,5.750546327852952,3.833697551901968,2.875273163926476,0.0,5.750546327852952,5.750546327852952,0.33333332463850746,0.0,6.944444444444445,4.62962962962963,3.4722222222222223,0.0,6.944444444444445,6.944444444444445,0.3333333261333335,0.1111111111111111,0.6666666666666666,0.2956810631229236,0.2621088279575599,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.41683761581530426,0.006644518272425249,0.009966777408637873,0.00830564784053156,0.002349191964074908,0.005813953488372094,0.00830564784053156,0.010797342192691028,0.09999879601449593,0,1222,268.4385382059801,360.4123939459575,34.5,77.0,526.5,0.6438953485973424,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,704.2,481.00000000000006,335.13525195061175,51.9,704.2,704.2,0.3120566719917955,0,323.34123701680176,222.23904529803508,151.90598887743704,30.051992790752635,323.34123701680176,323.34123701680176,0.30689000982436815
100_4_2_203,3,3,3,0.0,3.0,3.0,3.0,0.0,4,100,4.9504950495049505,9.552357026015896,4.0,4.0,4.0,0.19009900606099012,0.2525,501,7,0.001996007984031936,0.1996007984031936,0.17137154262902765,0.07468759047487723,0.1996007984031936,0.1996007984031936,0.1996007984031936,0.1411931669562383,0.0,5.832118435198043,1.6663195529137267,2.845782403177128,0.0,0.0,5.832118435198043,0.7142856714196464,0.0,2.380952380952381,0.6802721088435374,1.1617858011292062,0.0,0.0,2.380952380952381,0.7142856092857297,0.14285714285714285,0.2857142857142857,0.17137154262902765,0.0571571125645939,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.13317782604695014,0.003992015968063872,0.005988023952095809,0.00499001996007984,0.0014113907808114725,0.003493013972055888,0.00499001996007984,0.006487025948103792,0.09999799604015938,0,398,84.48902195608783,89.1311975642733,32.0,59.0,88.0,0.4941619507374953,0,0,0.0,0.0,0.0,0.0,0.0,-3.455610686763813e-17,0,225.6,92.69857142857143,92.57100201621301,47.57,50.54,225.6,0.4555471646675353,0,108.7279061499741,47.06118288136998,43.3611794873971,26.3410728940968,28.530763124116476,108.7279061499741,0.42786988525452796
100_4_4_216,3,3,3,0.0,3.0,3.0,3.0,0.0,4,100,4.9504950495049505,9.552357026015896,4.0,4.0,4.0,0.19009900606099012,0.2525,501,9,0.001996007984031936,0.1996007984031936,0.17764471057884232,0.0658682634730539,0.1996007984031936,0.1996007984031936,0.1996007984031936,0.10986260981641602,0.0,5.750546327852952,2.555798367934645,3.0308040310554496,0.0,0.0,5.750546327852952,0.5555555338184912,0.0,4.166666666666666,1.8518518518518516,2.1960261528947074,0.0,0.0,4.166666666666666,0.5555555255555572,0.1111111111111111,0.4444444444444444,0.17764471057884232,0.13336659598405246,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.29977481312182114,0.003992015968063872,0.005988023952095809,0.00499001996007984,0.0014113907808114725,0.003493013972055888,0.00499001996007984,0.006487025948103792,0.09999799604015938,0,815,137.66666666666666,202.51051001532406,33.5,62.0,93.0,0.6187173284889859,0,0,0.0,0.0,0.0,0.0,0.0,-3.455610686763813e-17,0,483.79,237.89777777777778,233.8464921042102,49.33,54.09,483.79,0.4710758639037974,0,229.3143180541644,114.68737170427346,109.12411808722477,28.3725058791723,29.23544963142375,229.3143180541644,0.4570148412119136
100_4_6_225,3,3,3,0.0,3.0,3.0,3.0,0.0,4,100,4.9504950495049505,9.552357026015896,4.0,4.0,4.0,0.19009900606099012,0.2525,501,11,0.001996007984031936,0.1996007984031936,0.18163672654690619,0.05958008605428862,0.1996007984031936,0.1996007984031936,0.1996007984031936,0.08991004041016658,0.0,4.7913297881339085,2.6134526117094046,2.5021903752871832,0.0,4.7913297881339085,4.7913297881339085,0.45454543715292817,0.0,4.545454545454546,2.479338842975207,2.373786217577698,0.0,4.545454545454546,4.545454545454546,0.4545454362121219,0.09090909090909091,0.5454545454545454,0.18163672654690619,0.18186353997825333,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.39979958088796597,0.003992015968063872,0.005988023952095809,0.00499001996007984,0.0014113907808114725,0.003493013972055888,0.00499001996007984,0.006487025948103792,0.09999799604015938,0,1221,167.04990019960078,281.6530765054591,28.0,58.0,91.5,0.6809677014299947,0,0,0.0,0.0,0.0,0.0,0.0,-3.455610686763813e-17,0,645.23,369.37,317.2312166228286,46.66,645.23,645.23,0.41204132018879364,0,329.8969797872167,190.23913804050596,160.65682488853327,27.45648531510517,329.8969797872167,329.8969797872167,0.40585620148638585
100_4_8_240,3,3,3,0.0,3.0,3.0,3.0,0.0,4,100,4.9504950495049505,9.552357026015896,4.0,4.0,4.0,0.19009900606099012,0.2525,501,13,0.001996007984031936,0.1996007984031936,0.18440042990941194,0.05480570801027713,0.1996007984031936,0.1996007984031936,0.1996007984031936,0.07609039619229008,0.0,3.960989619572594,2.4375320735831347,2.005725060175461,0.0,3.960989619572594,3.960989619572594,0.38461536883650016,0.0,4.487179487179487,2.7613412228796843,2.272171656918483,0.0,4.487179487179487,4.487179487179487,0.38461537068681373,0.07692307692307693,0.6153846153846154,0.18440042990941197,0.21543834735885398,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.46651052229763657,0.003992015968063872,0.005988023952095809,0.00499001996007984,0.0014113907808114725,0.003493013972055888,0.00499001996007984,0.006487025948103792,0.09999799604015938,0,1630,229.10179640718562,416.59324000368326,30.0,65.0,95.0,0.7165711786396536,0,0,0.0,0.0,0.0,0.0,0.0,-3.455610686763813e-17,0,940.79,594.8715384615384,455.62066350649917,52.144999999999996,940.79,940.79,0.36009982358992043,0,483.4029896515333,306.69202476315695,232.77942051571497,29.94766370559234,483.4029896515333,483.4029896515333,0.35697401212341895
150_6_4_416,3,3,3,0.0,3.0,3.0,3.0,-4.7907538249557283e-17,6,150,6.953642384105961,11.718553806304696,6.0,6.0,6.0,0.13623462434166775,0.16777777777777778,1051,11,0.0009514747859181732,0.142721217887726,0.12983305942392528,0.042745185863070204,0.142721217887726,0.142721217887726,0.142721217887726,0.0902427988839745,0.0,6.586989430086109,2.395268883667676,3.3233007046087772,0.0,0.0,6.586989430086109,0.6363636097961134,0.0,4.090909090909091,1.487603305785124,2.0639658236298257,0.0,0.0,4.090909090909091,0.6363635935858615,0.09090909090909091,0.36363636363636365,0.12983305942392526,0.09544223197641837,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.25701209514912743,0.0019029495718363464,0.0028544243577545195,0.002378686964795433,0.0006727942732507588,0.0016650808753568029,0.002378686964795433,0.003092293054234063,0.09999579617672871,0,814,107.89628924833492,167.60165840618322,29.0,57.0,89.0,0.5952797417530791,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,448.98,191.1757575757576,204.94943010460415,49.52,53.193333333333335,448.98,0.5055979523788819,0,237.16803631531891,102.03912139834874,107.47113455839646,28.380846331262696,29.304172000660508,237.16803631531891,0.4971647476979154
150_8_2_444,3,3,3,0.0,3.0,3.0,3.0,0.0,8,150,8.940397350993377,11.555796114550464,8.0,8.0,8.0,0.1044885933860955,0.12583333333333332,1351,11,0.0007401924500370096,0.11102886750555144,0.10100262431868649,0.033253286707688214,0.11102886750555144,0.11102886750555144,0.11102886750555144,0.09024277904380514,0.0,4.312196809320517,0.7840357835128213,1.7443694974549946,0.0,0.0,0.0,0.8181817138266687,0.0,1.3636363636363638,0.2479338842975207,0.5516180692881072,0.0,0.0,0.0,0.8181814881819511,0.09090909090909091,0.18181818181818182,0.10100262431868649,0.028571292631261277,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08883780003485184,0.0014803849000740192,0.0022205773501110288,0.001850481125092524,0.0005233951008042542,0.0012953367875647667,0.001850481125092524,0.0024056254626202813,0.09999459629201635,0,408,71.97483345669875,73.21887605406403,31.0,57.0,84.0,0.4436023632921427,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,232.44666666666666,80.06363636363636,76.92361356067669,51.266666666666666,51.84,54.193333333333335,0.3929147264310137,0,114.04611905143248,41.26208387009724,36.96150460527524,27.787139123543124,28.358069212932296,29.324764866097418,0.3706272792283203
150_8_6_466,3,3,3,0.0,3.0,3.0,3.0,0.0,8,150,8.940397350993377,11.555796114550464,8.0,8.0,8.0,0.1044885933860955,0.12583333333333332,1351,15,0.0007401924500370096,0.11102886750555144,0.10367628916851714,0.02847641345101925,0.11102886750555144,0.11102886750555144,0.11102886750555144,0.06619063899635257,0.0,4.972451580988469,1.9889806323953878,2.521493166062366,0.0,0.0,4.972451580988469,0.5999999698337952,0.0,3.5714285714285716,1.4285714285714286,1.811044831561107,0.0,0.0,3.5714285714285716,0.599999958000003,0.06666666666666667,0.4,0.10367628916851715,0.10476140631462469,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.31733827048302304,0.0014803849000740192,0.0022205773501110288,0.001850481125092524,0.0005233951008042542,0.0012953367875647667,0.001850481125092524,0.0024056254626202813,0.09999459629201635,0,1201,118.1939304219097,227.46433043972453,28.0,55.0,82.0,0.6448319097591243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,665.2266666666667,292.7111111111111,315.08803992823994,48.626666666666665,52.11333333333334,665.2266666666667,0.5162239091262015,0,351.490348453451,155.56814113842614,165.73687417636057,27.31927477165558,28.629825970882926,351.490348453451,0.5110830881260019
200_6_4_575,3,3,3,0.0,3.0,3.0,3.0,0.0,6,200,6.965174129353234,13.683704947656807,6.0,6.0,6.0,0.13788201649944162,0.1675,1401,11,0.0007137758743754461,0.14275517487508924,0.12984232042047889,0.042827093198411825,0.14275517487508924,0.14275517487508924,0.14275517487508924,0.09040927115410452,0.0,8.782652573448145,3.1936918448902345,4.431067606145036,0.0,0.0,8.782652573448145,0.636363616437994,0.0,5.454545454545455,1.9834710743801656,2.751954431506435,0.0,0.0,5.454545454545455,0.6363636042803048,0.09090909090909091,0.36363636363636365,0.12984232042047889,0.09544034171456488,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.2570447271081047,0.0014275517487508922,0.0021413276231263384,0.0017844396859386154,0.0005047157610182353,0.0012491077801570307,0.0017844396859386154,0.0023197715917202,0.09999439631403055,0,814,107.36830835117773,165.69728412484787,30.0,57.0,88.5,0.5917111313730726,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,443.33,189.28227272727273,201.98257806508505,50.02,53.02,443.33,0.5030494704294278,0,236.14592009579468,101.65997985374668,106.96173406546902,28.620328720690857,29.64140116992756,236.14592009579468,0.4964089368195908
