problem,depth_min,depth_max,depth_mean,depth_stdev,depth_q25,depth_q50,depth_q75,depth_gini,operation-children_min,operation-children_max,operation-children_mean,operation-children_stdev,operation-children_q25,operation-children_q50,operation-children_q75,operation-children_gini,assembly-nodes-per-manufacturing-nodes,operations_no,machine_no,machine_operations_min,machine_operations_max,machine_operations_mean,machine_operations_stdev,machine_operations_q25,machine_operations_q50,machine_operations_q75,machine_operations_gini,machine_fraction_stdev_min,machine_fraction_stdev_max,machine_fraction_stdev_mean,machine_fraction_stdev_stdev,machine_fraction_stdev_q25,machine_fraction_stdev_q50,machine_fraction_stdev_q75,machine_fraction_stdev_gini,machine_fraction_mean_min,machine_fraction_mean_max,machine_fraction_mean_mean,machine_fraction_mean_stdev,machine_fraction_mean_q25,machine_fraction_mean_q50,machine_fraction_mean_q75,machine_fraction_mean_gini,operation_machines_min,operation_machines_max,operation_machines_mean,operation_machines_stdev,operation_machines_q25,operation_machines_q50,operation_machines_q75,operation_machines_gini,levels_min,levels_max,levels_mean,levels_stdev,levels_q25,levels_q50,levels_q75,levels_gini,operation_mean_acctual_execution_time_min,operation_mean_acctual_execution_time_max,operation_mean_acctual_execution_time_mean,operation_mean_acctual_execution_time_stdev,operation_mean_acctual_execution_time_q25,operation_mean_acctual_execution_time_q50,operation_mean_acctual_execution_time_q75,operation_mean_acctual_execution_time_gini,operation_stdev_acctual_execution_time_min,operation_stdev_acctual_execution_time_max,operation_stdev_acctual_execution_time_mean,operation_stdev_acctual_execution_time_stdev,operation_stdev_acctual_execution_time_q25,operation_stdev_acctual_execution_time_q50,operation_stdev_acctual_execution_time_q75,operation_stdev_acctual_execution_time_gini,machine_mean_acctual_execution_time_min,machine_mean_acctual_execution_time_max,machine_mean_acctual_execution_time_mean,machine_mean_acctual_execution_time_stdev,machine_mean_acctual_execution_time_q25,machine_mean_acctual_execution_time_q50,machine_mean_acctual_execution_time_q75,machine_mean_acctual_execution_time_gini,machine_stev_acctual_execution_time_min,machine_stev_acctual_execution_time_max,machine_stev_acctual_execution_time_mean,machine_stev_acctual_execution_time_stdev,machine_stev_acctual_execution_time_q25,machine_stev_acctual_execution_time_q50,machine_stev_acctual_execution_time_q75,machine_stev_acctual_execution_time_gini
P1,5,9,6.8,1.1464230084422218,6.0,7.0,7.0,0.08627450853517878,1,3,1.2916666666666667,0.6509676376351031,1.0,1.0,1.0,0.19018815731876632,0.16666666666666666,63,11,0.015873015873015872,0.15873015873015872,0.0909090909090909,0.06110220883041884,0.031746031746031744,0.12698412698412698,0.15873015873015872,0.34343396565698125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,2.461565096939864e-18,0.031746031746031744,0.14285714285714285,0.0873015873015873,0.038880789567986955,0.051587301587301584,0.0873015873015873,0.12301587301587301,0.23863609028956925,0,15,6.0476190476190474,3.8580814696851737,3.0,5.0,8.0,0.3565387600920619,0,0,0,0.0,0.0,0.0,0.0,-4.2682436243602945e-18,0,8.0,5.629545454545455,2.140730546502122,5.125,5.7,6.9,0.17631298545397714,0,4.949747468305833,2.9886893239955263,1.8766595341030698,0.7071067811865476,4.022160834399561,4.408325456829762,0.3183616615996619
P10,5,10,7.193548387096774,1.2759141778533978,6.0,7.0,8.0,0.09518298724908358,1,8,1.326086956521739,1.028267460526418,1.0,1.0,1.0,0.22362792326455155,0.11818181818181818,123,11,0.008130081300813009,0.17073170731707318,0.09090909090909091,0.06430664913407134,0.024390243902439025,0.12195121951219512,0.14634146341463414,0.37102693850747037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,-7.74931736645197e-18,0.016260162601626018,0.08130081300813008,0.04878048780487805,0.022265144614031143,0.02845528455284553,0.04878048780487805,0.06910569105691057,0.24691307407511168,0,15,6.569105691056911,3.8370098091643032,3.0,6.0,9.0,0.3291274199273839,0,0,0,0.0,0.0,0.0,0.0,-5.598737175320909e-18,0,8.857142857142858,6.197316374715756,2.3708943851300215,5.777777777777778,6.733333333333333,7.333333333333333,0.1782713247760359,0,4.5122382602924525,2.856669988737463,1.6788537450738061,1.1547005383792515,3.4565328072533967,4.273541610273245,0.30309123890430406
P11,4,9,6.2682926829268295,1.118579238228174,5.0,6.0,7.0,0.096801744683271,1,5,1.380952380952381,0.8248654013855414,1.0,1.0,1.0,0.22922822642206117,0.19672131147540983,146,11,0.00684931506849315,0.1506849315068493,0.0909090909090909,0.0569021795046427,0.0410958904109589,0.1232876712328767,0.14383561643835616,0.3225401184312745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0136986301369863,0.06164383561643835,0.03767123287671233,0.01677732700536423,0.02226027397260274,0.03767123287671233,0.053082191780821915,0.23863573016697082,0,15,6.623287671232877,3.8989661069162214,3.0,6.0,9.0,0.3324432242875439,0,0,0,0.0,0.0,0.0,0.0,-5.086330326916422e-17,0,8.5,6.188555065349323,2.178598486765582,5.85,6.7894736842105265,7.090909090909091,0.1425935184542088,0,4.658929888464486,3.1717046408386795,1.363974977464105,2.5099800796022267,3.5876249290552864,4.227307638453803,0.21636045829936515
P12,5,11,7.2926829268292686,1.436034512799473,6.0,7.0,8.0,0.1071865553456187,1,5,1.3448275862068966,0.8246574864845359,1.0,1.0,1.0,0.22004861316879898,0.17164179104477612,157,11,0.006369426751592357,0.15286624203821655,0.09090909090909091,0.05921107009902769,0.03184713375796178,0.12738853503184713,0.14012738853503184,0.3358421320212518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,5.07344654683173e-17,0.012738853503184714,0.07006369426751592,0.041401273885350316,0.019284397159856633,0.02388535031847134,0.041401273885350316,0.0589171974522293,0.25384554071154014,0,15,6.3630573248407645,3.902912893517495,3.0,6.0,9.0,0.34630808608854213,0,0,0,0.0,0.0,0.0,0.0,8.797129072055696e-17,0,9.75,6.163025939804596,2.347147649260332,5.818181818181818,6.7,7.0,0.16785494084880773,0,4.55557315310014,3.164908153842806,1.4014344821237208,2.340126166724879,3.7297763852619865,4.0,0.22009530206926564
P13,4,11,6.4423076923076925,1.613830682598559,5.0,6.0,7.0,0.13231917131003992,1,10,1.3642857142857143,1.2007834030704347,1.0,1.0,1.0,0.23765892050069248,0.1566265060240964,192,11,0.005208333333333333,0.16145833333333334,0.09090909090909091,0.0615978129633568,0.03125,0.11458333333333333,0.15104166666666666,0.3598480890155869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.010416666666666666,0.057291666666666664,0.033854166666666664,0.015769012260924437,0.01953125,0.03385416666666667,0.048177083333333336,0.25384540402588346,0,15,6.713541666666667,3.714443854749626,3.0,6.0,9.0,0.3143223058947596,0,0,0,0.0,0.0,0.0,0.0,-2.9410866224107654e-17,0,8.88888888888889,6.37952727293156,2.3370290042043464,5.666666666666667,7.0,7.482758620689655,0.16232332937776528,0,4.2933553816217485,3.0981912414950874,1.2028366786089384,2.943920288775949,3.3708038864015375,3.7003118371709824,0.1782461823129211
P14,5,12,7.538461538461538,1.8413713821820832,6.0,7.0,8.75,0.1334379888107519,1,10,1.3269230769230769,1.0665800729946069,1.0,1.0,1.0,0.21890869154167628,0.15555555555555556,208,11,0.004807692307692308,0.15865384615384615,0.09090909090909091,0.059795576988888606,0.03365384615384615,0.12980769230769232,0.13942307692307693,0.338286341171738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.009615384615384616,0.057692307692307696,0.03365384615384615,0.01594531149209327,0.019230769230769232,0.03365384615384615,0.04807692307692308,0.25973948794292423,0,15,6.346153846153846,3.8505140651072813,3.0,6.0,9.0,0.3436043069399415,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10.1,6.135425157682211,2.4124290535878843,5.481481481481482,6.428571428571429,7.2,0.17873159257482102,0,4.172157301891209,2.992267662248414,1.3368308499133785,2.29906813420444,3.499120227218839,4.003559669655247,0.22059615663062251
P15,4,13,6.982758620689655,1.7319634868152451,6.0,7.0,8.0,0.13201362092765503,1,11,1.3518518518518519,1.1227308224391697,1.0,1.0,1.0,0.23267938974452362,0.14583333333333334,220,11,0.004545454545454545,0.1590909090909091,0.0909090909090909,0.06195839713232268,0.031818181818181815,0.1318181818181818,0.14545454545454545,0.34875994694257073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.00909090909090909,0.05909090909090909,0.03409090909090909,0.016388869433927224,0.019318181818181818,0.03409090909090909,0.04886363636363637,0.26481403802696996,0,15,6.445454545454545,4.001338505813661,3.0,6.0,9.0,0.3517438078521603,0,0,0,0.0,0.0,0.0,0.0,0.0,0,9.0,6.2202586206896555,2.344677528298666,5.6875,6.5,7.428571428571429,0.17072537307580105,0,4.413520892288454,3.262694902785438,1.3342636893805502,2.2253945610567474,3.838997685048332,4.091924041882011,0.19335694552094776
P16,5,13,7.322033898305085,1.8886291138986435,6.0,7.0,8.0,0.13857501380108428,1,11,1.347305389221557,1.1189934359906042,1.0,1.0,1.0,0.23143045521127356,0.1414141414141414,226,11,0.004424778761061947,0.16371681415929204,0.09090909090909091,0.06249328059622932,0.02654867256637168,0.12389380530973451,0.14601769911504425,0.3604179462594868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,-4.896835458252616e-17,0.008849557522123894,0.05752212389380531,0.0331858407079646,0.015953766705592873,0.018805309734513276,0.0331858407079646,0.047566371681415934,0.26481401684191075,0,15,6.384955752212389,4.074587286289127,3.0,5.5,10.0,0.361105483768506,0,0,0,0.0,0.0,0.0,0.0,0.0,0,9.181818181818182,6.296058226171863,2.419703493785453,5.6,6.5,8.0,0.18073494506176666,0,4.876653158852497,3.3281990054133925,1.326245114256768,2.8284271247461903,3.557760202382625,4.1690144900421995,0.19530859401697295
P17,4,10,6.4,1.3844373104863459,5.0,6.0,7.5,0.11549999819531251,1,5,1.3287671232876712,0.8342460754835261,1.0,1.0,1.0,0.21437648436079246,0.16666666666666666,98,16,0.01020408163265306,0.11224489795918367,0.0625,0.03797508993046611,0.022959183673469385,0.08163265306122448,0.09948979591836735,0.32780559796002284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,8.878070790006767e-18,0.02040816326530612,0.10204081632653061,0.061224489795918366,0.02794502844414113,0.03571428571428571,0.061224489795918366,0.08673469387755102,0.24691317695539122,0,15,6.214285714285714,3.7943256603110447,3.0,5.0,9.0,0.34099057793828375,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10.0,6.1689551767676765,2.276441444076164,4.96875,6.0625,7.499999999999999,0.1875182257605171,0,5.001817851359825,2.6780050497259684,1.7942841993859087,0.7216878364870322,3.4782193086521658,4.113205320025356,0.35909585753230383
P18,5,11,7.111111111111111,1.310705427603288,6.0,7.0,8.0,0.09374999868164062,1,5,1.3132530120481927,0.8253264076149937,1.0,1.0,1.0,0.20868794696969972,0.15789473684210525,110,16,0.00909090909090909,0.12727272727272726,0.0625,0.04104355007494869,0.020454545454545454,0.06818181818181818,0.09772727272727275,0.3545448872736349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,8.221142466536844e-18,0.01818181818181818,0.1,0.05909090909090909,0.027524094128159017,0.03409090909090909,0.05909090909090908,0.08409090909090909,0.25384572426108204,0,15,6.1,3.654706654978612,3.0,5.5,8.25,0.3368242730313323,0,0,0,0.0,0.0,0.0,0.0,-4.200163374814711e-18,0,9.0,6.24978354978355,2.1532787128515447,5.404166666666668,6.336363636363636,7.875,0.1711390410380883,0,4.949747468305833,3.146330969428623,1.3317550672447227,2.1683405268593576,3.197227449016464,4.376806291551404,0.227326011004237
