problem,depth_min,depth_max,depth_mean,depth_stdev,depth_q25,depth_q50,depth_q75,depth_gini,operation-children_min,operation-children_max,operation-children_mean,operation-children_stdev,operation-children_q25,operation-children_q50,operation-children_q75,operation-children_gini,assembly-nodes-per-manufacturing-nodes,operations_no,machine_no,machine_operations_min,machine_operations_max,machine_operations_mean,machine_operations_stdev,machine_operations_q25,machine_operations_q50,machine_operations_q75,machine_operations_gini,machine_fraction_stdev_min,machine_fraction_stdev_max,machine_fraction_stdev_mean,machine_fraction_stdev_stdev,machine_fraction_stdev_q25,machine_fraction_stdev_q50,machine_fraction_stdev_q75,machine_fraction_stdev_gini,machine_fraction_mean_min,machine_fraction_mean_max,machine_fraction_mean_mean,machine_fraction_mean_stdev,machine_fraction_mean_q25,machine_fraction_mean_q50,machine_fraction_mean_q75,machine_fraction_mean_gini,operation_machines_min,operation_machines_max,operation_machines_mean,operation_machines_stdev,operation_machines_q25,operation_machines_q50,operation_machines_q75,operation_machines_gini,levels_min,levels_max,levels_mean,levels_stdev,levels_q25,levels_q50,levels_q75,levels_gini,operation_mean_acctual_execution_time_min,operation_mean_acctual_execution_time_max,operation_mean_acctual_execution_time_mean,operation_mean_acctual_execution_time_stdev,operation_mean_acctual_execution_time_q25,operation_mean_acctual_execution_time_q50,operation_mean_acctual_execution_time_q75,operation_mean_acctual_execution_time_gini,operation_stdev_acctual_execution_time_min,operation_stdev_acctual_execution_time_max,operation_stdev_acctual_execution_time_mean,operation_stdev_acctual_execution_time_stdev,operation_stdev_acctual_execution_time_q25,operation_stdev_acctual_execution_time_q50,operation_stdev_acctual_execution_time_q75,operation_stdev_acctual_execution_time_gini,machine_mean_acctual_execution_time_min,machine_mean_acctual_execution_time_max,machine_mean_acctual_execution_time_mean,machine_mean_acctual_execution_time_stdev,machine_mean_acctual_execution_time_q25,machine_mean_acctual_execution_time_q50,machine_mean_acctual_execution_time_q75,machine_mean_acctual_execution_time_gini,machine_stev_acctual_execution_time_min,machine_stev_acctual_execution_time_max,machine_stev_acctual_execution_time_mean,machine_stev_acctual_execution_time_stdev,machine_stev_acctual_execution_time_q25,machine_stev_acctual_execution_time_q50,machine_stev_acctual_execution_time_q75,machine_stev_acctual_execution_time_gini
la01.fjs,6,6,6,0.0,6.0,6.0,6.0,2.3684757463924045e-17,1,10,1.2195121951219512,1.4055638569974547,1.0,1.0,1.0,0.17560974169756213,0.02,51,6,0.0196078431372549,0.6078431372549019,0.4673202614379085,0.22128792445169235,0.4019607843137255,0.5392156862745099,0.5784313725490196,0.1829836438277424,0.0,1.330204662615661,1.0193907380331284,0.5035539528295689,0.8587782018658834,1.2008513334616926,1.2621007877828256,0.190683631043581,0.0,2.3666666666666667,1.7666666666666666,0.8786353054595519,1.4749999999999999,2.033333333333333,2.2416666666666667,0.1991614143032323,0.16666666666666666,0.8333333333333334,0.4673202614379085,0.18263384085570797,0.3333333333333333,0.5,0.6666666666666666,0.21308099101409647,0.0392156862745098,0.11764705882352941,0.0784313725490196,0.03100272215851352,0.049019607843137254,0.0784313725490196,0.10784313725490197,0.19999974500032508,0,98,55.86274509803921,26.631574949929746,34.0,55.0,79.0,0.27128885903851896,0,0,0.0,0.0,0.0,0.0,0.0,-1.3026266009293356e-17,0,56.6551724137931,45.92125092940814,22.590587559991857,38.333333333333336,55.735449735449734,56.38153503893215,0.18141807917236322,0,27.99269785149202,21.236506014704375,10.543575922061152,17.658418900471133,24.434955732997636,27.257075640456083,0.197124852073397
la02.fjs,6,6,6,0.0,6.0,6.0,6.0,2.3684757463924045e-17,1,10,1.2195121951219512,1.4055638569974547,1.0,1.0,1.0,0.17560974169756213,0.02,51,6,0.0196078431372549,0.5686274509803921,0.4411764705882353,0.20926263324636488,0.3578431372549019,0.5196078431372548,0.553921568627451,0.1888888460740838,0.0,1.1340683890802667,0.8932556896688142,0.4406583644001508,0.7416198487095663,1.067436512625318,1.1098417913219873,0.18868904096384548,0.0,1.9333333333333333,1.511111111111111,0.7488262420219665,1.225,1.7833333333333332,1.9333333333333333,0.19485292828179154,0.16666666666666666,0.8333333333333334,0.4411764705882353,0.16607738963027216,0.3333333333333333,0.5,0.5,0.2021786034103227,0.0392156862745098,0.11764705882352941,0.0784313725490196,0.03100272215851352,0.049019607843137254,0.0784313725490196,0.10784313725490197,0.19999974500032508,0,99,51.8235294117647,27.942588199630286,27.0,50.0,76.0,0.3066776458735479,0,0,0.0,0.0,0.0,0.0,0.0,-1.3026266009293356e-17,0,56.61538461538461,42.98484683685833,21.443614509462908,34.30555555555556,50.01785714285714,55.79177718832891,0.20319960384349656,0,28.29013981199122,22.325148752852265,11.00358084321496,18.770206503230405,26.386308146355688,27.96843075907565,0.18778019256176948
la03.fjs,6,6,6,0.0,6.0,6.0,6.0,2.3684757463924045e-17,1,10,1.2195121951219512,1.4055638569974547,1.0,1.0,1.0,0.17560974169756213,0.02,51,6,0.0196078431372549,0.5882352941176471,0.4215686274509804,0.20630209313823744,0.3137254901960784,0.48039215686274506,0.5588235294117647,0.21576222272100248,0.0,1.0954451150103324,0.8302563163770373,0.42167444662824854,0.5889609494694874,1.0103440337789658,1.0839538660535657,0.21325821838552947,0.0,1.8333333333333335,1.3666666666666667,0.6937819061732104,0.9750000000000001,1.6666666666666665,1.7583333333333333,0.21409212525613178,0.16666666666666666,0.8333333333333334,0.4215686274509804,0.16449566416599487,0.3333333333333333,0.3333333333333333,0.5,0.20732629220954377,0.0392156862745098,0.11764705882352941,0.0784313725490196,0.03100272215851352,0.049019607843137254,0.0784313725490196,0.10784313725490197,0.19999974500032508,0,91,46.72549019607843,26.026200976225898,23.0,50.0,66.0,0.31704968952906104,0,0,0.0,0.0,0.0,0.0,0.0,-1.3026266009293356e-17,0,52.12,39.72396825396825,19.705816127905432,32.28571428571429,47.00476190476191,49.905,0.1969710284166327,0,27.14961232274528,20.982793018952684,10.453051407028465,16.755577429620264,24.78540478862366,26.91407781135869,0.20080492954999324
la04.fjs,6,6,6,0.0,6.0,6.0,6.0,2.3684757463924045e-17,1,10,1.2195121951219512,1.4055638569974547,1.0,1.0,1.0,0.17560974169756213,0.02,51,6,0.0196078431372549,0.5490196078431373,0.39215686274509803,0.18807182444363607,0.3137254901960784,0.45098039215686275,0.49019607843137253,0.19999994900001303,0.0,0.9530652303663865,0.6856504864813281,0.35476765983598585,0.5123475382979799,0.7689247460664149,0.9431599165851808,0.22974858183202274,0.0,1.6333333333333333,1.1111111111111112,0.5752938057748953,0.825,1.25,1.4833333333333334,0.23166664581666857,0.16666666666666666,0.6666666666666666,0.39215686274509803,0.14462030521243746,0.3333333333333333,0.3333333333333333,0.5,0.1977123678839998,0.0392156862745098,0.11764705882352941,0.0784313725490196,0.03100272215851352,0.049019607843137254,0.0784313725490196,0.10784313725490197,0.19999974500032508,0,98,49.15686274509804,32.769725387326396,15.0,53.0,77.0,0.37526298835725924,0,0,0.0,0.0,0.0,0.0,0.0,-1.3026266009293356e-17,0,55.142857142857146,40.646092132505174,20.334033118461882,31.6875,48.30434782608695,51.191964285714285,0.20429537515306231,0,34.78259006210681,26.73703523578223,13.17569397733492,23.05819455136025,31.43979807930007,32.70747185965627,0.18536495399379446
la05.fjs,6,6,6,0.0,6.0,6.0,6.0,2.3684757463924045e-17,1,10,1.2195121951219512,1.4055638569974547,1.0,1.0,1.0,0.17560974169756213,0.02,51,6,0.0196078431372549,0.5490196078431373,0.39215686274509803,0.19686118271390013,0.2696078431372549,0.4509803921568627,0.5343137254901962,0.23055549676390388,0.0,1.0580380165402585,0.7701384850516191,0.399913394721336,0.5229125165837972,0.9224777394157011,1.0299750487548076,0.23069104934223475,0.0,1.7666666666666666,1.2666666666666666,0.6562519841239847,0.875,1.5,1.6916666666666667,0.2309941338104046,0.16666666666666666,0.8333333333333334,0.39215686274509803,0.1909727421264462,0.16666666666666666,0.3333333333333333,0.5,0.26601300406210876,0.0392156862745098,0.11764705882352941,0.0784313725490196,0.03100272215851352,0.049019607843137254,0.0784313725490196,0.10784313725490197,0.19999974500032508,0,97,44.76470588235294,25.93884209851636,24.0,40.0,65.0,0.3273298799727011,0,0,0.0,0.0,0.0,0.0,0.0,-1.3026266009293356e-17,0,55.111111111111114,42.09950617283951,20.84308199712424,35.35714285714286,48.909629629629634,53.170634920634924,0.19424724501368282,0,26.17705283713381,20.592698903176583,10.137505390848988,17.55408309577385,24.248660054987372,25.651545467472808,0.1855571261704704
la06.fjs,6,6,6,0.0,6.0,6.0,6.0,-1.0526558872855135e-17,1,15,1.2295081967213115,1.7925163190605435,1.0,1.0,1.0,0.18360654244371705,0.013333333333333334,76,6,0.013157894736842105,0.5526315789473685,0.40131578947368424,0.2001990007197755,0.2894736842105263,0.46710526315789475,0.5328947368421053,0.22131142026338377,0.0,1.6261747890200624,1.1341983103434383,0.6006308981573891,0.7256462636849996,1.3497487987275023,1.5405355402591883,0.24291766767226486,0.0,2.6333333333333333,1.8444444444444446,0.9560722117466202,1.275,2.166666666666667,2.458333333333333,0.23192769826898024,0.16666666666666666,0.8333333333333334,0.4013157894736842,0.16594874616813418,0.3333333333333333,0.3333333333333333,0.5,0.22123951921716437,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.020804458290581442,0.03289473684210526,0.05263157894736842,0.07236842105263158,0.19999962000072202,0,98,52.526315789473685,27.079868874232275,31.75,51.0,77.0,0.2946880597701593,0,0,0.0,0.0,0.0,0.0,0.0,2.932939568055057e-18,0,55.9,44.26680062224527,21.863990819133306,35.8421052631579,53.71428571428571,54.83706896551725,0.18804856010427232,0,27.200117144756526,21.78583071462845,10.72267853262339,18.650046079031547,25.810638403339475,27.070175959408992,0.18393803228201844
la07.fjs,6,6,6,0.0,6.0,6.0,6.0,-1.0526558872855135e-17,1,15,1.2295081967213115,1.7925163190605435,1.0,1.0,1.0,0.18360654244371705,0.013333333333333334,76,6,0.013157894736842105,0.5394736842105263,0.40131578947368424,0.19635705788900354,0.29934210526315785,0.48026315789473684,0.5098684210526316,0.2067394748962474,0.0,1.4308117354223169,1.1156188381291738,0.550076940731645,0.9270248108869579,1.3348940065576484,1.3755130831466935,0.18724835953663455,0.0,2.533333333333333,1.8888888888888888,0.9436728874554564,1.5,2.2,2.433333333333333,0.20490194993656347,0.16666666666666666,0.8333333333333334,0.4013157894736842,0.1746480727570127,0.3333333333333333,0.3333333333333333,0.5,0.2308742594105671,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.020804458290581442,0.03289473684210526,0.05263157894736842,0.07236842105263158,0.19999962000072202,0,97,49.276315789473685,22.79040656896992,31.25,51.5,64.5,0.2626554699188048,0,0,0.0,0.0,0.0,0.0,0.0,2.932939568055057e-18,0,54.55263157894737,41.615287201744195,20.630726636517817,34.75,48.031450577663676,53.1953007518797,0.19557583142142831,0,24.23945562721739,17.96222061489425,9.065811203382118,13.419296591416533,21.321184701097113,23.30919131035322,0.21326012839689645
la08.fjs,6,6,6,0.0,6.0,6.0,6.0,-1.0526558872855135e-17,1,15,1.2295081967213115,1.7925163190605435,1.0,1.0,1.0,0.18360654244371705,0.013333333333333334,76,6,0.013157894736842105,0.5394736842105263,0.4276315789473684,0.20396858972784968,0.3684210526315789,0.5,0.5296052631578947,0.1786324368599703,0.0,1.552775293180282,1.2076954384360523,0.5960886084572132,1.0254572150996841,1.416308298077565,1.5083221641560631,0.18953969976604507,0.0,2.7333333333333334,2.1222222222222222,1.046617125508372,1.7999999999999998,2.5,2.6333333333333337,0.18848166651133508,0.16666666666666666,0.8333333333333334,0.4276315789473684,0.1685131631649114,0.3333333333333333,0.3333333333333333,0.5,0.21086364839614988,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.020804458290581442,0.03289473684210526,0.05263157894736842,0.07236842105263158,0.19999962000072202,0,98,50.328947368421055,30.990918307527767,19.25,52.5,76.75,0.3507430333588264,0,0,0.0,0.0,0.0,0.0,0.0,2.932939568055057e-18,0,55.025,43.2210189489875,21.333393051105123,35.98026315789474,51.28213579433091,54.07861842105263,0.1899089658326323,0,32.41157134922259,25.407268778267348,12.509470751537457,21.43314413464445,30.212139391837837,31.375570605190568,0.18530538108900277
la09.fjs,6,6,6,0.0,6.0,6.0,6.0,-1.0526558872855135e-17,1,15,1.2295081967213115,1.7925163190605435,1.0,1.0,1.0,0.18360654244371705,0.013333333333333334,76,6,0.013157894736842105,0.5394736842105263,0.41885964912280704,0.20014133971606807,0.35855263157894735,0.4868421052631579,0.5197368421052633,0.18237342940892648,0.0,1.5925172247455006,1.1853896784172595,0.5906111854360628,0.9544304584410538,1.383878749879254,1.5077463572449825,0.20172509123461813,0.0,2.7666666666666666,2.033333333333333,1.0152175464730042,1.7,2.3,2.616666666666667,0.20127503563856838,0.16666666666666666,0.8333333333333334,0.418859649122807,0.16885983899131118,0.3333333333333333,0.3333333333333333,0.5,0.22079079876187713,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.020804458290581442,0.03289473684210526,0.05263157894736842,0.07236842105263158,0.19999962000072202,0,99,56.0921052631579,26.976620807199676,38.5,60.5,78.75,0.27322925491741296,0,0,0.0,0.0,0.0,0.0,0.0,2.932939568055057e-18,0,58.432432432432435,46.50107354070769,22.856399041816452,40.104166666666664,55.24601524601525,57.06542518127884,0.1817591979084097,0,27.59336700076713,21.887873611334232,10.764906080742357,18.71535086788672,26.04236709754525,26.919846236415886,0.18328096867649532
la10.fjs,6,6,6,0.0,6.0,6.0,6.0,-1.0526558872855135e-17,1,15,1.2295081967213115,1.7925163190605435,1.0,1.0,1.0,0.18360654244371705,0.013333333333333334,76,6,0.013157894736842105,0.5789473684210527,0.44078947368421056,0.21261301378045716,0.35855263157894735,0.5131578947368421,0.5592105263157895,0.19320061951932882,0.0,1.6691647944739043,1.31356046464,0.6463776142589015,1.1089127558108438,1.5718744916283647,1.6097152003896582,0.18383288827878744,0.0,2.933333333333333,2.2888888888888888,1.1305193824406878,1.9,2.716666666666667,2.8583333333333334,0.19093850298488743,0.16666666666666666,0.8333333333333334,0.4407894736842105,0.17364064076349273,0.3333333333333333,0.5,0.5,0.21609055060988402,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.020804458290581442,0.03289473684210526,0.05263157894736842,0.07236842105263158,0.19999962000072202,0,97,52.89473684210526,28.79147047182246,27.5,57.0,77.0,0.31052631520240903,0,0,0.0,0.0,0.0,0.0,0.0,2.932939568055057e-18,0,53.87179487179487,43.38432863432863,21.286812652406883,37.666666666666664,51.83216783216783,52.87866300366301,0.1769476220034132,0,30.92141011077707,24.246732230697646,11.95799668100792,20.317831717835585,28.676137894977586,30.317551422448904,0.18891151878392623
