problem,depth_min,depth_max,depth_mean,depth_stdev,depth_q25,depth_q50,depth_q75,depth_gini,operation-children_min,operation-children_max,operation-children_mean,operation-children_stdev,operation-children_q25,operation-children_q50,operation-children_q75,operation-children_gini,assembly-nodes-per-manufacturing-nodes,operations_no,machine_no,machine_operations_min,machine_operations_max,machine_operations_mean,machine_operations_stdev,machine_operations_q25,machine_operations_q50,machine_operations_q75,machine_operations_gini,machine_fraction_stdev_min,machine_fraction_stdev_max,machine_fraction_stdev_mean,machine_fraction_stdev_stdev,machine_fraction_stdev_q25,machine_fraction_stdev_q50,machine_fraction_stdev_q75,machine_fraction_stdev_gini,machine_fraction_mean_min,machine_fraction_mean_max,machine_fraction_mean_mean,machine_fraction_mean_stdev,machine_fraction_mean_q25,machine_fraction_mean_q50,machine_fraction_mean_q75,machine_fraction_mean_gini,operation_machines_min,operation_machines_max,operation_machines_mean,operation_machines_stdev,operation_machines_q25,operation_machines_q50,operation_machines_q75,operation_machines_gini,levels_min,levels_max,levels_mean,levels_stdev,levels_q25,levels_q50,levels_q75,levels_gini,operation_mean_acctual_execution_time_min,operation_mean_acctual_execution_time_max,operation_mean_acctual_execution_time_mean,operation_mean_acctual_execution_time_stdev,operation_mean_acctual_execution_time_q25,operation_mean_acctual_execution_time_q50,operation_mean_acctual_execution_time_q75,operation_mean_acctual_execution_time_gini,operation_stdev_acctual_execution_time_min,operation_stdev_acctual_execution_time_max,operation_stdev_acctual_execution_time_mean,operation_stdev_acctual_execution_time_stdev,operation_stdev_acctual_execution_time_q25,operation_stdev_acctual_execution_time_q50,operation_stdev_acctual_execution_time_q75,operation_stdev_acctual_execution_time_gini,machine_mean_acctual_execution_time_min,machine_mean_acctual_execution_time_max,machine_mean_acctual_execution_time_mean,machine_mean_acctual_execution_time_stdev,machine_mean_acctual_execution_time_q25,machine_mean_acctual_execution_time_q50,machine_mean_acctual_execution_time_q75,machine_mean_acctual_execution_time_gini,machine_stev_acctual_execution_time_min,machine_stev_acctual_execution_time_max,machine_stev_acctual_execution_time_mean,machine_stev_acctual_execution_time_stdev,machine_stev_acctual_execution_time_q25,machine_stev_acctual_execution_time_q50,machine_stev_acctual_execution_time_q75,machine_stev_acctual_execution_time_gini
bom_wide_2_10_10_5_No1,3,3,3,0.0,3.0,3.0,3.0,-4.349817643558881e-18,1,7,5.0,2.2038926600773587,3.25,5.5,7.0,0.22499999550000008,0.20588235294117646,41,10,0.1951219512195122,0.4146341463414634,0.3097560975609756,0.08684357849253062,0.2134146341463415,0.3170731707317073,0.39634146341463417,0.1503936522351201,0.10929064207170001,0.22360679774997896,0.17011610217072087,0.043807387110541156,0.11545084971874736,0.17596758450147393,0.20485639053515706,0.1357154015774297,0.22222222222222224,0.5111111111111111,0.38666666666666666,0.10004114379931336,0.30833333333333335,0.4,0.475,0.13678157382085734,0.1,0.5,0.3097560975609756,0.14283710660885793,0.2,0.3,0.45,0.25696169926010826,0.04878048780487805,0.07317073170731707,0.06097560975609756,0.01724650685820847,0.04268292682926829,0.06097560975609756,0.07926829268292683,0.09999983600026893,3745.3333333333335,7310.0,5543.908943089431,839.6399790245549,5038.25,5538.0,6103.625,0.08359144135140938,0.0,2554.06969364581,1211.8020399162829,818.747279765112,19.207510418069,1506.0663995986365,1800.8341971592831,0.36693242238908275,4723.076923076923,6753.5,5598.550472485032,587.1947168644145,5095.779411764706,5630.868055555556,5862.008021390374,0.05465381139464233,1353.0827243647593,1803.8396349374932,1486.4428587070468,150.31642765355267,1371.4132653130957,1427.328503302641,1602.7538838267951,0.04933501674611754
bom_wide_2_10_10_5_No2,3,3,3,0.0,3.0,3.0,3.0,-4.349817643558881e-18,1,7,5.0,2.2038926600773587,3.25,5.5,7.0,0.22499999550000008,0.20588235294117646,41,10,0.1951219512195122,0.36585365853658536,0.2829268292682927,0.05771785154243528,0.25,0.2804878048780488,0.34146341463414637,0.10689651394174936,0.0927960727138337,0.2006932429798716,0.1479826612899432,0.03670063681943802,0.11804732496493837,0.15170525722988737,0.175,0.13310062841362053,0.2111111111111111,0.4,0.31777777777777777,0.06311528416041716,0.2527777777777778,0.34444444444444444,0.36666666666666664,0.10419577140692507,0.1,0.5,0.2829268292682927,0.13583526608430935,0.2,0.2,0.4,0.26450789641762534,0.04878048780487805,0.07317073170731707,0.06097560975609756,0.01724650685820847,0.04268292682926829,0.06097560975609756,0.07926829268292683,0.09999983600026893,3666.0,7668.0,5771.59918699187,944.4091577979619,5223.2,5552.5,6424.75,0.09054674230187786,0.0,2549.1199461775036,1050.4428207394005,832.0552064212112,7.253039331817359,1260.7713908556143,1700.2494059811715,0.4389425957851215,4934.181818181818,6575.0,5694.414924242425,520.3942619599142,5308.448051948051,5649.091666666667,6147.026785714286,0.04922819330563271,927.393316579521,1694.661811260717,1385.5789415605689,239.89058688969374,1218.3877084274532,1431.0552022294412,1601.9539331091905,0.0916298380026804
bom_wide_2_10_30_15_No1,3,3,3,0.0,3.0,3.0,3.0,-4.349817643558881e-18,1,7,5.0,2.2038926600773587,3.25,5.5,7.0,0.22499999550000008,0.20588235294117646,41,30,0.12195121951219512,0.4634146341463415,0.24796747967479676,0.07416850774563637,0.1951219512195122,0.24390243902439024,0.2926829268292683,0.15989064590202373,0.03532629976156584,0.07449887315796287,0.05437399991564491,0.01029681283649943,0.04655603367263955,0.05448337194839356,0.06282006171006763,0.10590208077623137,0.06206896551724138,0.22413793103448276,0.10720306513409962,0.03647056019744888,0.07557471264367817,0.10459770114942529,0.12902298850574712,0.17893716927828976,0.03333333333333333,0.5,0.24796747967479674,0.1522149029949661,0.1,0.23333333333333334,0.4166666666666667,0.3414632769292838,0.04878048780487805,0.07317073170731707,0.06097560975609756,0.01724650685820847,0.04268292682926829,0.06097560975609756,0.07926829268292683,0.09999983600026893,4267.0,6908.8,5599.94171939172,695.2360200016427,5085.307692307692,5659.333333333333,6149.592857142858,0.06992676953384906,0.0,2539.9275580220788,1465.8036782521872,451.5957532419928,1340.8993794715739,1504.93780602389,1669.840756916487,0.1486776712322877,4689.75,6388.571428571428,5666.566144805487,520.2464956924391,5216.5142857142855,5612.333333333334,6194.1,0.05162414651940262,967.8785047721641,1868.8642463883168,1544.0650355708513,215.0949415911348,1377.8498906509665,1587.2414275024398,1689.2214742454048,0.07562230670452504
bom_wide_2_10_30_15_No2,3,3,3,0.0,3.0,3.0,3.0,-4.349817643558881e-18,1,7,5.0,2.2038926600773587,3.25,5.5,7.0,0.22499999550000008,0.20588235294117646,41,30,0.12195121951219512,0.4634146341463415,0.24796747967479676,0.07416850774563637,0.1951219512195122,0.24390243902439024,0.2926829268292683,0.15989064590202373,0.03532629976156584,0.07449887315796287,0.05437399991564491,0.01029681283649943,0.04655603367263955,0.05448337194839356,0.06282006171006763,0.10590208077623137,0.06206896551724138,0.22413793103448276,0.10720306513409962,0.03647056019744888,0.07557471264367817,0.10459770114942529,0.12902298850574712,0.17893716927828976,0.03333333333333333,0.5,0.24796747967479674,0.1522149029949661,0.1,0.23333333333333334,0.4166666666666667,0.3414632769292838,0.04878048780487805,0.07317073170731707,0.06097560975609756,0.01724650685820847,0.04268292682926829,0.06097560975609756,0.07926829268292683,0.09999983600026893,4269.333333333333,6905.4,5601.607595317961,693.75932575629,5100.670329670329,5665.642857142857,6152.426190476191,0.06973290241825582,0.0,2544.170198709198,1461.9664743358376,448.7850247003674,1338.8769494317012,1503.9638847614217,1668.5238550360527,0.14771573093458215,4701.25,6379.5,5669.434427609428,512.8676765929293,5214.1,5615.333333333334,6173.025,0.050935683161142796,967.4041037746325,1867.696595121534,1545.928883749019,214.53812889759368,1387.1966444540114,1586.588961134092,1687.2389464730923,0.07522415592062918
bom_wide_2_11_13_5_No1,3,3,3,0.0,3.0,3.0,3.0,0.0,11,11,11.0,0.0,11.0,11.0,11.0,-8.971499107331072e-18,0.09917355371900827,133,13,0.17293233082706766,0.2857142857142857,0.22729901677270098,0.036726051954095285,0.19548872180451127,0.23308270676691728,0.2593984962406015,0.08886275205777884,0.1588634096634295,0.28279199200214544,0.1956905816649785,0.03638292112800728,0.16603000028143777,0.19254065143890484,0.20949754717222996,0.0943483909283969,0.3653846153846154,0.6474358974358975,0.5177514792899408,0.09148770132788259,0.4294871794871795,0.532051282051282,0.5961538461538461,0.09714283838041175,0.07692307692307693,0.38461538461538464,0.227299016772701,0.11237914100723842,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.2782910252827311,0.015037593984962405,0.022556390977443608,0.018796992481203006,0.005316592339748477,0.013157894736842105,0.018796992481203006,0.02443609022556391,0.09999946800283023,1471.2,4290.0,2659.837218045113,600.1010438553042,2233.375,2657.5,3029.25,0.12600667668596882,0.0,1418.87655089041,591.4705882577207,452.2399045927518,4.414213562373095,685.8921197972754,982.494418923945,0.43049928855346525,2246.0434782608695,2832.1935483870966,2620.0693746678517,187.18422911831587,2507.713125,2615.735294117647,2818.220634920635,0.038142421423512825,283.80230795396994,1389.0520796002925,905.5799917124992,301.93245782615753,703.1269139435294,879.080285262621,1147.4973005296847,0.17827568869954338
bom_wide_2_11_13_5_No2,3,3,3,0.0,3.0,3.0,3.0,-1.812608959375876e-17,1,7,4.375,2.5035688811888406,1.5,5.0,6.75,0.29642856465306133,0.2,36,13,0.1388888888888889,0.3333333333333333,0.21581196581196582,0.06123078155894894,0.16666666666666666,0.19444444444444445,0.2638888888888889,0.15232285401886944,0.06099703546913532,0.14484136487558028,0.09785707731359468,0.02599691089829157,0.07118297429304234,0.09908130989723604,0.11888326743163095,0.14534316449567022,0.06410256410256411,0.20512820512820515,0.12721893491124261,0.042909325748380744,0.09615384615384616,0.11538461538461539,0.15064102564102566,0.1782944334956934,0.07692307692307693,0.38461538461538464,0.21581196581196582,0.11308244651897409,0.09615384615384616,0.15384615384615385,0.3076923076923077,0.2863034976996335,0.05555555555555555,0.08333333333333333,0.06944444444444445,0.019641855032959652,0.04861111111111112,0.06944444444444445,0.09027777777777776,0.09999985600020735,1240.0,4041.6,1865.0819444444444,611.656948805313,1390.4,1737.6,2194.0,0.16808881894616703,0.0,1413.353458976204,443.5381100656411,513.9211788859966,0.0,0.0,895.0043246479715,0.6024093596118546,1418.5714285714287,2754.0,2038.390762015762,435.99076273358145,1593.4166666666665,2016.25,2474.9910714285716,0.11675762211439278,341.2916641232247,1417.5044301602056,882.7388154546802,380.4985432460471,466.97192102292655,926.3066061361262,1185.0553696279055,0.2347378466059417
bom_wide_2_7_20_10_No1,3,3,3,0.0,3.0,3.0,3.0,-1.639083534199177e-17,1,7,5.125,2.100170061141308,3.5,6.0,6.75,0.19817072784057116,0.2,42,20,0.16666666666666666,0.42857142857142855,0.2857142857142857,0.0740939624014761,0.22023809523809523,0.2619047619047619,0.369047619047619,0.14124995056251732,0.058614610078203906,0.10861972939588409,0.08739422984688498,0.016044626284877298,0.07421774507174068,0.0879395158182335,0.10639066070031644,0.10168460514341368,0.11052631578947368,0.28421052631578947,0.20105263157894737,0.05346568963293519,0.1611842105263158,0.1881578947368421,0.25,0.1467931207049923,0.05,0.5,0.2857142857142857,0.1555030053374839,0.1,0.3,0.41250000000000003,0.3071427496428948,0.047619047619047616,0.07142857142857142,0.05952380952380952,0.016835875742536845,0.041666666666666664,0.05952380952380952,0.07738095238095237,0.09999983200028223,2715.0,4350.0,2920.2380952380954,310.5324938438307,2765.0,2820.0,2891.25,0.041993283247450636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.603548154810663e-18,2816.6666666666665,3030.4545454545455,2918.2170634920635,64.36142391375387,2849.3973214285716,2921.996527777778,2972.244318181818,0.012325102245474756,54.31390245600108,516.380296981896,277.96360560531156,151.9328447034338,119.650634615148,296.5227123007462,412.5871649455702,0.3033323812051524
bom_wide_2_7_20_10_No2,3,3,3,0.0,3.0,3.0,3.0,0.0,1,7,3.125,2.03100960115899,1.25,3.0,4.5,0.3249999896000003,0.3,26,20,0.19230769230769232,0.46153846153846156,0.2865384615384616,0.07938862463591406,0.23076923076923078,0.2692307692307693,0.34615384615384615,0.14798652553490382,0.047909515103232894,0.09725772117156241,0.06639808510063146,0.012494707883064221,0.05648484488808634,0.06294432702073768,0.0742376286499467,0.10003818369636183,0.06315789473684211,0.18157894736842106,0.12342105263157895,0.03227420244500468,0.10197368421052633,0.11447368421052631,0.15592105263157893,0.14179092989221034,0.05,0.5,0.2865384615384615,0.15268116603411983,0.15,0.3,0.41250000000000003,0.2971088276481324,0.07692307692307693,0.11538461538461539,0.09615384615384616,0.02719641466102106,0.06730769230769232,0.09615384615384616,0.125,0.09999989600010815,1697.5,5524.0,3727.1046398046396,1052.168177254542,3055.9375,3564.0,4766.875,0.15743039716263077,0.0,2258.410281591899,1203.841836525222,664.1173069310987,880.0489633975387,1287.969258958943,1723.805179180283,0.30132677333851876,2843.8333333333335,4637.0,3776.4199242424243,553.8304700502126,3244.0083333333337,3918.083333333333,4194.847222222223,0.08039682565102747,1137.3841088704867,2718.6224943280863,1670.4538859521892,399.5733306423998,1330.5274052579275,1609.9607325927518,1989.1232514829067,0.12720694686315062
bom_wide_2_7_20_5_No1,3,3,3,0.0,3.0,3.0,3.0,-1.639083534199177e-17,1,7,5.125,2.100170061141308,3.5,6.0,6.75,0.19817072784057116,0.2,42,19,0.047619047619047616,0.38095238095238093,0.16416040100250626,0.07138214401292288,0.11904761904761904,0.16666666666666666,0.19047619047619047,0.21695446808101068,0.020183289180193957,0.08429862952268066,0.05586774008693175,0.01655642963814957,0.04421937107456873,0.05415744793973963,0.06946232094788292,0.16253376746114226,0.008771929824561403,0.12573099415204678,0.05447830101569714,0.022903664833693955,0.04678362573099415,0.05263157894736842,0.06725146198830409,0.2016053391228311,0.05263157894736842,0.2631578947368421,0.16416040100250626,0.07184800010835672,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2437294044195798,0.047619047619047616,0.07142857142857142,0.05952380952380952,0.016835875742536845,0.041666666666666664,0.05952380952380952,0.07738095238095237,0.09999983200028223,3915.0,4775.0,4076.5476190476193,183.93227841510932,3958.75,3982.5,4177.5,0.021616513906378785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.603548154810663e-18,3948.3333333333335,4272.5,4056.8550020885546,82.63376239645014,3995.3125,4046.1111111111113,4092.5,0.010849908378470528,25.166114784235834,358.7362076326652,163.3560509779876,113.0922136127366,73.64894206074291,119.87592792232348,288.369028206171,0.3759254008207924
bom_wide_2_7_20_5_No2,3,3,3,0.0,3.0,3.0,3.0,0.0,1,7,3.125,2.03100960115899,1.25,3.0,4.5,0.3249999896000003,0.3,26,19,0.038461538461538464,0.3076923076923077,0.15182186234817815,0.06596485154088526,0.11538461538461539,0.15384615384615385,0.19230769230769232,0.23438581053016017,0.020183289180193957,0.08073315672077583,0.039413835208001305,0.018322564510309385,0.02425729468223562,0.036726438904590805,0.04851458936447124,0.2459241039333923,0.008771929824561403,0.07017543859649122,0.028008618036318867,0.016260038216155404,0.014619883040935672,0.02631578947368421,0.04093567251461988,0.30826957606771543,0.05263157894736842,0.2631578947368421,0.15182186234817813,0.06711617756759462,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.2405126620951471,0.07692307692307693,0.11538461538461539,0.09615384615384616,0.02719641466102106,0.06730769230769232,0.09615384615384616,0.125,0.09999989600010815,1047.0,6650.0,3675.373076923077,1232.189486790593,2827.525,3673.2,4610.0,0.1836021530644121,0.0,2542.0488783656383,1124.9739565352434,863.9424909499502,10.960155108391486,1239.9307242127707,1820.2563250780647,0.4284621630199649,1998.0,5475.0,3610.396052631579,1058.3870887571827,2671.3333333333335,3640.6666666666665,4524.0,0.1638631187590744,0.0,2472.7524138093568,1324.0498318824737,690.2458636404609,770.1186055840144,1487.948485811445,1901.33251519384,0.28727733161121743
