problem,depth_min,depth_max,depth_mean,depth_stdev,depth_q25,depth_q50,depth_q75,depth_gini,operation-children_min,operation-children_max,operation-children_mean,operation-children_stdev,operation-children_q25,operation-children_q50,operation-children_q75,operation-children_gini,assembly-nodes-per-manufacturing-nodes,operations_no,machine_no,machine_operations_min,machine_operations_max,machine_operations_mean,machine_operations_stdev,machine_operations_q25,machine_operations_q50,machine_operations_q75,machine_operations_gini,machine_fraction_stdev_min,machine_fraction_stdev_max,machine_fraction_stdev_mean,machine_fraction_stdev_stdev,machine_fraction_stdev_q25,machine_fraction_stdev_q50,machine_fraction_stdev_q75,machine_fraction_stdev_gini,machine_fraction_mean_min,machine_fraction_mean_max,machine_fraction_mean_mean,machine_fraction_mean_stdev,machine_fraction_mean_q25,machine_fraction_mean_q50,machine_fraction_mean_q75,machine_fraction_mean_gini,operation_machines_min,operation_machines_max,operation_machines_mean,operation_machines_stdev,operation_machines_q25,operation_machines_q50,operation_machines_q75,operation_machines_gini,levels_min,levels_max,levels_mean,levels_stdev,levels_q25,levels_q50,levels_q75,levels_gini,operation_mean_acctual_execution_time_min,operation_mean_acctual_execution_time_max,operation_mean_acctual_execution_time_mean,operation_mean_acctual_execution_time_stdev,operation_mean_acctual_execution_time_q25,operation_mean_acctual_execution_time_q50,operation_mean_acctual_execution_time_q75,operation_mean_acctual_execution_time_gini,operation_stdev_acctual_execution_time_min,operation_stdev_acctual_execution_time_max,operation_stdev_acctual_execution_time_mean,operation_stdev_acctual_execution_time_stdev,operation_stdev_acctual_execution_time_q25,operation_stdev_acctual_execution_time_q50,operation_stdev_acctual_execution_time_q75,operation_stdev_acctual_execution_time_gini,machine_mean_acctual_execution_time_min,machine_mean_acctual_execution_time_max,machine_mean_acctual_execution_time_mean,machine_mean_acctual_execution_time_stdev,machine_mean_acctual_execution_time_q25,machine_mean_acctual_execution_time_q50,machine_mean_acctual_execution_time_q75,machine_mean_acctual_execution_time_gini,machine_stev_acctual_execution_time_min,machine_stev_acctual_execution_time_max,machine_stev_acctual_execution_time_mean,machine_stev_acctual_execution_time_stdev,machine_stev_acctual_execution_time_q25,machine_stev_acctual_execution_time_q50,machine_stev_acctual_execution_time_q75,machine_stev_acctual_execution_time_gini
YFJS01,3,11,7.142857142857143,3.625307868699863,3.0,9.0,10.0,0.25142856790857143,1,7,1.162162162162162,0.9863939238321437,1.0,1.0,1.0,0.1357636589654023,0.023255813953488372,44,8,0.022727272727272728,0.6818181818181818,0.3181818181818182,0.18859137313581306,0.2159090909090909,0.30681818181818177,0.38636363636363635,0.29464276454084537,0.0,0.4833538583490902,0.29035300427270205,0.16416729332072386,0.14939770274649936,0.3501100388030751,0.4095191816854133,0.2910665137786305,0.0,0.8035714285714286,0.3973214285714286,0.2319956362060694,0.26785714285714285,0.4285714285714286,0.4955357142857143,0.2935392519631546,0.125,0.375,0.3181818181818182,0.07360399152702495,0.25,0.375,0.375,0.11201295180891646,0.045454545454545456,0.25,0.14772727272727273,0.06881023532039754,0.08522727272727272,0.1477272727272727,0.21022727272727273,0.2538459820119506,0,179.66666666666666,109.02032520325203,40.74248729523899,78.0,114.33333333333333,138.0,0.20816148706918589,0,88.38834764831844,47.23502316032105,27.46929622420942,22.069350691361535,49.54122862155654,71.50810100728032,0.32944404819013634,0,130.55555555555554,99.77664141414141,42.17846534662681,94.825,116.01604278074866,122.86470588235295,0.17749263656191067,0,67.87900134452047,47.556238745198954,20.770874621341022,45.18752823373407,49.751179770538414,60.698578848104184,0.19520057789822892
YFJS02,5,11,7.142857142857143,1.9518001458970664,6.0,7.0,8.0,0.13142856958857144,1,7,1.162162162162162,0.9863939238321437,1.0,1.0,1.0,0.1357636589654023,0.023255813953488372,44,8,0.022727272727272728,0.4090909090909091,0.3181818181818182,0.1308405303870772,0.2784090909090909,0.36363636363636365,0.4090909090909091,0.18526779891583467,0.0,0.30374644814697793,0.23029082731885478,0.09768791955859657,0.22092507416931323,0.2529201908712226,0.2909083450393736,0.18074362443099362,0.0,0.5357142857142857,0.39732142857142855,0.17094692116042162,0.3794642857142857,0.4375,0.5178571428571429,0.18820219982326652,0.125,0.375,0.3181818181818182,0.07360399152702495,0.25,0.375,0.375,0.11201295180891646,0.045454545454545456,0.25,0.14772727272727273,0.06881023532039754,0.08522727272727272,0.1477272727272727,0.21022727272727273,0.2538459820119506,0,177.33333333333334,119.6219512195122,37.46681910538095,102.83333333333334,123.33333333333333,144.66666666666669,0.16755642514382643,0,101.82337649086284,43.56651570473978,25.482644624967385,21.22270344180783,46.484405987384626,60.10407640085654,0.32886963761039534,0,146.83333333333334,105.84704625439919,45.36775070775508,101.82058823529411,116.76923076923077,133.31944444444443,0.18428272183042124,0,63.5368861169313,44.62975867177458,19.03483283545192,43.867941509842815,48.92769211881578,53.396979027390685,0.18099124128510125
YFJS03,3,5,4.0,0.8660254037844386,3.0,4.0,5.0,0.11111110833333339,1,9,1.4210526315789473,1.8353258709644942,1.0,1.0,1.0,0.28070173463287984,0.037037037037037035,28,8,0.03571428571428571,0.4642857142857143,0.3169642857142857,0.15084492355428844,0.21428571428571427,0.375,0.42857142857142855,0.23767598135292983,0.0,0.287383516775555,0.17310350834806845,0.09094774857793676,0.11004228684723065,0.1956932926954058,0.24093032458324487,0.2664688758984022,0.0,0.35714285714285715,0.24107142857142858,0.12554545713637025,0.16071428571428573,0.2857142857142857,0.3392857142857143,0.2592591517147223,0.125,0.375,0.3169642857142857,0.07202544927951053,0.25,0.375,0.375,0.11016093103977068,0.07142857142857142,0.17857142857142858,0.125,0.046106944597707346,0.08035714285714285,0.125,0.16964285714285715,0.17857128571440004,0,164.0,100.69333333333333,36.12419677435877,76.41666666666666,107.0,129.0,0.19397245743448183,0,95.45941546018392,39.486706166812176,26.206843547267223,17.398754205611557,32.78719262151,59.108235840004454,0.36921338813673493,0,141.77777777777777,94.25186965811966,44.81711216057418,72.58333333333333,106.41025641025641,125.35416666666667,0.23234628559083864,0,53.206901422412855,37.22395780142473,16.527320871741992,33.94269482254192,41.397176772513596,48.82187987730154,0.20307214180517597
YFJS04,3,5,4.333333333333333,0.8660254037844386,3.5,5.0,5.0,0.09686609463072546,1,9,1.3636363636363635,1.7056057308448835,1.0,1.0,1.0,0.2545454358787892,0.03333333333333333,31,8,0.03225806451612903,0.5161290322580645,0.31048387096774194,0.16622631485674813,0.14516129032258063,0.3548387096774194,0.41935483870967744,0.27110380878734464,0.0,0.35249957784506974,0.20278491915309546,0.12578800497533432,0.0921485271794889,0.20728706404973618,0.3281152036904128,0.32692733615898156,0.0,0.42857142857142855,0.25892857142857145,0.15031550880261466,0.11607142857142858,0.29464285714285715,0.3705357142857143,0.29525850665878367,0.125,0.375,0.31048387096774194,0.07123148693648614,0.25,0.375,0.375,0.11311265732676545,0.06451612903225806,0.16129032258064516,0.11290322580645161,0.04164498221728405,0.07258064516129031,0.11290322580645161,0.1532258064516129,0.17857127040830334,0,184.0,99.8735632183908,39.42147748685801,71.0,103.5,122.33333333333334,0.21458363902778596,0,83.76952508718988,40.817710198774215,24.838996909912225,20.556260636719397,33.94112549695428,64.83485991079183,0.34165595024791634,0,124.81818181818181,87.95955953768454,39.68574327205755,71.59375,100.12393162393163,111.49475524475524,0.20829566371485622,0,65.44588326521108,40.46001080591004,21.33958817476871,23.510749644462088,47.06500441524494,53.910966384803935,0.26345402841090454
YFJS05,3,5,3.8461538461538463,0.8006407690254357,3.0,4.0,4.5,0.10769230489230777,1,13,1.48,2.4,1.0,1.0,1.0,0.3113513303140993,0.02702702702702703,38,8,0.02631578947368421,0.5,0.3059210526315789,0.15014667673652243,0.2039473684210526,0.32894736842105265,0.4144736842105263,0.2540321750260417,0.0,0.3049687727964166,0.20633815963422925,0.09573655503663565,0.16136980312298985,0.23063727061388517,0.26361407834383527,0.2156881518246555,0.0,0.42857142857142855,0.29464285714285715,0.14879251603487434,0.1875,0.3482142857142857,0.4151785714285714,0.2499999151515439,0.125,0.375,0.3059210526315789,0.06936833983767374,0.25,0.25,0.375,0.11233725812903213,0.05263157894736842,0.13157894736842105,0.09210526315789473,0.03397353812462646,0.05921052631578947,0.09210526315789473,0.125,0.178571234694088,0,183.0,107.29292929292929,43.91846593212985,81.08333333333334,107.5,133.25,0.22673068453103928,0,106.77312395916867,39.20135459954109,28.375408579757124,13.594108182686153,37.04051835490427,61.91886319064839,0.4053043484427434,0,126.27272727272727,97.2166997750057,40.40524448335204,100.40833333333333,107.04910714285714,120.46804511278197,0.16600586386826932,0,62.54452959146932,49.26732271869852,21.117195024540756,44.147142070156406,57.31797685971911,62.095932253081685,0.1822947128917445
YFJS06,3,5,4.076923076923077,0.8623164985025763,3.0,4.0,5.0,0.11030478684448346,1,13,1.4285714285714286,2.2677868380553634,1.0,1.0,1.0,0.2892856940357157,0.025,41,8,0.024390243902439025,0.5365853658536586,0.32621951219512196,0.15367098008351035,0.23780487804878048,0.35365853658536583,0.4146341463414634,0.23714946001399728,0.0,0.32959209999778877,0.24224700865003446,0.10103303098386056,0.24886069058601726,0.2719855574718503,0.28248214036455876,0.16639634086902877,0.0,0.6071428571428571,0.36607142857142855,0.18210783977117087,0.2767857142857143,0.3839285714285714,0.48660714285714285,0.24847554187985194,0.125,0.375,0.32621951219512196,0.06776596202929681,0.25,0.375,0.375,0.09801683797286444,0.04878048780487805,0.12195121951219512,0.08536585365853658,0.031487669481361114,0.05487804878048781,0.08536585365853658,0.11585365853658536,0.17857121938800014,0,176.0,101.6891891891892,40.104034505066736,74.08333333333334,104.33333333333333,129.58333333333331,0.218773457628086,0,123.03657992645927,40.64511731994392,26.92911865801545,22.317410655471885,37.16629297271028,56.13488730686393,0.35824750129667643,0,128.66666666666666,91.90886384856972,39.33764671760205,86.75357142857143,103.88235294117646,109.20075757575758,0.18292158834496444,0,67.80814438136797,44.70381965479075,20.028960393093236,40.79650880304039,48.32843271801056,55.746562804256925,0.20662966706064903
YFJS07,3,5,3.9285714285714284,0.8287419301647448,3.0,4.0,5.0,0.11038960757969313,1,14,1.4642857142857142,2.456769074559977,1.0,1.0,1.0,0.3057491080394337,0.024390243902439025,42,8,0.023809523809523808,0.4523809523809524,0.31845238095238093,0.13762381414902897,0.24999999999999997,0.36904761904761907,0.40476190476190477,0.2067756360031648,0.0,0.31339158526400435,0.2307280861174367,0.10544913486600056,0.17726419274663413,0.2788414086597836,0.29959491828654256,0.2091656370057984,0.0,0.5,0.3482142857142857,0.15971914124998499,0.2723214285714286,0.4107142857142857,0.44196428571428575,0.21474352807365352,0.125,0.375,0.31845238095238093,0.06875626885155943,0.25,0.375,0.375,0.10525141332203063,0.047619047619047616,0.11904761904761904,0.08333333333333333,0.030737963065138228,0.05357142857142857,0.08333333333333333,0.11309523809523808,0.17857121428597145,0,171.5,105.42792792792793,38.18416105082257,80.08333333333334,108.0,133.08333333333331,0.20033603334404637,0,111.01576464628796,42.042202729572224,29.642921841206068,15.367122907421319,34.64823227814083,72.64286441611375,0.39163190744328225,0,144.64705882352942,96.84141028121775,42.550056010849595,89.81617647058823,106.43684210526317,116.80312500000001,0.19551388382750798,0,68.31170389390743,44.16582569409587,20.231073433212277,37.87558883779447,48.32237951283861,55.928196293214455,0.2159739898435604
YFJS08,3,5,3.9285714285714284,0.8287419301647448,3.0,4.0,5.0,0.11038960757969313,1,14,1.4642857142857142,2.456769074559977,1.0,1.0,1.0,0.3057491080394337,0.024390243902439025,42,13,0.023809523809523808,0.38095238095238093,0.21062271062271062,0.0806519599736782,0.17857142857142855,0.21428571428571427,0.25,0.1872908809772125,0.0,0.11519020140425024,0.07904834707897068,0.02993409824355544,0.07019470119844948,0.08957693483702424,0.09685034544495591,0.18627875147768821,0.0,0.15384615384615385,0.09072978303747535,0.03844783889264028,0.07051282051282051,0.09615384615384616,0.1185897435897436,0.21989942318443176,0.07692307692307693,0.23076923076923078,0.21062271062271062,0.03821505941650361,0.21153846153846154,0.23076923076923078,0.23076923076923078,0.07474116534235191,0.047619047619047616,0.11904761904761904,0.08333333333333333,0.030737963065138228,0.05357142857142857,0.08333333333333333,0.11309523809523808,0.17857121428597145,0,161.66666666666666,99.37387387387388,37.488092871031824,78.16666666666667,103.33333333333333,131.5,0.20974276462893096,0,93.25770745627409,39.40347457819391,22.590896072636692,24.004072020377592,37.36308338453881,56.11992949820538,0.3196997189218153,0,135.11111111111111,98.87342518592519,34.432286600037415,88.30208333333334,103.875,120.38311688311688,0.16226003781606432,0,59.38118388850125,45.86201266965678,15.733297333307293,40.33275964776609,49.82598506681818,58.374023820926325,0.1567662782163251
YFJS09,3,5,4.25,0.8660254037844386,3.25,4.5,5.0,0.10294117404844298,1,12,1.3928571428571428,2.0788046015507495,1.0,1.0,1.0,0.27197800245139614,0.02564102564102564,40,13,0.025,0.625,0.45961538461538465,0.15462941638076633,0.4,0.475,0.5625,0.15899578130635716,0.0,0.3050586588977236,0.22927162429981993,0.0767724146754782,0.20889460291528922,0.25852854609249915,0.2712627000772134,0.14768348872078693,0.0,0.7756410256410257,0.5631163708086785,0.19060582694139552,0.5160256410256411,0.5961538461538461,0.6602564102564104,0.15128651496350748,0.07692307692307693,0.6153846153846154,0.45961538461538465,0.09132863425888942,0.40384615384615385,0.46153846153846156,0.5384615384615384,0.09466525136990342,0.05,0.125,0.0875,0.032274861218395144,0.05625000000000001,0.0875,0.11875,0.17857122449002913,0,166.28571428571428,107.68963963963964,27.435703219543356,92.31428571428572,107.16666666666667,125.03333333333333,0.12862644675974172,0,74.85185368446128,45.39800734062234,14.920093912271922,36.68820920331126,48.16040118628833,55.454889325601435,0.17824250429828348,0,135.25,103.5871705642139,33.81896850150262,97.88095238095238,109.36842105263158,120.92117647058822,0.13772252694677237,0,56.30421389349559,44.880663441944584,14.264163274874381,43.174293379149944,47.75966178814133,52.3134672325762,0.12752678803113388
YFJS10,3,5,4.3076923076923075,0.8548504142651103,3.5,5.0,5.0,0.0989010966051806,1,13,1.3870967741935485,2.155263624321299,1.0,1.0,1.0,0.27006749740923736,0.023255813953488372,44,13,0.022727272727272728,0.36363636363636365,0.21328671328671328,0.09441099009013033,0.13636363636363635,0.20454545454545456,0.29545454545454547,0.23833532331264415,0.0,0.15208785434217864,0.09230916046044459,0.03879427727548367,0.0749872118900467,0.08335574380391013,0.12444936491912405,0.21677016447589548,0.0,0.19230769230769232,0.10552268244575938,0.04836915349366116,0.07371794871794872,0.10897435897435898,0.13782051282051283,0.24227151735275762,0.07692307692307693,0.23076923076923078,0.2132867132867133,0.040171766759007195,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.06929952041485973,0.045454545454545456,0.11363636363636363,0.07954545454545454,0.029340782925813762,0.05113636363636363,0.07954545454545454,0.10795454545454544,0.17857120408191485,0,194.0,108.40243902439025,36.965091933880224,82.66666666666667,113.33333333333333,125.66666666666666,0.18214345474610544,0,79.38723658960132,42.39944982402868,22.824084231030305,22.893144294105927,47.18403684863487,60.36529936496426,0.30322494361256536,0,135.5,101.35963854521547,33.4635342762233,97.55555555555556,109.18181818181819,119.2,0.14079266474664298,0,67.81813916645015,47.15161324699762,15.97127209159038,44.374452630451636,50.925971227405626,54.23611360650655,0.1493760841237193
