Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM-10,P1,63,1,SATISFIED,60.0471,82.0,31339
EA-Ei-LM-10,P1,63,2,SATISFIED,60.0251,87.0,28026
EA-Ei-LM-10,P1,63,3,SATISFIED,60.0241,82.0,28700
EA-Ei-LM-10,P1,63,4,SATISFIED,60.0246,82.0,31095
EA-Ei-LM-10,P1,63,5,SATISFIED,60.0242,82.0,28994
EA-Ei-LM-10,P1,63,6,SATISFIED,60.0253,81.0,31258
EA-Ei-LM-10,P1,63,7,SATISFIED,60.045,99.0,30537
EA-Ei-LM-10,P1,63,8,SATISFIED,60.0247,82.0,30044
EA-Ei-LM-10,P1,63,9,SATISFIED,60.0252,84.0,30276
EA-Ei-LM-10,P1,63,10,SATISFIED,60.0251,78.0,31796
EA-Ei-LM-10,P2,74,1,SATISFIED,60.0303,101.0,28612
EA-Ei-LM-10,P2,74,2,SATISFIED,60.0306,96.0,28744
EA-Ei-LM-10,P2,74,3,SATISFIED,60.0304,90.0,27816
EA-Ei-LM-10,P2,74,4,SATISFIED,60.0297,90.0,30180
EA-Ei-LM-10,P2,74,5,SATISFIED,60.031,98.0,30428
EA-Ei-LM-10,P2,74,6,SATISFIED,60.0301,90.0,29139
EA-Ei-LM-10,P2,74,7,SATISFIED,60.0292,92.0,30593
EA-Ei-LM-10,P2,74,8,SATISFIED,60.0297,93.0,29671
EA-Ei-LM-10,P2,74,9,SATISFIED,60.0291,97.0,30495
EA-Ei-LM-10,P2,74,10,SATISFIED,60.0306,90.0,28435
EA-Ei-LM-10,P3,83,1,SATISFIED,60.0398,105.0,27659
EA-Ei-LM-10,P3,83,2,SATISFIED,60.0369,101.0,26066
EA-Ei-LM-10,P3,83,3,SATISFIED,60.0349,108.0,28169
EA-Ei-LM-10,P3,83,4,SATISFIED,60.0348,118.0,27534
EA-Ei-LM-10,P3,83,5,SATISFIED,60.0347,108.0,27838
EA-Ei-LM-10,P3,83,6,SATISFIED,60.0372,104.0,26896
EA-Ei-LM-10,P3,83,7,SATISFIED,60.0751,108.0,26425
EA-Ei-LM-10,P3,83,8,SATISFIED,60.0637,122.0,26904
EA-Ei-LM-10,P3,83,9,SATISFIED,60.0338,108.0,27619
EA-Ei-LM-10,P3,83,10,SATISFIED,60.0353,110.0,27310
EA-Ei-LM-10,P4,86,1,SATISFIED,60.0353,120.0,27729
EA-Ei-LM-10,P4,86,2,SATISFIED,60.0359,110.0,27336
EA-Ei-LM-10,P4,86,3,SATISFIED,60.0371,116.0,27833
EA-Ei-LM-10,P4,86,4,SATISFIED,60.0359,116.0,28339
EA-Ei-LM-10,P4,86,5,SATISFIED,60.0362,116.0,26562
EA-Ei-LM-10,P4,86,6,SATISFIED,60.0373,116.0,28378
EA-Ei-LM-10,P4,86,7,SATISFIED,60.0362,116.0,28102
EA-Ei-LM-10,P4,86,8,SATISFIED,60.036,116.0,27862
EA-Ei-LM-10,P4,86,9,SATISFIED,60.0365,110.0,28113
EA-Ei-LM-10,P4,86,10,SATISFIED,60.038,116.0,26556
EA-Ei-LM-10,P5,92,1,SATISFIED,60.0397,136.0,25133
EA-Ei-LM-10,P5,92,2,SATISFIED,60.0386,135.0,27128
EA-Ei-LM-10,P5,92,3,SATISFIED,60.0402,135.0,26897
EA-Ei-LM-10,P5,92,4,SATISFIED,60.041,135.0,27115
EA-Ei-LM-10,P5,92,5,SATISFIED,60.0395,135.0,26825
EA-Ei-LM-10,P5,92,6,SATISFIED,60.0402,135.0,27098
