Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,1,SATISFIED,60.0575,68406660.0,12734.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,2,SATISFIED,60.0887,72156900.0,11854.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,3,SATISFIED,60.3841,73136160.0,12600.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,4,SATISFIED,60.0966,75218040.0,12032.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,5,SATISFIED,60.0922,75406440.0,11895.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,6,SATISFIED,60.1046,77764800.0,12556.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,7,SATISFIED,60.0933,69003720.0,12028.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,8,SATISFIED,60.0964,69724740.0,12755.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,9,SATISFIED,60.0995,72084840.0,13029.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No1,59,10,SATISFIED,60.1033,72945000.0,12463.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,1,SATISFIED,60.0537,28713840.0,16907.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,2,SATISFIED,60.0576,28709340.0,16493.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,3,SATISFIED,60.0572,28704840.0,17058.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,4,SATISFIED,60.0545,28721880.0,16836.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,5,SATISFIED,60.0537,28730940.0,18048.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,6,SATISFIED,60.0542,28722540.0,16680.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,7,SATISFIED,60.0492,28743780.0,15828.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,8,SATISFIED,60.0552,28684080.0,16801.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,9,SATISFIED,60.0634,28734360.0,17710.0
EA-Ei-LM-10,bom_mix_3_4_9_100_30_No2,24,10,SATISFIED,60.0549,28737660.0,16568.0
EA-Ei-LM-10,bom_mix_4_5_8_100_30_No1,438,1,SATISFIED,60.5415,62182500.0,4327.0
EA-Ei-LM-10,bom_mix_4_5_8_100_30_No1,438,2,SATISFIED,60.9566,66570540.0,3599.0
