Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM-10,YFJS01,41,1,SATISFIED,60.0463,894.0,25904.0
EA-Ei-LM-10,YFJS01,41,2,SATISFIED,60.0471,800.0,25186.0
EA-Ei-LM-10,YFJS01,41,3,SATISFIED,60.0481,781.0,25662.0
EA-Ei-LM-10,YFJS01,41,4,SATISFIED,60.0458,812.0,24064.0
EA-Ei-LM-10,YFJS01,41,5,SATISFIED,60.0508,826.0,25727.0
EA-Ei-LM-10,YFJS01,41,6,SATISFIED,60.058,798.0,24148.0
EA-Ei-LM-10,YFJS01,41,7,SATISFIED,60.0593,781.0,24575.0
EA-Ei-LM-10,YFJS01,41,8,SATISFIED,60.0532,887.0,23657.0
EA-Ei-LM-10,YFJS01,41,9,SATISFIED,60.0506,987.0,24170.0
EA-Ei-LM-10,YFJS01,41,10,SATISFIED,60.0486,777.0,25157.0
EA-Ei-LM-10,YFJS02,41,1,SATISFIED,60.0494,858.0,24471.0
EA-Ei-LM-10,YFJS02,41,2,SATISFIED,60.0479,877.0,24034.0
EA-Ei-LM-10,YFJS02,41,3,SATISFIED,60.0498,861.0,23656.0
EA-Ei-LM-10,YFJS02,41,4,SATISFIED,60.0495,858.0,23847.0
EA-Ei-LM-10,YFJS02,41,5,SATISFIED,60.0517,863.0,22678.0
EA-Ei-LM-10,YFJS02,41,6,SATISFIED,60.0561,837.0,25173.0
EA-Ei-LM-10,YFJS02,41,7,SATISFIED,60.0561,858.0,24943.0
EA-Ei-LM-10,YFJS02,41,8,SATISFIED,60.0569,839.0,21953.0
EA-Ei-LM-10,YFJS02,41,9,SATISFIED,60.0526,850.0,26470.0
EA-Ei-LM-10,YFJS02,41,10,SATISFIED,60.0502,904.0,25594.0
EA-Ei-LM-10,YFJS03,25,1,SATISFIED,60.0361,362.0,26973.0
EA-Ei-LM-10,YFJS03,25,2,SATISFIED,60.0369,355.0,27974.0
EA-Ei-LM-10,YFJS03,25,3,SATISFIED,60.0351,362.0,30329.0
EA-Ei-LM-10,YFJS03,25,4,SATISFIED,60.0335,361.0,27138.0
EA-Ei-LM-10,YFJS03,25,5,SATISFIED,60.0393,355.0,27335.0
EA-Ei-LM-10,YFJS03,25,6,SATISFIED,60.0373,361.0,28586.0
