Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM-50,50_2_2_1,151,1,SATISFIED,60.3964,5669.0,2725
EA-Ei-LM-50,50_2_2_1,151,2,SATISFIED,60.7164,5691.0,2992
EA-Ei-LM-50,50_2_2_1,151,3,SATISFIED,60.3985,5712.0,3018
EA-Ei-LM-50,50_2_2_1,151,4,SATISFIED,60.4023,5702.0,3054
EA-Ei-LM-50,50_2_2_1,151,5,SATISFIED,60.4024,5685.0,3236
EA-Ei-LM-50,50_2_2_1,151,6,SATISFIED,60.3981,5736.0,3205
EA-Ei-LM-50,50_2_2_1,151,7,SATISFIED,60.3983,5699.0,3229
EA-Ei-LM-50,50_2_2_1,151,8,SATISFIED,60.399,5671.0,3002
EA-Ei-LM-50,50_2_2_1,151,9,SATISFIED,60.3929,5741.0,2878
EA-Ei-LM-50,50_2_2_1,151,10,SATISFIED,60.3954,5663.0,2992
EA-Ei-LM-50,50_2_2_2,151,1,SATISFIED,60.3912,6066.0,2950
EA-Ei-LM-50,50_2_2_2,151,2,SATISFIED,60.4213,6068.0,3180
EA-Ei-LM-50,50_2_2_2,151,3,SATISFIED,60.6343,6097.0,3069
EA-Ei-LM-50,50_2_2_2,151,4,SATISFIED,60.4005,6042.0,2918
EA-Ei-LM-50,50_2_2_2,151,5,SATISFIED,60.3997,6079.0,3163
EA-Ei-LM-50,50_2_2_2,151,6,SATISFIED,60.3997,6080.0,3019
EA-Ei-LM-50,50_2_2_2,151,7,SATISFIED,60.3915,6059.0,3077
EA-Ei-LM-50,50_2_2_2,151,8,SATISFIED,60.3948,6116.0,3169
EA-Ei-LM-50,50_2_2_2,151,9,SATISFIED,60.3943,6092.0,3117
EA-Ei-LM-50,50_2_2_2,151,10,SATISFIED,60.3923,6100.0,3066
EA-Ei-LM-50,50_2_4_11,151,1,SATISFIED,60.3914,5739.0,2789
EA-Ei-LM-50,50_2_4_11,151,2,SATISFIED,60.3974,5870.0,3153
EA-Ei-LM-50,50_2_4_11,151,3,SATISFIED,60.3931,5689.0,3074
EA-Ei-LM-50,50_2_4_11,151,4,SATISFIED,60.3912,5809.0,2914
EA-Ei-LM-50,50_2_4_11,151,5,SATISFIED,60.4013,5724.0,3186
EA-Ei-LM-50,50_2_4_11,151,6,SATISFIED,60.3965,5818.0,3063
EA-Ei-LM-50,50_2_4_11,151,7,SATISFIED,60.3896,5779.0,2811
EA-Ei-LM-50,50_2_4_11,151,8,SATISFIED,60.4119,5728.0,2922
EA-Ei-LM-50,50_2_4_11,151,9,SATISFIED,60.7043,5762.0,2929
EA-Ei-LM-50,50_2_4_11,151,10,SATISFIED,60.7171,5697.0,2904
EA-Ei-LM-50,50_2_4_12,151,1,SATISFIED,60.394,6256.0,3074
EA-Ei-LM-50,50_2_4_12,151,2,SATISFIED,60.4107,6213.0,2876
EA-Ei-LM-50,50_2_4_12,151,3,SATISFIED,60.5206,6195.0,2717
EA-Ei-LM-50,50_2_4_12,151,4,SATISFIED,60.3951,6193.0,2906
EA-Ei-LM-50,50_2_4_12,151,5,SATISFIED,60.3964,6206.0,2603
EA-Ei-LM-50,50_2_4_12,151,6,SATISFIED,60.4007,6203.0,2857
EA-Ei-LM-50,50_2_4_12,151,7,SATISFIED,60.3952,6172.0,2778
EA-Ei-LM-50,50_2_4_12,151,8,SATISFIED,60.4075,6113.0,2960
EA-Ei-LM-50,50_2_4_12,151,9,SATISFIED,60.4053,6168.0,3036
EA-Ei-LM-50,50_2_4_12,151,10,SATISFIED,60.399,6151.0,3183
EA-Ei-LM-50,50_2_6_21,151,1,SATISFIED,60.4076,5822.0,3085
EA-Ei-LM-50,50_2_6_21,151,2,SATISFIED,60.3942,5869.0,2993
EA-Ei-LM-50,50_2_6_21,151,3,SATISFIED,60.3906,6112.0,2655
EA-Ei-LM-50,50_2_6_21,151,4,SATISFIED,60.7172,5904.0,2938
EA-Ei-LM-50,50_2_6_21,151,5,SATISFIED,60.4043,5967.0,2907
EA-Ei-LM-50,50_2_6_21,151,6,SATISFIED,60.3945,5841.0,3088
EA-Ei-LM-50,50_2_6_21,151,7,SATISFIED,60.3874,5878.0,2842
EA-Ei-LM-50,50_2_6_21,151,8,SATISFIED,60.3986,5860.0,2951
EA-Ei-LM-50,50_2_6_21,151,9,SATISFIED,60.3922,5760.0,2828
EA-Ei-LM-50,50_2_6_21,151,10,SATISFIED,60.3984,5858.0,2711
EA-Ei-LM-50,50_2_6_22,151,1,SATISFIED,60.3891,6449.0,2932
EA-Ei-LM-50,50_2_6_22,151,2,SATISFIED,60.4125,6383.0,2655
EA-Ei-LM-50,50_2_6_22,151,3,SATISFIED,60.5257,6307.0,2992
