Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM-50,DAFJS01,27,1,SATISFIED,60.1194,277.0,3686.0
EA-Ei-LM-50,DAFJS01,27,2,SATISFIED,60.1261,275.0,4219.0
EA-Ei-LM-50,DAFJS01,27,3,SATISFIED,60.1255,279.0,3970.0
EA-Ei-LM-50,DAFJS01,27,4,SATISFIED,60.1354,271.0,3990.0
EA-Ei-LM-50,DAFJS01,27,5,SATISFIED,60.1248,273.0,3849.0
EA-Ei-LM-50,DAFJS01,27,6,SATISFIED,60.126,267.0,3858.0
EA-Ei-LM-50,DAFJS01,27,7,SATISFIED,60.1275,277.0,3795.0
EA-Ei-LM-50,DAFJS01,27,8,SATISFIED,60.128,278.0,4260.0
EA-Ei-LM-50,DAFJS01,27,9,SATISFIED,60.1303,270.0,3967.0
EA-Ei-LM-50,DAFJS01,27,10,SATISFIED,60.1313,282.0,3815.0
EA-Ei-LM-50,DAFJS02,26,1,SATISFIED,60.13,302.0,3836.0
EA-Ei-LM-50,DAFJS02,26,2,SATISFIED,60.1332,328.0,3929.0
EA-Ei-LM-50,DAFJS02,26,3,SATISFIED,60.1358,308.0,3905.0
EA-Ei-LM-50,DAFJS02,26,4,SATISFIED,60.1221,296.0,4068.0
EA-Ei-LM-50,DAFJS02,26,5,SATISFIED,60.123,307.0,4261.0
EA-Ei-LM-50,DAFJS02,26,6,SATISFIED,60.1303,302.0,4083.0
EA-Ei-LM-50,DAFJS02,26,7,SATISFIED,60.1243,300.0,3974.0
EA-Ei-LM-50,DAFJS02,26,8,SATISFIED,60.1203,293.0,3746.0
EA-Ei-LM-50,DAFJS02,26,9,SATISFIED,60.1152,324.0,3853.0
EA-Ei-LM-50,DAFJS02,26,10,SATISFIED,60.1203,308.0,4276.0
EA-Ei-LM-50,DAFJS03,56,1,SATISFIED,60.2331,576.0,3347.0
EA-Ei-LM-50,DAFJS03,56,2,SATISFIED,60.2681,576.0,3421.0
EA-Ei-LM-50,DAFJS03,56,3,SATISFIED,60.2442,576.0,3546.0
EA-Ei-LM-50,DAFJS03,56,4,SATISFIED,60.2443,576.0,3344.0
EA-Ei-LM-50,DAFJS03,56,5,SATISFIED,60.2445,576.0,3493.0
EA-Ei-LM-50,DAFJS03,56,6,SATISFIED,60.2537,576.0,3470.0
EA-Ei-LM-50,DAFJS03,56,7,SATISFIED,60.2398,576.0,3094.0
EA-Ei-LM-50,DAFJS03,56,8,SATISFIED,60.2471,576.0,3471.0
EA-Ei-LM-50,DAFJS03,56,9,SATISFIED,60.2496,576.0,3067.0
EA-Ei-LM-50,DAFJS03,56,10,SATISFIED,60.2361,576.0,3172.0
EA-Ei-LM-50,DAFJS04,44,1,SATISFIED,60.1905,606.0,3497.0
EA-Ei-LM-50,DAFJS04,44,2,SATISFIED,60.1923,606.0,3420.0
EA-Ei-LM-50,DAFJS04,44,3,SATISFIED,60.2072,606.0,3628.0
EA-Ei-LM-50,DAFJS04,44,4,SATISFIED,60.2122,606.0,3104.0
EA-Ei-LM-50,DAFJS04,44,5,SATISFIED,60.1955,606.0,3376.0
EA-Ei-LM-50,DAFJS04,44,6,SATISFIED,60.1881,606.0,3296.0
EA-Ei-LM-50,DAFJS04,44,7,SATISFIED,60.202,606.0,3572.0
EA-Ei-LM-50,DAFJS04,44,8,SATISFIED,60.1996,606.0,3227.0
EA-Ei-LM-50,DAFJS04,44,9,SATISFIED,60.2002,606.0,3171.0
EA-Ei-LM-50,DAFJS04,44,10,SATISFIED,60.223,606.0,3338.0
EA-Ei-LM-50,DAFJS05,40,1,SATISFIED,60.1638,412.0,3842.0
EA-Ei-LM-50,DAFJS05,40,2,SATISFIED,60.1841,410.0,3900.0
EA-Ei-LM-50,DAFJS05,40,3,SATISFIED,60.1733,420.0,4006.0
EA-Ei-LM-50,DAFJS05,40,4,SATISFIED,60.1734,404.0,3964.0
EA-Ei-LM-50,DAFJS05,40,5,SATISFIED,60.1737,424.0,4171.0
EA-Ei-LM-50,DAFJS05,40,6,SATISFIED,60.1707,438.0,3681.0
EA-Ei-LM-50,DAFJS05,40,7,SATISFIED,60.1713,425.0,3815.0
EA-Ei-LM-50,DAFJS05,40,8,SATISFIED,60.1675,419.0,3866.0
EA-Ei-LM-50,DAFJS05,40,9,SATISFIED,60.1669,436.0,4061.0
EA-Ei-LM-50,DAFJS05,40,10,SATISFIED,60.1778,425.0,3872.0
EA-Ei-LM-50,DAFJS06,45,1,SATISFIED,60.1819,447.0,3861.0
EA-Ei-LM-50,DAFJS06,45,2,SATISFIED,60.1893,439.0,3972.0
EA-Ei-LM-50,DAFJS06,45,3,SATISFIED,60.1873,461.0,3821.0
EA-Ei-LM-50,DAFJS06,45,4,SATISFIED,60.1965,451.0,3689.0
EA-Ei-LM-50,DAFJS06,45,5,SATISFIED,60.199,429.0,3830.0
EA-Ei-LM-50,DAFJS06,45,6,SATISFIED,60.2062,447.0,3575.0
EA-Ei-LM-50,DAFJS06,45,7,SATISFIED,60.2127,451.0,3913.0
EA-Ei-LM-50,DAFJS06,45,8,SATISFIED,60.2137,465.0,3530.0
EA-Ei-LM-50,DAFJS06,45,9,SATISFIED,60.219,437.0,3640.0
EA-Ei-LM-50,DAFJS06,45,10,SATISFIED,60.1944,438.0,3770.0
EA-Ei-LM-50,DAFJS07,86,1,SATISFIED,60.3925,575.0,2945.0
EA-Ei-LM-50,DAFJS07,86,2,SATISFIED,60.4053,575.0,3078.0
EA-Ei-LM-50,DAFJS07,86,3,SATISFIED,60.3811,538.0,3205.0
