Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,1,SATISFIED,60.1881,803520.0,3128
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,2,SATISFIED,60.1022,795333.0,3226
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,3,SATISFIED,60.127,807635.0,3508
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,4,SATISFIED,60.2074,785377.0,3402
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,5,SATISFIED,60.1923,809879.0,3352
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,6,SATISFIED,60.1126,803409.0,3626
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,7,SATISFIED,60.1027,798486.0,3574
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,8,SATISFIED,60.1154,784327.0,3576
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,9,SATISFIED,60.112,797447.0,3465
EA-Ei-LM-50,bom_deep_6_5_10_5_No1,54,10,SATISFIED,60.1024,788116.0,3627
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,1,SATISFIED,60.1119,653722.0,3744
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,2,SATISFIED,60.1067,688605.0,3723
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,3,SATISFIED,60.1109,666951.0,3760
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,4,SATISFIED,60.1056,658884.0,3603
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,5,SATISFIED,60.1266,664930.0,3707
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,6,SATISFIED,60.1852,693199.0,3415
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,7,SATISFIED,60.1019,655368.0,3697
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,8,SATISFIED,60.1073,675181.0,3575
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,9,SATISFIED,60.1009,657650.0,3411
EA-Ei-LM-50,bom_deep_6_5_10_5_No2,54,10,SATISFIED,60.123,645304.0,3632
