Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM-50,la01.fjs,51,1,SATISFIED,60.1021,580.0,3947
EA-Ei-LM-50,la01.fjs,51,2,SATISFIED,60.1842,582.0,3704
EA-Ei-LM-50,la01.fjs,51,3,SATISFIED,60.1036,577.0,4166
EA-Ei-LM-50,la01.fjs,51,4,SATISFIED,60.0986,583.0,4080
EA-Ei-LM-50,la01.fjs,51,5,SATISFIED,60.1116,584.0,3732
EA-Ei-LM-50,la01.fjs,51,6,SATISFIED,60.1793,577.0,4049
EA-Ei-LM-50,la01.fjs,51,7,SATISFIED,60.1049,581.0,3975
EA-Ei-LM-50,la01.fjs,51,8,SATISFIED,60.1155,592.0,3877
EA-Ei-LM-50,la01.fjs,51,9,SATISFIED,60.1859,575.0,3910
EA-Ei-LM-50,la01.fjs,51,10,SATISFIED,60.1113,577.0,4073
EA-Ei-LM-50,la02.fjs,51,1,SATISFIED,60.0931,539.0,4221
EA-Ei-LM-50,la02.fjs,51,2,SATISFIED,60.0988,532.0,4041
EA-Ei-LM-50,la02.fjs,51,3,SATISFIED,60.1057,531.0,3757
EA-Ei-LM-50,la02.fjs,51,4,SATISFIED,60.0978,541.0,3897
EA-Ei-LM-50,la02.fjs,51,5,SATISFIED,60.1055,560.0,3970
EA-Ei-LM-50,la02.fjs,51,6,SATISFIED,60.0929,538.0,3959
EA-Ei-LM-50,la02.fjs,51,7,SATISFIED,60.1026,531.0,3641
EA-Ei-LM-50,la02.fjs,51,8,SATISFIED,60.0942,544.0,3963
EA-Ei-LM-50,la02.fjs,51,9,SATISFIED,60.1036,533.0,3929
EA-Ei-LM-50,la02.fjs,51,10,SATISFIED,60.0987,543.0,3590
EA-Ei-LM-50,la03.fjs,51,1,SATISFIED,60.0941,487.0,4233
EA-Ei-LM-50,la03.fjs,51,2,SATISFIED,60.0961,484.0,4082
EA-Ei-LM-50,la03.fjs,51,3,SATISFIED,60.1008,496.0,3971
EA-Ei-LM-50,la03.fjs,51,4,SATISFIED,60.0965,489.0,3847
EA-Ei-LM-50,la03.fjs,51,5,SATISFIED,60.0944,478.0,3999
EA-Ei-LM-50,la03.fjs,51,6,SATISFIED,60.0921,491.0,3831
EA-Ei-LM-50,la03.fjs,51,7,SATISFIED,60.1034,484.0,4150
EA-Ei-LM-50,la03.fjs,51,8,SATISFIED,60.0998,484.0,4040
EA-Ei-LM-50,la03.fjs,51,9,SATISFIED,60.1822,489.0,3872
EA-Ei-LM-50,la03.fjs,51,10,SATISFIED,60.1143,490.0,3900
EA-Ei-LM-50,la04.fjs,51,1,SATISFIED,60.1733,521.0,3978
EA-Ei-LM-50,la04.fjs,51,2,SATISFIED,60.0944,508.0,4096
EA-Ei-LM-50,la04.fjs,51,3,SATISFIED,60.1055,505.0,4174
EA-Ei-LM-50,la04.fjs,51,4,SATISFIED,60.0959,507.0,4290
EA-Ei-LM-50,la04.fjs,51,5,SATISFIED,60.0938,509.0,4336
EA-Ei-LM-50,la04.fjs,51,6,SATISFIED,60.1023,514.0,4098
EA-Ei-LM-50,la04.fjs,51,7,SATISFIED,60.0946,513.0,3785
EA-Ei-LM-50,la04.fjs,51,8,SATISFIED,60.0999,509.0,3579
EA-Ei-LM-50,la04.fjs,51,9,SATISFIED,60.0992,507.0,4144
EA-Ei-LM-50,la04.fjs,51,10,SATISFIED,60.105,513.0,4177
EA-Ei-LM-50,la05.fjs,51,1,SATISFIED,60.0943,474.0,4136
EA-Ei-LM-50,la05.fjs,51,2,SATISFIED,60.0928,469.0,3946
EA-Ei-LM-50,la05.fjs,51,3,SATISFIED,60.0984,467.0,3973
EA-Ei-LM-50,la05.fjs,51,4,SATISFIED,60.0923,467.0,3876
EA-Ei-LM-50,la05.fjs,51,5,SATISFIED,60.0974,470.0,4106
EA-Ei-LM-50,la05.fjs,51,6,SATISFIED,60.1005,473.0,4015
EA-Ei-LM-50,la05.fjs,51,7,SATISFIED,60.0982,469.0,3961
EA-Ei-LM-50,la05.fjs,51,8,SATISFIED,60.096,476.0,3842
EA-Ei-LM-50,la05.fjs,51,9,SATISFIED,60.1044,477.0,3755
EA-Ei-LM-50,la05.fjs,51,10,SATISFIED,60.0959,464.0,3943
EA-Ei-LM-50,la06.fjs,76,1,SATISFIED,60.2689,809.0,3904
EA-Ei-LM-50,la06.fjs,76,2,SATISFIED,60.1621,800.0,3697
EA-Ei-LM-50,la06.fjs,76,3,SATISFIED,60.1505,812.0,3957
EA-Ei-LM-50,la06.fjs,76,4,SATISFIED,60.1628,802.0,3902
