Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,1,SATISFIED,60.0741,142036.0,4200
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,2,SATISFIED,60.1479,141752.0,3889
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,3,SATISFIED,60.0919,137576.0,4024
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,4,SATISFIED,60.1423,139508.0,4010
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,5,SATISFIED,60.0848,142054.0,4069
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,6,SATISFIED,60.0812,139000.0,4026
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,7,SATISFIED,60.0767,139050.0,4124
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,8,SATISFIED,60.0844,143180.0,3992
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,9,SATISFIED,60.085,143650.0,3820
EA-Ei-LM-50,bom_wide_2_10_10_5_No1,41,10,SATISFIED,60.0825,139910.0,4286
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,1,SATISFIED,60.0777,141939.0,3967
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,2,SATISFIED,60.0845,144341.0,4081
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,3,SATISFIED,60.1444,143949.0,4170
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,4,SATISFIED,60.0832,145066.0,4184
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,5,SATISFIED,60.0719,141962.0,4264
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,6,SATISFIED,60.0731,148703.0,4128
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,7,SATISFIED,60.0786,143196.0,4058
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,8,SATISFIED,60.0767,149680.0,4162
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,9,SATISFIED,60.0865,142033.0,4176
EA-Ei-LM-50,bom_wide_2_10_10_5_No2,41,10,SATISFIED,60.1572,141939.0,3933
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,1,SATISFIED,60.127,65418.0,3545
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,2,SATISFIED,60.0824,65514.0,3621
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,3,SATISFIED,60.0809,65796.0,3587
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,4,SATISFIED,60.087,65235.0,3375
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,5,SATISFIED,60.0891,65837.0,2978
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,6,SATISFIED,60.0735,65433.0,3293
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,7,SATISFIED,60.1433,67600.0,3401
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,8,SATISFIED,60.0781,65513.0,3586
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,9,SATISFIED,60.0777,65538.0,3537
EA-Ei-LM-50,bom_wide_2_10_30_15_No1,41,10,SATISFIED,60.0739,66930.0,3212
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,1,SATISFIED,60.075,59934.0,3657
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,2,SATISFIED,60.0765,60708.0,3661
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,3,SATISFIED,60.0839,61632.0,3337
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,4,SATISFIED,60.087,59896.0,3696
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,5,SATISFIED,60.087,60424.0,3351
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,6,SATISFIED,60.0814,60977.0,3489
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,7,SATISFIED,60.0874,60359.0,3577
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,8,SATISFIED,60.0873,62304.0,3355
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,9,SATISFIED,60.0734,61200.0,3182
EA-Ei-LM-50,bom_wide_2_10_30_15_No2,41,10,SATISFIED,60.08,60540.0,3654
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,1,SATISFIED,60.2641,613000.0,2899
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,2,SATISFIED,60.2682,613000.0,3044
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,3,SATISFIED,60.2689,587387.0,3088
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,4,SATISFIED,60.2684,590654.0,3087
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,5,SATISFIED,60.2793,613000.0,2792
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,6,SATISFIED,60.2775,589285.0,3112
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,7,SATISFIED,60.2654,605080.0,3040
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,8,SATISFIED,60.2749,580700.0,3139
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,9,SATISFIED,60.2681,611290.0,3046
EA-Ei-LM-50,bom_wide_3_10_10_5_No1,114,10,SATISFIED,60.2778,586064.0,3097
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,1,SATISFIED,60.2708,567099.0,3115
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,2,SATISFIED,60.2672,572135.0,3058
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,3,SATISFIED,60.2683,565190.0,2863
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,4,SATISFIED,60.2695,579665.0,2903
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,5,SATISFIED,60.2739,569760.0,3028
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,6,SATISFIED,60.2731,566435.0,3192
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,7,SATISFIED,60.2669,567801.0,2818
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,8,SATISFIED,60.2726,565160.0,3085
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,9,SATISFIED,60.2737,582417.0,3133
EA-Ei-LM-50,bom_wide_3_10_10_5_No2,114,10,SATISFIED,60.2605,566945.0,3036
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,1,SATISFIED,60.2653,275097.0,2314
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,2,SATISFIED,60.2486,240638.0,2567
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,3,SATISFIED,60.2489,257688.0,2677
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,4,SATISFIED,60.2572,251011.0,2726
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,5,SATISFIED,60.2603,260850.0,2669
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,6,SATISFIED,60.2599,304711.0,2588
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,7,SATISFIED,60.259,276019.0,2638
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,8,SATISFIED,60.2567,259617.0,2680
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,9,SATISFIED,60.2633,290340.0,2662
EA-Ei-LM-50,bom_wide_3_10_30_15_No1,108,10,SATISFIED,60.2456,248998.0,2549
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,1,SATISFIED,60.2641,280070.0,2374
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,2,SATISFIED,60.2572,276776.0,2568
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,3,SATISFIED,60.2494,278086.0,2268
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,4,SATISFIED,60.4775,279171.0,2495
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,5,SATISFIED,60.2683,290160.0,2412
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,6,SATISFIED,60.2435,279000.0,2431
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,7,SATISFIED,60.4825,259778.0,2377
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,8,SATISFIED,60.2638,272742.0,2657
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,9,SATISFIED,60.2456,279356.0,2494
EA-Ei-LM-50,bom_wide_3_10_30_15_No2,108,10,SATISFIED,60.2683,263414.0,2448
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,1,SATISFIED,60.8212,693476.0,2243
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,2,SATISFIED,60.4265,695659.0,2636
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,3,SATISFIED,60.4595,765958.0,2321
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,4,SATISFIED,60.818,653350.0,2744
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,5,SATISFIED,60.7715,678994.0,2551
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,6,SATISFIED,60.4272,705414.0,2505
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,7,SATISFIED,60.4392,693534.0,2423
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,8,SATISFIED,60.4399,654156.0,2832
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,9,SATISFIED,60.4403,675210.0,2439
EA-Ei-LM-50,bom_wide_4_10_10_5_No1,161,10,SATISFIED,60.4261,672036.0,2686
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,1,SATISFIED,60.446,662511.0,2468
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,2,SATISFIED,60.4406,644242.0,2723
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,3,SATISFIED,60.4327,695208.0,2617
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,4,SATISFIED,60.5176,658362.0,2404
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,5,SATISFIED,60.7992,649994.0,2800
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,6,SATISFIED,60.4346,653890.0,2619
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,7,SATISFIED,60.4607,650347.0,2625
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,8,SATISFIED,60.4401,638049.0,2851
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,9,SATISFIED,60.4436,651681.0,2635
EA-Ei-LM-50,bom_wide_4_10_10_5_No2,161,10,SATISFIED,60.4287,645288.0,2559
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,1,SATISFIED,60.6381,333767.0,2012
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,2,SATISFIED,60.4578,325600.0,1957
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,3,SATISFIED,60.456,353461.0,2003
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,4,SATISFIED,60.4371,317457.0,2231
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,5,SATISFIED,60.4473,340690.0,2109
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,6,SATISFIED,60.4515,333419.0,2209
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,7,SATISFIED,60.4558,303017.0,2148
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,8,SATISFIED,60.8232,349276.0,2061
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,9,SATISFIED,60.4626,336635.0,1985
EA-Ei-LM-50,bom_wide_4_10_30_15_No1,161,10,SATISFIED,60.4422,332246.0,2031
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,1,SATISFIED,60.4346,332411.0,2124
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,2,SATISFIED,60.4414,333839.0,2242
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,3,SATISFIED,60.436,322554.0,2126
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,4,SATISFIED,60.4441,333622.0,2086
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,5,SATISFIED,60.4458,336252.0,2077
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,6,SATISFIED,60.4444,330871.0,2227
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,7,SATISFIED,60.4496,343468.0,2199
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,8,SATISFIED,60.4512,318946.0,2151
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,9,SATISFIED,60.4299,346893.0,2113
EA-Ei-LM-50,bom_wide_4_10_30_15_No2,161,10,SATISFIED,60.4523,308340.0,1969
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,1,SATISFIED,63.0583,3874840.0,1093
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,2,SATISFIED,64.567,3714074.0,1099
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,3,SATISFIED,63.4432,3800821.0,1091
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,4,SATISFIED,63.3842,3783224.0,1138
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,5,SATISFIED,62.9831,3771061.0,1082
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,6,SATISFIED,62.9904,3865917.0,1123
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,7,SATISFIED,63.0003,3715045.0,1078
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,8,SATISFIED,63.0004,3753478.0,1071
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,9,SATISFIED,63.004,3694340.0,1043
EA-Ei-LM-50,bom_wide_5_10_10_5_No1,534,10,SATISFIED,64.0092,3678811.0,1129
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,1,SATISFIED,63.2314,3838000.0,1049
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,2,SATISFIED,63.0238,3684686.0,1158
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,3,SATISFIED,63.001,3690385.0,1175
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,4,SATISFIED,63.0409,3882294.0,1082
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,5,SATISFIED,63.9026,3744543.0,1041
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,6,SATISFIED,63.2561,3862679.0,1077
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,7,SATISFIED,62.9947,3747478.0,1054
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,8,SATISFIED,64.5098,3662942.0,1051
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,9,SATISFIED,62.9899,3644738.0,1209
EA-Ei-LM-50,bom_wide_5_10_10_5_No2,534,10,SATISFIED,63.0777,3712966.0,1137
EA-Ei-LM-50,bom_wide_5_10_30_15_No1,710,1,SATISFIED,66.1799,1941318.0,661
EA-Ei-LM-50,bom_wide_5_10_30_15_No1,710,2,SATISFIED,65.9862,1880058.0,724
EA-Ei-LM-50,bom_wide_5_10_30_15_No1,710,3,SATISFIED,67.1559,2133216.0,691
EA-Ei-LM-50,bom_wide_5_10_30_15_No1,710,4,SATISFIED,66.0386,1932094.0,706
EA-Ei-LM-50,bom_wide_5_10_30_15_No1,710,5,SATISFIED,65.0264,1767608.0,743
EA-Ei-LM-50,bom_wide_5_10_30_15_No1,710,6,SATISFIED,65.1106,1844338.0,708
EA-Ei-LM-50,bom_wide_5_10_30_15_No1,710,7,SATISFIED,66.8455,1823108.0,713
