Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM,50_2_2_1,151,1,SATISFIED,60.978,5678.0,1099.0
EA-Ei-LM,50_2_2_1,151,2,SATISFIED,60.8399,5702.0,1075.0
EA-Ei-LM,50_2_2_1,151,3,SATISFIED,60.8294,5665.0,1199.0
EA-Ei-LM,50_2_2_1,151,4,SATISFIED,60.8247,5673.0,1277.0
EA-Ei-LM,50_2_2_1,151,5,SATISFIED,60.8403,5657.0,1202.0
EA-Ei-LM,50_2_2_1,151,6,SATISFIED,60.8354,5666.0,1221.0
EA-Ei-LM,50_2_2_1,151,7,SATISFIED,60.8151,5665.0,1280.0
EA-Ei-LM,50_2_2_1,151,8,SATISFIED,60.8229,5718.0,1184.0
EA-Ei-LM,50_2_2_1,151,9,SATISFIED,61.3246,5699.0,1174.0
EA-Ei-LM,50_2_2_1,151,10,SATISFIED,61.4457,5690.0,1190.0
EA-Ei-LM,50_2_2_2,151,1,SATISFIED,60.8561,6083.0,1198.0
EA-Ei-LM,50_2_2_2,151,2,SATISFIED,60.8183,6064.0,1264.0
EA-Ei-LM,50_2_2_2,151,3,SATISFIED,60.8337,6046.0,1216.0
EA-Ei-LM,50_2_2_2,151,4,SATISFIED,60.8147,6091.0,1241.0
EA-Ei-LM,50_2_2_2,151,5,SATISFIED,60.8633,6091.0,1271.0
EA-Ei-LM,50_2_2_2,151,6,SATISFIED,60.8128,6113.0,1322.0
EA-Ei-LM,50_2_2_2,151,7,SATISFIED,60.8499,6098.0,1286.0
EA-Ei-LM,50_2_2_2,151,8,SATISFIED,60.8507,6062.0,1260.0
EA-Ei-LM,50_2_2_2,151,9,SATISFIED,60.893,6082.0,1218.0
EA-Ei-LM,50_2_2_2,151,10,SATISFIED,60.891,6061.0,1159.0
EA-Ei-LM,50_2_4_11,151,1,SATISFIED,61.4907,5733.0,1202.0
EA-Ei-LM,50_2_4_11,151,2,SATISFIED,60.8237,5782.0,1280.0
EA-Ei-LM,50_2_4_11,151,3,SATISFIED,60.8478,5811.0,1128.0
EA-Ei-LM,50_2_4_11,151,4,SATISFIED,61.6604,5729.0,1143.0
EA-Ei-LM,50_2_4_11,151,5,SATISFIED,60.8817,5744.0,1162.0
EA-Ei-LM,50_2_4_11,151,6,SATISFIED,60.8372,5726.0,1150.0
EA-Ei-LM,50_2_4_11,151,7,SATISFIED,60.8392,5705.0,1185.0
EA-Ei-LM,50_2_4_11,151,8,SATISFIED,60.8206,5858.0,1255.0
EA-Ei-LM,50_2_4_11,151,9,SATISFIED,61.4865,5795.0,1179.0
EA-Ei-LM,50_2_4_11,151,10,SATISFIED,61.5276,5793.0,1238.0
EA-Ei-LM,50_2_4_12,151,1,SATISFIED,60.8452,6166.0,1163.0
EA-Ei-LM,50_2_4_12,151,2,SATISFIED,60.8224,6152.0,1190.0
EA-Ei-LM,50_2_4_12,151,3,SATISFIED,60.8272,6147.0,1131.0
EA-Ei-LM,50_2_4_12,151,4,SATISFIED,60.8746,6208.0,1136.0
EA-Ei-LM,50_2_4_12,151,5,SATISFIED,60.8314,6093.0,1242.0
EA-Ei-LM,50_2_4_12,151,6,SATISFIED,60.8686,6121.0,1227.0
