Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Ei-LM,DAFJS01,27.0,1.0,SATISFIED,60.211,257.0,4214.75
TS-Ei-LM,DAFJS01,27.0,2.0,SATISFIED,60.1931,265.0,4302.53
TS-Ei-LM,DAFJS01,27.0,3.0,SATISFIED,60.256,260.0,4241.0
TS-Ei-LM,DAFJS01,27.0,4.0,SATISFIED,60.1218,267.0,4225.72
TS-Ei-LM,DAFJS01,27.0,5.0,SATISFIED,60.1564,265.0,4263.12
TS-Ei-LM,DAFJS01,27.0,6.0,SATISFIED,60.1401,257.0,4255.12
TS-Ei-LM,DAFJS01,27.0,7.0,SATISFIED,60.2224,262.0,4312.44
TS-Ei-LM,DAFJS01,27.0,8.0,SATISFIED,60.2176,267.0,4266.28
TS-Ei-LM,DAFJS01,27.0,9.0,SATISFIED,60.1765,265.0,4258.34
TS-Ei-LM,DAFJS01,27.0,10.0,SATISFIED,60.2361,268.0,4278.47
TS-Ei-LM,DAFJS02,26.0,1.0,SATISFIED,60.2522,289.0,4268.16
TS-Ei-LM,DAFJS02,26.0,2.0,SATISFIED,60.2021,293.0,4319.78
TS-Ei-LM,DAFJS02,26.0,3.0,SATISFIED,60.1983,291.0,4339.5
TS-Ei-LM,DAFJS02,26.0,4.0,SATISFIED,60.2056,289.0,4373.31
TS-Ei-LM,DAFJS02,26.0,5.0,SATISFIED,60.1974,296.0,4360.84
TS-Ei-LM,DAFJS02,26.0,6.0,SATISFIED,60.2093,289.0,4364.59
TS-Ei-LM,DAFJS02,26.0,7.0,SATISFIED,60.2028,291.0,4310.66
TS-Ei-LM,DAFJS02,26.0,8.0,SATISFIED,60.2032,291.0,4300.69
TS-Ei-LM,DAFJS02,26.0,9.0,SATISFIED,60.4762,299.0,4243.84
TS-Ei-LM,DAFJS02,26.0,10.0,SATISFIED,60.2133,296.0,4296.47
TS-Ei-LM,DAFJS03,56.0,1.0,SATISFIED,60.2898,576.0,3414.25
TS-Ei-LM,DAFJS03,56.0,2.0,SATISFIED,60.302,576.0,3369.5
TS-Ei-LM,DAFJS03,56.0,3.0,SATISFIED,60.3047,576.0,3318.03
TS-Ei-LM,DAFJS03,56.0,4.0,SATISFIED,60.2987,576.0,3344.91
TS-Ei-LM,DAFJS03,56.0,5.0,SATISFIED,60.2861,576.0,3338.12
TS-Ei-LM,DAFJS03,56.0,6.0,SATISFIED,60.2778,576.0,3322.75
TS-Ei-LM,DAFJS03,56.0,7.0,SATISFIED,60.2846,576.0,3347.75
TS-Ei-LM,DAFJS03,56.0,8.0,SATISFIED,60.4743,576.0,3385.34
TS-Ei-LM,DAFJS03,56.0,9.0,SATISFIED,60.2801,576.0,3372.97
TS-Ei-LM,DAFJS03,56.0,10.0,SATISFIED,60.3056,576.0,3359.09
TS-Ei-LM,DAFJS04,44.0,1.0,SATISFIED,60.1738,606.0,3086.59
