Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Ei-LM,P1,63,1,SATISFIED,60.2868,77.0,2711.22
TS-Ei-LM,P1,63,2,SATISFIED,60.2964,77.0,2760.72
TS-Ei-LM,P1,63,3,SATISFIED,60.3014,77.0,2742.94
TS-Ei-LM,P1,63,4,SATISFIED,60.3022,77.0,2732.09
TS-Ei-LM,P1,63,5,SATISFIED,60.3066,77.0,2691.12
TS-Ei-LM,P1,63,6,SATISFIED,60.306,77.0,2654.25
TS-Ei-LM,P1,63,7,SATISFIED,60.3056,77.0,2766.53
TS-Ei-LM,P1,63,8,SATISFIED,60.3075,77.0,2732.69
TS-Ei-LM,P1,63,9,SATISFIED,60.3076,77.0,2727.78
TS-Ei-LM,P1,63,10,SATISFIED,60.4586,77.0,2700.97
TS-Ei-LM,P2,74,1,SATISFIED,60.3302,90.0,2698.88
TS-Ei-LM,P2,74,2,SATISFIED,60.3454,90.0,2639.12
TS-Ei-LM,P2,74,3,SATISFIED,60.3218,90.0,2742.66
TS-Ei-LM,P2,74,4,SATISFIED,60.2054,90.0,2749.0
TS-Ei-LM,P2,74,5,SATISFIED,60.2279,90.0,2690.41
TS-Ei-LM,P2,74,6,SATISFIED,60.3295,90.0,2708.56
TS-Ei-LM,P2,74,7,SATISFIED,60.3439,90.0,2705.66
TS-Ei-LM,P2,74,8,SATISFIED,60.3372,90.0,2645.59
TS-Ei-LM,P2,74,9,SATISFIED,60.4663,90.0,2705.34
TS-Ei-LM,P2,74,10,SATISFIED,60.3398,90.0,2702.72
TS-Ei-LM,P3,83,1,SATISFIED,60.2732,100.0,2755.66
TS-Ei-LM,P3,83,2,SATISFIED,60.2535,100.0,2757.53
TS-Ei-LM,P3,83,3,SATISFIED,60.372,100.0,2807.88
TS-Ei-LM,P3,83,4,SATISFIED,60.3712,100.0,2725.72
TS-Ei-LM,P3,83,5,SATISFIED,60.3701,100.0,2799.09
TS-Ei-LM,P3,83,6,SATISFIED,60.3612,100.0,2758.38
TS-Ei-LM,P3,83,7,SATISFIED,60.5445,100.0,2804.44
TS-Ei-LM,P3,83,8,SATISFIED,60.3642,100.0,2778.84
TS-Ei-LM,P3,83,9,SATISFIED,60.3501,100.0,2719.19
TS-Ei-LM,P3,83,10,SATISFIED,60.3549,100.0,2756.0
TS-Ei-LM,P4,86,1,SATISFIED,60.3463,110.0,2467.5
TS-Ei-LM,P4,86,2,SATISFIED,60.3784,110.0,2484.25
TS-Ei-LM,P4,86,3,SATISFIED,60.3762,110.0,2445.03
TS-Ei-LM,P4,86,4,SATISFIED,60.3808,110.0,2506.69
TS-Ei-LM,P4,86,5,SATISFIED,60.2324,110.0,2441.34
TS-Ei-LM,P4,86,6,SATISFIED,60.4198,110.0,2505.28
TS-Ei-LM,P4,86,7,SATISFIED,60.3753,110.0,2451.38
TS-Ei-LM,P4,86,8,SATISFIED,60.3758,110.0,2491.5
TS-Ei-LM,P4,86,9,SATISFIED,60.3733,110.0,2464.12
TS-Ei-LM,P4,86,10,SATISFIED,60.3823,110.0,2476.75
TS-Ei-LM,P5,92,1,SATISFIED,60.2654,135.0,2187.19
TS-Ei-LM,P5,92,2,SATISFIED,60.2692,135.0,2223.81
TS-Ei-LM,P5,92,3,SATISFIED,60.3883,135.0,2235.12
TS-Ei-LM,P5,92,4,SATISFIED,60.4243,135.0,2234.56
