Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
LETSA,abz5.fjs,101,1,SATISFIED,0.0295,959,0
LETSA,abz6.fjs,101,1,SATISFIED,0.0325,750,0
LETSA,abz7.fjs,301,1,SATISFIED,0.1858,524,0
LETSA,abz8.fjs,301,1,SATISFIED,0.1911,546,0
LETSA,abz9.fjs,301,1,SATISFIED,0.1865,536,0
LETSA,car1.fjs,56,1,SATISFIED,0.0161,5313,0
LETSA,car2.fjs,53,1,SATISFIED,0.0128,6355,0
LETSA,car3.fjs,61,1,SATISFIED,0.0182,6428,0
LETSA,car4.fjs,57,1,SATISFIED,0.0142,7232,0
LETSA,car5.fjs,61,1,SATISFIED,0.0142,5333,0
LETSA,car6.fjs,73,1,SATISFIED,0.0216,5486,0
LETSA,car7.fjs,50,1,SATISFIED,0.0125,4908,0
LETSA,car8.fjs,65,1,SATISFIED,0.0152,5055,0
LETSA,la01.fjs,51,1,SATISFIED,0.0113,605,0
LETSA,la02.fjs,51,1,SATISFIED,0.0112,564,0
LETSA,la03.fjs,51,1,SATISFIED,0.0134,530,0
LETSA,la04.fjs,51,1,SATISFIED,0.0112,562,0
LETSA,la05.fjs,51,1,SATISFIED,0.011,510,0
LETSA,la06.fjs,76,1,SATISFIED,0.0206,832,0
LETSA,la07.fjs,76,1,SATISFIED,0.0247,780,0
LETSA,la08.fjs,76,1,SATISFIED,0.0212,795,0
LETSA,la09.fjs,76,1,SATISFIED,0.0209,888,0
LETSA,la10.fjs,76,1,SATISFIED,0.0216,818,0
LETSA,la11.fjs,101,1,SATISFIED,0.0373,1094,0
LETSA,la12.fjs,101,1,SATISFIED,0.0354,964,0
LETSA,la13.fjs,101,1,SATISFIED,0.0415,1067,0
LETSA,la14.fjs,101,1,SATISFIED,0.0418,1096,0
LETSA,la15.fjs,101,1,SATISFIED,0.0424,1101,0
LETSA,la16.fjs,101,1,SATISFIED,0.0299,717,0
LETSA,la17.fjs,101,1,SATISFIED,0.0303,646,0
LETSA,la18.fjs,101,1,SATISFIED,0.0339,695,0
LETSA,la19.fjs,101,1,SATISFIED,0.0309,642,0
LETSA,la20.fjs,101,1,SATISFIED,0.0312,756,0
LETSA,la21.fjs,151,1,SATISFIED,0.0597,853,0
LETSA,la22.fjs,151,1,SATISFIED,0.0594,795,0
LETSA,la23.fjs,151,1,SATISFIED,0.0581,931,0
LETSA,la24.fjs,151,1,SATISFIED,0.0449,836,0
LETSA,la25.fjs,151,1,SATISFIED,0.0606,849,0
LETSA,la26.fjs,201,1,SATISFIED,0.1066,1095,0
LETSA,la27.fjs,201,1,SATISFIED,0.0977,1124,0
LETSA,la28.fjs,201,1,SATISFIED,0.0985,1112,0
LETSA,la29.fjs,201,1,SATISFIED,0.2058,1039,0
LETSA,la30.fjs,201,1,SATISFIED,0.1011,1135,0
LETSA,la31.fjs,301,1,SATISFIED,0.3141,1553,0
LETSA,la32.fjs,301,1,SATISFIED,0.2085,1687,0
LETSA,la33.fjs,301,1,SATISFIED,0.2035,1508,0
LETSA,la34.fjs,301,1,SATISFIED,0.2058,1558,0
LETSA,la35.fjs,301,1,SATISFIED,0.2055,1567,0
LETSA,la36.fjs,226,1,SATISFIED,0.112,948,0
LETSA,la37.fjs,226,1,SATISFIED,0.1131,989,0
LETSA,la38.fjs,226,1,SATISFIED,0.1111,943,0
LETSA,la39.fjs,226,1,SATISFIED,0.1136,922,0
LETSA,la40.fjs,226,1,SATISFIED,0.1115,955,0
LETSA,mt06.fjs,37,1,SATISFIED,0.0067,47,0
LETSA,mt10.fjs,101,1,SATISFIED,0.0296,655,0
LETSA,mt20.fjs,101,1,SATISFIED,0.0352,1050,0
LETSA,orb1.fjs,101,1,SATISFIED,0.0301,740,0
LETSA,orb2.fjs,101,1,SATISFIED,0.0341,683,0
LETSA,orb3.fjs,101,1,SATISFIED,0.0302,663,0
LETSA,orb4.fjs,101,1,SATISFIED,0.0302,753,0
LETSA,orb5.fjs,101,1,SATISFIED,0.0305,630,0
LETSA,orb6.fjs,101,1,SATISFIED,0.0304,715,0
LETSA,orb7.fjs,101,1,SATISFIED,0.0338,284,0
LETSA,orb8.fjs,101,1,SATISFIED,0.0296,575,0
LETSA,orb9.fjs,101,1,SATISFIED,0.0303,674,0
LETSA,orb10.fjs,101,1,SATISFIED,0.0297,681,0
EA-Ei-LM,abz5.fjs,101,1,SATISFIED,60.8806,944,1414
EA-Ei-LM,abz5.fjs,101,2,SATISFIED,60.4593,898,1567
EA-Ei-LM,abz5.fjs,101,3,SATISFIED,60.7563,903,1498
EA-Ei-LM,abz5.fjs,101,4,SATISFIED,60.4616,909,1417
EA-Ei-LM,abz5.fjs,101,5,SATISFIED,60.4832,927,1476
EA-Ei-LM,abz6.fjs,101,1,SATISFIED,60.4903,752,1288
EA-Ei-LM,abz6.fjs,101,2,SATISFIED,60.5355,742,1381
EA-Ei-LM,abz6.fjs,101,3,SATISFIED,60.758,742,1393
EA-Ei-LM,abz6.fjs,101,4,SATISFIED,60.4834,742,1382
EA-Ei-LM,abz6.fjs,101,5,SATISFIED,60.4796,742,1445
EA-Ei-LM,abz7.fjs,301,1,SATISFIED,62.3718,660,844
EA-Ei-LM,abz7.fjs,301,2,SATISFIED,63.3552,642,959
EA-Ei-LM,abz7.fjs,301,3,SATISFIED,63.3781,618,872
EA-Ei-LM,abz7.fjs,301,4,SATISFIED,62.4176,630,903
EA-Ei-LM,abz7.fjs,301,5,SATISFIED,62.3897,621,871
EA-Ei-LM,abz8.fjs,301,1,SATISFIED,62.3787,662,903
EA-Ei-LM,abz8.fjs,301,2,SATISFIED,62.4719,669,875
EA-Ei-LM,abz8.fjs,301,3,SATISFIED,62.4155,657,900
EA-Ei-LM,abz8.fjs,301,4,SATISFIED,62.4185,652,941
EA-Ei-LM,abz8.fjs,301,5,SATISFIED,62.4072,640,977
EA-Ei-LM,abz9.fjs,301,1,SATISFIED,62.4043,649,925
EA-Ei-LM,abz9.fjs,301,2,SATISFIED,62.4199,664,890
EA-Ei-LM,abz9.fjs,301,3,SATISFIED,62.4216,623,863
EA-Ei-LM,abz9.fjs,301,4,SATISFIED,62.4265,644,849
EA-Ei-LM,abz9.fjs,301,5,SATISFIED,62.3953,639,920
EA-Ei-LM,car1.fjs,56,1,SATISFIED,60.2206,5115,1546
EA-Ei-LM,car1.fjs,56,2,SATISFIED,60.2373,5062,1438
EA-Ei-LM,car1.fjs,56,3,SATISFIED,60.229,5082,1420
