Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,1,SATISFIED,60.1716,10367940.0,2032.97
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,2,SATISFIED,60.3262,10167360.0,2020.12
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,3,SATISFIED,60.2315,10292820.0,2041.34
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,4,SATISFIED,60.2336,10134540.0,2070.66
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,5,SATISFIED,60.3656,10203300.0,2021.38
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,6,SATISFIED,60.2436,10216020.0,2040.12
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,7,SATISFIED,60.2466,10444740.0,2047.28
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,8,SATISFIED,60.4161,10236180.0,2036.12
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,9,SATISFIED,60.251,10198740.0,2032.72
TS-Ei-LM,bom_mix_2_5_10_80_20_No1,26,10,SATISFIED,60.2305,10647360.0,2017.16
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,1,SATISFIED,60.3094,111524220.0,1137.94
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,2,SATISFIED,60.6255,110160600.0,1158.28
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,3,SATISFIED,60.446,109689180.0,1127.44
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,4,SATISFIED,60.4595,111496800.0,1147.59
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,5,SATISFIED,60.5624,111351000.0,1126.91
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,6,SATISFIED,60.4603,110019000.0,1168.69
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,7,SATISFIED,60.5946,111270300.0,1167.28
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,8,SATISFIED,60.4696,111231900.0,1154.69
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,9,SATISFIED,60.6042,110043180.0,1154.78
TS-Ei-LM,bom_mix_2_5_10_80_20_No2,89,10,SATISFIED,60.4447,109098660.0,1155.94
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,1,SATISFIED,60.3627,3994260.0,1649.78
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,2,SATISFIED,60.2374,4063500.0,1661.44
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,3,SATISFIED,60.4827,3073440.0,1664.56
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,4,SATISFIED,60.2285,3893700.0,1645.69
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,5,SATISFIED,60.3318,4093020.0,1677.69
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,6,SATISFIED,60.4357,3085860.0,1647.97
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,7,SATISFIED,60.3686,3059700.0,1645.53
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,8,SATISFIED,60.2468,3989760.0,1657.66
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,9,SATISFIED,60.4084,3099060.0,1646.72
TS-Ei-LM,bom_mix_3_4_6_80_20_No1,56,10,SATISFIED,60.2248,3089520.0,1685.34
TS-Ei-LM,bom_mix_3_4_6_80_20_No2,126,1,SATISFIED,60.3899,66955380.0,1162.0
TS-Ei-LM,bom_mix_3_4_6_80_20_No2,126,2,SATISFIED,60.7288,66957300.0,1160.69
