Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,1,SATISFIED,60.2492,141633.0,1586.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,2,SATISFIED,60.1672,140704.0,1653.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,3,SATISFIED,60.1744,141000.0,1528.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,4,SATISFIED,60.1856,142100.0,1539.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,5,SATISFIED,60.1534,141842.0,1660.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,6,SATISFIED,60.1542,140447.0,1552.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,7,SATISFIED,60.3044,140300.0,1553.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,8,SATISFIED,60.2935,139420.0,1617.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,9,SATISFIED,60.2026,139000.0,1525.0
EA-Ei-LM,bom_wide_2_10_10_5_No1,41,10,SATISFIED,60.3103,140280.0,1561.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,1,SATISFIED,60.2436,141820.0,1428.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,2,SATISFIED,60.1764,141820.0,1560.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,3,SATISFIED,60.1654,144802.0,1626.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,4,SATISFIED,60.1749,141939.0,1449.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,5,SATISFIED,60.173,143572.0,1565.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,6,SATISFIED,60.1764,141940.0,1604.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,7,SATISFIED,60.1503,141820.0,1590.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,8,SATISFIED,60.2189,143050.0,1673.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,9,SATISFIED,60.3139,159778.0,1421.0
EA-Ei-LM,bom_wide_2_10_10_5_No2,41,10,SATISFIED,60.1871,142104.0,1536.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,1,SATISFIED,60.1957,64687.0,1336.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,2,SATISFIED,60.1869,65440.0,1222.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,3,SATISFIED,60.1587,64203.0,1311.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,4,SATISFIED,60.1746,64788.0,1273.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,5,SATISFIED,60.1666,65056.0,1240.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,6,SATISFIED,60.1859,63821.0,1320.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,7,SATISFIED,60.1875,64513.0,1377.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,8,SATISFIED,60.1704,65551.0,1394.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,9,SATISFIED,60.185,65562.0,1318.0
EA-Ei-LM,bom_wide_2_10_30_15_No1,41,10,SATISFIED,60.1736,64325.0,1392.0
