Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Ei-LM,YFJS01,41,1,SATISFIED,60.1852,773.0,4302.62
TS-Ei-LM,YFJS01,41,2,SATISFIED,60.2367,773.0,4296.69
TS-Ei-LM,YFJS01,41,3,SATISFIED,60.2789,773.0,4340.53
TS-Ei-LM,YFJS01,41,4,SATISFIED,60.2523,773.0,4391.41
TS-Ei-LM,YFJS01,41,5,SATISFIED,60.2524,773.0,4419.06
TS-Ei-LM,YFJS01,41,6,SATISFIED,60.2254,773.0,4389.31
TS-Ei-LM,YFJS01,41,7,SATISFIED,60.2428,773.0,4336.72
TS-Ei-LM,YFJS01,41,8,SATISFIED,60.2386,773.0,4365.0
TS-Ei-LM,YFJS01,41,9,SATISFIED,60.1725,773.0,4391.25
TS-Ei-LM,YFJS01,41,10,SATISFIED,60.2368,773.0,4317.12
TS-Ei-LM,YFJS02,41,1,SATISFIED,60.2997,825.0,4377.5
TS-Ei-LM,YFJS02,41,2,SATISFIED,60.2447,825.0,4312.53
TS-Ei-LM,YFJS02,41,3,SATISFIED,60.251,825.0,4328.06
TS-Ei-LM,YFJS02,41,4,SATISFIED,60.2505,825.0,4382.62
TS-Ei-LM,YFJS02,41,5,SATISFIED,60.2582,825.0,4357.28
TS-Ei-LM,YFJS02,41,6,SATISFIED,60.223,825.0,4302.91
TS-Ei-LM,YFJS02,41,7,SATISFIED,60.2416,825.0,4318.47
TS-Ei-LM,YFJS02,41,8,SATISFIED,60.2505,825.0,4332.22
TS-Ei-LM,YFJS02,41,9,SATISFIED,60.2537,825.0,4351.75
TS-Ei-LM,YFJS02,41,10,SATISFIED,60.2408,825.0,4374.66
TS-Ei-LM,YFJS03,25,1,SATISFIED,60.1449,347.0,4557.03
TS-Ei-LM,YFJS03,25,2,SATISFIED,60.2233,347.0,4523.28
TS-Ei-LM,YFJS03,25,3,SATISFIED,60.2104,347.0,4367.03
TS-Ei-LM,YFJS03,25,4,SATISFIED,60.4062,347.0,4511.56
TS-Ei-LM,YFJS03,25,5,SATISFIED,60.1959,347.0,4518.22
TS-Ei-LM,YFJS03,25,6,SATISFIED,60.1962,347.0,4495.47
TS-Ei-LM,YFJS03,25,7,SATISFIED,60.2,347.0,4512.0
TS-Ei-LM,YFJS03,25,8,SATISFIED,60.2135,347.0,4387.84
TS-Ei-LM,YFJS03,25,9,SATISFIED,60.2204,347.0,4474.12
TS-Ei-LM,YFJS03,25,10,SATISFIED,60.2266,347.0,4493.88
TS-Ei-LM,YFJS04,29,1,SATISFIED,60.2166,390.0,4382.38
TS-Ei-LM,YFJS04,29,2,SATISFIED,60.1835,390.0,4389.44
TS-Ei-LM,YFJS04,29,3,SATISFIED,60.2444,390.0,4436.47
TS-Ei-LM,YFJS04,29,4,SATISFIED,60.2096,390.0,4405.97
TS-Ei-LM,YFJS04,29,5,SATISFIED,60.186,390.0,4429.81
TS-Ei-LM,YFJS04,29,6,SATISFIED,60.2022,390.0,4428.94
TS-Ei-LM,YFJS04,29,7,SATISFIED,60.2122,390.0,4418.31
TS-Ei-LM,YFJS04,29,8,SATISFIED,60.2012,390.0,4352.31
TS-Ei-LM,YFJS04,29,9,SATISFIED,60.5918,390.0,4480.31
TS-Ei-LM,YFJS04,29,10,SATISFIED,60.2177,390.0,4466.84
TS-Ei-LM,YFJS05,33,1,SATISFIED,60.2218,452.0,4452.62
TS-Ei-LM,YFJS05,33,2,SATISFIED,60.2213,445.0,4443.97
TS-Ei-LM,YFJS05,33,3,SATISFIED,60.2298,452.0,4377.78
TS-Ei-LM,YFJS05,33,4,SATISFIED,60.2255,445.0,4289.31
TS-Ei-LM,YFJS05,33,5,SATISFIED,60.2092,445.0,4372.56
TS-Ei-LM,YFJS05,33,6,SATISFIED,60.2491,452.0,4403.78
TS-Ei-LM,YFJS05,33,7,SATISFIED,60.2203,445.0,4377.81
TS-Ei-LM,YFJS05,33,8,SATISFIED,60.215,445.0,4305.56
TS-Ei-LM,YFJS05,33,9,SATISFIED,60.2167,445.0,4402.19
TS-Ei-LM,YFJS05,33,10,SATISFIED,60.2314,445.0,4448.5
TS-Ei-LM,YFJS06,37,1,SATISFIED,60.2261,447.0,4457.97
TS-Ei-LM,YFJS06,37,2,SATISFIED,60.5526,449.0,4438.31
TS-Ei-LM,YFJS06,37,3,SATISFIED,60.2357,452.0,4177.34
TS-Ei-LM,YFJS06,37,4,SATISFIED,60.2261,449.0,4376.81
TS-Ei-LM,YFJS06,37,5,SATISFIED,60.2168,449.0,4433.69
TS-Ei-LM,YFJS06,37,6,SATISFIED,60.2193,447.0,4373.03
TS-Ei-LM,YFJS06,37,7,SATISFIED,60.2225,447.0,4385.09
TS-Ei-LM,YFJS06,37,8,SATISFIED,60.2218,450.0,4357.22
TS-Ei-LM,YFJS06,37,9,SATISFIED,60.251,447.0,4394.34
TS-Ei-LM,YFJS06,37,10,SATISFIED,60.155,450.0,4352.62
TS-Ei-LM,YFJS07,37,1,SATISFIED,60.2515,444.0,4292.66
TS-Ei-LM,YFJS07,37,2,SATISFIED,60.2314,444.0,4362.97
TS-Ei-LM,YFJS07,37,3,SATISFIED,60.2525,456.0,4332.44
TS-Ei-LM,YFJS07,37,4,SATISFIED,60.2291,455.0,4389.59
TS-Ei-LM,YFJS07,37,5,SATISFIED,60.4738,455.0,4391.19
TS-Ei-LM,YFJS07,37,6,SATISFIED,60.2214,455.0,4358.56
TS-Ei-LM,YFJS07,37,7,SATISFIED,60.2486,455.0,4385.09
TS-Ei-LM,YFJS07,37,8,SATISFIED,60.2508,444.0,4359.5
TS-Ei-LM,YFJS07,37,9,SATISFIED,60.1756,444.0,4377.03
TS-Ei-LM,YFJS07,37,10,SATISFIED,60.2329,444.0,4417.03
TS-Ei-LM,YFJS08,37,1,SATISFIED,60.1889,353.0,4087.38
TS-Ei-LM,YFJS08,37,2,SATISFIED,60.2302,353.0,4163.12
TS-Ei-LM,YFJS08,37,3,SATISFIED,60.1349,353.0,4127.91
TS-Ei-LM,YFJS08,37,4,SATISFIED,60.2228,353.0,4159.28
TS-Ei-LM,YFJS08,37,5,SATISFIED,60.1779,353.0,4113.41
TS-Ei-LM,YFJS08,37,6,SATISFIED,60.1348,353.0,4154.34
TS-Ei-LM,YFJS08,37,7,SATISFIED,60.2256,353.0,4180.16
TS-Ei-LM,YFJS08,37,8,SATISFIED,60.3115,353.0,4078.88
TS-Ei-LM,YFJS08,37,9,SATISFIED,60.1576,353.0,4221.22
TS-Ei-LM,YFJS08,37,10,SATISFIED,60.1671,353.0,4232.84
TS-Ei-LM,YFJS09,37,1,SATISFIED,60.2416,242.0,3695.41
TS-Ei-LM,YFJS09,37,2,SATISFIED,60.2669,242.0,3605.72
TS-Ei-LM,YFJS09,37,3,SATISFIED,60.2802,242.0,3618.34
TS-Ei-LM,YFJS09,37,4,SATISFIED,60.2379,242.0,3691.94
TS-Ei-LM,YFJS09,37,5,SATISFIED,60.2229,242.0,3633.38
TS-Ei-LM,YFJS09,37,6,SATISFIED,60.2068,242.0,3689.0
TS-Ei-LM,YFJS09,37,7,SATISFIED,60.2343,242.0,3672.09
TS-Ei-LM,YFJS09,37,8,SATISFIED,60.2475,242.0,3702.09
TS-Ei-LM,YFJS09,37,9,SATISFIED,60.4346,242.0,3662.31
TS-Ei-LM,YFJS09,37,10,SATISFIED,60.1457,242.0,3707.22
TS-Ei-LM,YFJS10,41,1,SATISFIED,60.2369,399.0,4253.81
TS-Ei-LM,YFJS10,41,2,SATISFIED,60.1538,399.0,4235.38
TS-Ei-LM,YFJS10,41,3,SATISFIED,60.1793,399.0,4227.44
TS-Ei-LM,YFJS10,41,4,SATISFIED,60.1685,399.0,4178.5
TS-Ei-LM,YFJS10,41,5,SATISFIED,60.2568,399.0,4267.66
TS-Ei-LM,YFJS10,41,6,SATISFIED,60.1649,399.0,4215.59
TS-Ei-LM,YFJS10,41,7,SATISFIED,60.2632,399.0,4193.5
TS-Ei-LM,YFJS10,41,8,SATISFIED,60.2543,399.0,4151.78
TS-Ei-LM,YFJS10,41,9,SATISFIED,60.2006,399.0,4227.69
TS-Ei-LM,YFJS10,41,10,SATISFIED,60.4353,399.0,4210.72
TS-Ei-LM,YFJS11,51,1,SATISFIED,60.2297,529.0,4223.12
TS-Ei-LM,YFJS11,51,2,SATISFIED,60.2801,529.0,4271.09
TS-Ei-LM,YFJS11,51,3,SATISFIED,60.2734,529.0,4218.28
TS-Ei-LM,YFJS11,51,4,SATISFIED,60.2709,529.0,4225.25
TS-Ei-LM,YFJS11,51,5,SATISFIED,60.2706,529.0,4203.97
TS-Ei-LM,YFJS11,51,6,SATISFIED,60.2731,529.0,4229.5
TS-Ei-LM,YFJS11,51,7,SATISFIED,60.2744,529.0,4241.75
TS-Ei-LM,YFJS11,51,8,SATISFIED,60.2631,529.0,4171.5
TS-Ei-LM,YFJS11,51,9,SATISFIED,60.3595,529.0,4245.5
TS-Ei-LM,YFJS11,51,10,SATISFIED,60.1615,529.0,4206.28
TS-Ei-LM,YFJS12,51,1,SATISFIED,60.2887,520.0,4109.88
TS-Ei-LM,YFJS12,51,2,SATISFIED,60.2766,528.0,4222.69
TS-Ei-LM,YFJS12,51,3,SATISFIED,60.2761,513.0,4190.44
TS-Ei-LM,YFJS12,51,4,SATISFIED,60.2947,517.0,4179.59
TS-Ei-LM,YFJS12,51,5,SATISFIED,60.3179,519.0,4132.81
TS-Ei-LM,YFJS12,51,6,SATISFIED,60.2839,517.0,4242.56
TS-Ei-LM,YFJS12,51,7,SATISFIED,60.2603,517.0,4278.28
TS-Ei-LM,YFJS12,51,8,SATISFIED,60.2849,520.0,4225.84
TS-Ei-LM,YFJS12,51,9,SATISFIED,60.5118,518.0,4274.0
TS-Ei-LM,YFJS12,51,10,SATISFIED,60.2447,517.0,4210.44
TS-Ei-LM,YFJS13,51,1,SATISFIED,60.2801,405.0,4271.66
TS-Ei-LM,YFJS13,51,2,SATISFIED,60.2822,405.0,4152.44
TS-Ei-LM,YFJS13,51,3,SATISFIED,60.2964,405.0,4199.44
TS-Ei-LM,YFJS13,51,4,SATISFIED,60.1919,405.0,4165.09
TS-Ei-LM,YFJS13,51,5,SATISFIED,60.2651,405.0,4254.84
TS-Ei-LM,YFJS13,51,6,SATISFIED,60.2019,405.0,4272.62
TS-Ei-LM,YFJS13,51,7,SATISFIED,60.281,405.0,4192.69
TS-Ei-LM,YFJS13,51,8,SATISFIED,60.3651,405.0,4247.66
TS-Ei-LM,YFJS13,51,9,SATISFIED,60.2627,408.0,4295.75
TS-Ei-LM,YFJS13,51,10,SATISFIED,60.1955,405.0,4293.5
TS-Ei-LM,YFJS14,222,1,SATISFIED,61.0408,1317.0,2429.34
