Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Si-LM,50_2_2_1,151,1,SATISFIED,62.2186,5650.0,2568.72
TS-Si-LM,50_2_2_1,151,2,SATISFIED,62.318,5650.0,2600.66
TS-Si-LM,50_2_2_1,151,3,SATISFIED,62.3434,5651.0,2611.25
TS-Si-LM,50_2_2_1,151,4,SATISFIED,62.3369,5651.0,2545.66
TS-Si-LM,50_2_2_1,151,5,SATISFIED,62.3649,5650.0,2574.28
TS-Si-LM,50_2_2_1,151,6,SATISFIED,62.2853,5651.0,2583.5
TS-Si-LM,50_2_2_1,151,7,SATISFIED,62.3031,5652.0,2588.44
TS-Si-LM,50_2_2_1,151,8,SATISFIED,62.3127,5652.0,2568.91
TS-Si-LM,50_2_2_1,151,9,SATISFIED,62.2771,5651.0,2598.62
TS-Si-LM,50_2_2_1,151,10,SATISFIED,62.0824,5651.0,2552.34
TS-Si-LM,50_2_2_2,151,1,SATISFIED,62.2545,6035.0,2600.34
TS-Si-LM,50_2_2_2,151,2,SATISFIED,62.2556,6035.0,2501.16
TS-Si-LM,50_2_2_2,151,3,SATISFIED,62.3333,6036.0,2507.72
TS-Si-LM,50_2_2_2,151,4,SATISFIED,61.9403,6035.0,2550.59
TS-Si-LM,50_2_2_2,151,5,SATISFIED,62.1925,6035.0,2559.66
TS-Si-LM,50_2_2_2,151,6,SATISFIED,62.039,6035.0,2545.97
TS-Si-LM,50_2_2_2,151,7,SATISFIED,62.1417,6035.0,2544.03
TS-Si-LM,50_2_2_2,151,8,SATISFIED,62.2826,6035.0,2563.0
TS-Si-LM,50_2_2_2,151,9,SATISFIED,62.0599,6035.0,2556.56
TS-Si-LM,50_2_2_2,151,10,SATISFIED,62.1879,6035.0,2548.53
TS-Si-LM,50_2_4_11,151,1,SATISFIED,62.1811,5673.0,2617.16
TS-Si-LM,50_2_4_11,151,2,SATISFIED,61.9622,5663.0,2601.5
