Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Si-LM,DAFJS01,27,1,SATISFIED,60.3676,267.0,3946.38
TS-Si-LM,DAFJS01,27,2,SATISFIED,60.2777,260.0,4030.19
TS-Si-LM,DAFJS01,27,3,SATISFIED,60.2364,257.0,4083.25
TS-Si-LM,DAFJS01,27,4,SATISFIED,60.2271,257.0,4100.09
TS-Si-LM,DAFJS01,27,5,SATISFIED,60.2044,257.0,4054.81
TS-Si-LM,DAFJS01,27,6,SATISFIED,60.2144,265.0,4057.06
TS-Si-LM,DAFJS01,27,7,SATISFIED,60.2056,257.0,4073.69
TS-Si-LM,DAFJS01,27,8,SATISFIED,60.2146,265.0,4081.62
TS-Si-LM,DAFJS01,27,9,SATISFIED,60.217,257.0,4041.28
TS-Si-LM,DAFJS01,27,10,SATISFIED,60.3673,265.0,4046.81
TS-Si-LM,DAFJS02,26,1,SATISFIED,60.1587,295.0,4093.56
TS-Si-LM,DAFJS02,26,2,SATISFIED,60.1865,296.0,4071.09
TS-Si-LM,DAFJS02,26,3,SATISFIED,60.2078,291.0,4084.84
TS-Si-LM,DAFJS02,26,4,SATISFIED,60.2145,291.0,4113.25
TS-Si-LM,DAFJS02,26,5,SATISFIED,60.1371,291.0,3993.19
TS-Si-LM,DAFJS02,26,6,SATISFIED,60.2282,291.0,4084.78
TS-Si-LM,DAFJS02,26,7,SATISFIED,60.2083,293.0,4074.34
TS-Si-LM,DAFJS02,26,8,SATISFIED,60.2222,291.0,4077.34
TS-Si-LM,DAFJS02,26,9,SATISFIED,60.2202,296.0,4073.53
TS-Si-LM,DAFJS02,26,10,SATISFIED,60.2246,289.0,4083.97
TS-Si-LM,DAFJS03,56,1,SATISFIED,60.217,576.0,3460.06
TS-Si-LM,DAFJS03,56,2,SATISFIED,60.2085,576.0,3469.69
TS-Si-LM,DAFJS03,56,3,SATISFIED,60.8223,576.0,3359.53
TS-Si-LM,DAFJS03,56,4,SATISFIED,60.3151,576.0,3432.78
TS-Si-LM,DAFJS03,56,5,SATISFIED,60.3271,576.0,3492.5
TS-Si-LM,DAFJS03,56,6,SATISFIED,60.3386,576.0,3459.94
TS-Si-LM,DAFJS03,56,7,SATISFIED,60.3348,576.0,3471.78
TS-Si-LM,DAFJS03,56,8,SATISFIED,60.3119,576.0,3457.22
TS-Si-LM,DAFJS03,56,9,SATISFIED,60.317,576.0,3468.09
TS-Si-LM,DAFJS03,56,10,SATISFIED,60.3224,576.0,3445.75
TS-Si-LM,DAFJS04,44,1,SATISFIED,60.2577,606.0,3374.38
TS-Si-LM,DAFJS04,44,2,SATISFIED,60.5125,606.0,3364.34
TS-Si-LM,DAFJS04,44,3,SATISFIED,60.2656,606.0,3376.0
TS-Si-LM,DAFJS04,44,4,SATISFIED,60.2815,606.0,3380.5
TS-Si-LM,DAFJS04,44,5,SATISFIED,60.3196,606.0,3330.78
TS-Si-LM,DAFJS04,44,6,SATISFIED,60.2294,606.0,3336.53
TS-Si-LM,DAFJS04,44,7,SATISFIED,60.3011,606.0,3347.97
TS-Si-LM,DAFJS04,44,8,SATISFIED,60.2842,606.0,3324.09
TS-Si-LM,DAFJS04,44,9,SATISFIED,60.2781,606.0,3325.34
TS-Si-LM,DAFJS04,44,10,SATISFIED,60.2602,606.0,3379.25
TS-Si-LM,DAFJS05,40,1,SATISFIED,60.2898,394.0,4057.34
TS-Si-LM,DAFJS05,40,2,SATISFIED,60.2505,401.0,4104.25
TS-Si-LM,DAFJS05,40,3,SATISFIED,60.3746,403.0,4109.84
TS-Si-LM,DAFJS05,40,4,SATISFIED,60.1999,405.0,4120.88
TS-Si-LM,DAFJS05,40,5,SATISFIED,60.2399,396.0,4149.19
TS-Si-LM,DAFJS05,40,6,SATISFIED,60.2388,392.0,4127.94
TS-Si-LM,DAFJS05,40,7,SATISFIED,60.1885,403.0,4120.41
TS-Si-LM,DAFJS05,40,8,SATISFIED,60.2841,396.0,3946.56
TS-Si-LM,DAFJS05,40,9,SATISFIED,60.2823,401.0,4074.34
TS-Si-LM,DAFJS05,40,10,SATISFIED,60.2885,405.0,4012.09
TS-Si-LM,DAFJS06,45,1,SATISFIED,60.2752,415.0,3899.91
TS-Si-LM,DAFJS06,45,2,SATISFIED,60.2106,420.0,3909.0
TS-Si-LM,DAFJS06,45,3,SATISFIED,60.2631,425.0,3987.88
TS-Si-LM,DAFJS06,45,4,SATISFIED,60.2709,424.0,3978.97
TS-Si-LM,DAFJS06,45,5,SATISFIED,60.5063,415.0,3951.25
TS-Si-LM,DAFJS06,45,6,SATISFIED,60.2742,414.0,3949.38
TS-Si-LM,DAFJS06,45,7,SATISFIED,60.2928,426.0,3960.09
TS-Si-LM,DAFJS06,45,8,SATISFIED,60.2903,430.0,3897.88
TS-Si-LM,DAFJS06,45,9,SATISFIED,60.2989,431.0,3965.72
TS-Si-LM,DAFJS06,45,10,SATISFIED,60.4056,426.0,3969.56
TS-Si-LM,DAFJS07,86,1,SATISFIED,60.4336,533.0,3188.97
TS-Si-LM,DAFJS07,86,2,SATISFIED,60.4991,522.0,3164.88
TS-Si-LM,DAFJS07,86,3,SATISFIED,60.2419,525.0,3214.12
TS-Si-LM,DAFJS07,86,4,SATISFIED,60.6764,530.0,3216.84
TS-Si-LM,DAFJS07,86,5,SATISFIED,60.4,525.0,3197.03
TS-Si-LM,DAFJS07,86,6,SATISFIED,60.4171,531.0,3191.19
TS-Si-LM,DAFJS07,86,7,SATISFIED,60.4344,525.0,3159.03
TS-Si-LM,DAFJS07,86,8,SATISFIED,60.4298,528.0,3240.56
TS-Si-LM,DAFJS07,86,9,SATISFIED,60.4057,524.0,3226.0
TS-Si-LM,DAFJS07,86,10,SATISFIED,60.5489,531.0,3192.38
TS-Si-LM,DAFJS08,86,1,SATISFIED,60.4124,628.0,3201.19
TS-Si-LM,DAFJS08,86,2,SATISFIED,60.4219,628.0,3180.75
TS-Si-LM,DAFJS08,86,3,SATISFIED,60.4193,628.0,3254.56
TS-Si-LM,DAFJS08,86,4,SATISFIED,60.3992,628.0,3253.5
TS-Si-LM,DAFJS08,86,5,SATISFIED,60.4468,628.0,3248.25
TS-Si-LM,DAFJS08,86,6,SATISFIED,60.639,628.0,3240.59
TS-Si-LM,DAFJS08,86,7,SATISFIED,60.4018,628.0,3192.75
TS-Si-LM,DAFJS08,86,8,SATISFIED,60.4144,628.0,3266.81
TS-Si-LM,DAFJS08,86,9,SATISFIED,60.4041,628.0,3277.44
TS-Si-LM,DAFJS08,86,10,SATISFIED,60.4236,628.0,3278.09
