Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Si-LM,bom_deep_8_4_40_15_No1,794,1,SATISFIED,64.5311,270077.0,594.0
TS-Si-LM,bom_deep_8_4_40_15_No1,794,2,SATISFIED,65.1293,275161.0,594.03
TS-Si-LM,bom_deep_8_4_40_15_No1,794,3,SATISFIED,64.3424,276009.0,594.22
TS-Si-LM,bom_deep_8_4_40_15_No1,794,4,SATISFIED,65.2373,270479.0,594.56
TS-Si-LM,bom_deep_8_4_40_15_No1,794,5,SATISFIED,65.4027,274152.0,594.47
TS-Si-LM,bom_deep_8_4_40_15_No1,794,6,SATISFIED,65.4087,263924.0,593.91
TS-Si-LM,bom_deep_8_4_40_15_No1,794,7,SATISFIED,65.17,279215.0,594.0
TS-Si-LM,bom_deep_8_4_40_15_No1,794,8,SATISFIED,65.1162,280440.0,594.38
TS-Si-LM,bom_deep_8_4_40_15_No1,794,9,SATISFIED,65.1813,275726.0,594.38
TS-Si-LM,bom_deep_8_4_40_15_No1,794,10,SATISFIED,64.8293,276142.0,594.44
TS-Si-LM,bom_deep_8_4_40_15_No2,855,1,SATISFIED,66.1866,342758.0,594.09
TS-Si-LM,bom_deep_8_4_40_15_No2,855,2,SATISFIED,65.8909,353041.0,594.22
TS-Si-LM,bom_deep_8_4_40_15_No2,855,3,SATISFIED,65.3101,350285.0,593.91
TS-Si-LM,bom_deep_8_4_40_15_No2,855,4,SATISFIED,67.8961,358184.0,594.0
TS-Si-LM,bom_deep_8_4_40_15_No2,855,5,SATISFIED,65.8756,357289.0,594.0
TS-Si-LM,bom_deep_8_4_40_15_No2,855,6,SATISFIED,65.8977,356296.0,593.91
TS-Si-LM,bom_deep_8_4_40_15_No2,855,7,SATISFIED,65.9116,351161.0,594.0
TS-Si-LM,bom_deep_8_4_40_15_No2,855,8,SATISFIED,65.8831,354425.0,593.88
TS-Si-LM,bom_deep_8_4_40_15_No2,855,9,SATISFIED,66.4925,357695.0,593.72
TS-Si-LM,bom_deep_8_4_40_15_No2,855,10,SATISFIED,67.0527,358788.0,593.72
TS-Si-LM,bom_deep_9_4_40_15_No1,633,1,SATISFIED,63.51,261752.0,726.47
TS-Si-LM,bom_deep_9_4_40_15_No1,633,2,SATISFIED,63.1279,260945.0,726.41
TS-Si-LM,bom_deep_9_4_40_15_No1,633,3,SATISFIED,63.7252,263134.0,722.19
TS-Si-LM,bom_deep_9_4_40_15_No1,633,4,SATISFIED,63.8904,265632.0,725.28
TS-Si-LM,bom_deep_9_4_40_15_No1,633,5,SATISFIED,63.8579,262170.0,719.06
TS-Si-LM,bom_deep_9_4_40_15_No1,633,6,SATISFIED,63.8905,265009.0,729.19
TS-Si-LM,bom_deep_9_4_40_15_No1,633,7,SATISFIED,63.7125,259908.0,732.19
TS-Si-LM,bom_deep_9_4_40_15_No1,633,8,SATISFIED,63.8856,262714.0,729.91
TS-Si-LM,bom_deep_9_4_40_15_No1,633,9,SATISFIED,63.8291,263245.0,728.78
TS-Si-LM,bom_deep_9_4_40_15_No1,633,10,SATISFIED,63.8307,260293.0,727.25
TS-Si-LM,bom_deep_9_4_40_15_No2,617,1,SATISFIED,63.4815,288396.0,658.84
TS-Si-LM,bom_deep_9_4_40_15_No2,617,2,SATISFIED,63.7554,286415.0,672.44
TS-Si-LM,bom_deep_9_4_40_15_No2,617,3,SATISFIED,63.7298,286471.0,675.25
TS-Si-LM,bom_deep_9_4_40_15_No2,617,4,SATISFIED,62.8411,294828.0,676.91
TS-Si-LM,bom_deep_9_4_40_15_No2,617,5,SATISFIED,63.768,276281.0,670.25
TS-Si-LM,bom_deep_9_4_40_15_No2,617,6,SATISFIED,63.7531,291196.0,668.28
TS-Si-LM,bom_deep_9_4_40_15_No2,617,7,SATISFIED,63.0634,282696.0,668.12
TS-Si-LM,bom_deep_9_4_40_15_No2,617,8,SATISFIED,63.7558,285356.0,670.94
TS-Si-LM,bom_deep_9_4_40_15_No2,617,9,SATISFIED,63.721,284613.0,670.12
TS-Si-LM,bom_deep_9_4_40_15_No2,617,10,SATISFIED,63.7553,287590.0,669.91
TS-Si-LM,bom_deep_6_5_10_5_No1,54,1,SATISFIED,60.3466,779114.0,3033.81
TS-Si-LM,bom_deep_6_5_10_5_No1,54,2,SATISFIED,60.3604,774973.0,3043.09
TS-Si-LM,bom_deep_6_5_10_5_No1,54,3,SATISFIED,60.2277,777113.0,3092.38
TS-Si-LM,bom_deep_6_5_10_5_No1,54,4,SATISFIED,60.4398,785153.0,3060.34
TS-Si-LM,bom_deep_6_5_10_5_No1,54,5,SATISFIED,60.3741,779942.0,3082.81
TS-Si-LM,bom_deep_6_5_10_5_No1,54,6,SATISFIED,60.3761,779873.0,3053.34
TS-Si-LM,bom_deep_6_5_10_5_No1,54,7,SATISFIED,60.4113,776507.0,3061.0
TS-Si-LM,bom_deep_6_5_10_5_No1,54,8,SATISFIED,60.3941,784484.0,3073.16
TS-Si-LM,bom_deep_6_5_10_5_No1,54,9,SATISFIED,60.3664,778905.0,3105.44
TS-Si-LM,bom_deep_6_5_10_5_No1,54,10,SATISFIED,60.3541,783496.0,3078.09
TS-Si-LM,bom_deep_6_5_10_5_No2,54,1,SATISFIED,60.375,623373.0,3177.38
TS-Si-LM,bom_deep_6_5_10_5_No2,54,2,SATISFIED,60.3592,614010.0,3202.66
TS-Si-LM,bom_deep_6_5_10_5_No2,54,3,SATISFIED,60.359,605196.0,3206.41
TS-Si-LM,bom_deep_6_5_10_5_No2,54,4,SATISFIED,60.3661,644121.0,3119.41
TS-Si-LM,bom_deep_6_5_10_5_No2,54,5,SATISFIED,60.383,621784.0,3201.81
TS-Si-LM,bom_deep_6_5_10_5_No2,54,6,SATISFIED,60.4607,603103.0,3177.34
TS-Si-LM,bom_deep_6_5_10_5_No2,54,7,SATISFIED,60.3676,629372.0,3154.06
TS-Si-LM,bom_deep_6_5_10_5_No2,54,8,SATISFIED,60.3531,618657.0,3199.47
TS-Si-LM,bom_deep_6_5_10_5_No2,54,9,SATISFIED,60.2576,646162.0,3163.19
TS-Si-LM,bom_deep_6_5_10_5_No2,54,10,SATISFIED,60.3663,621992.0,3146.62
TS-Si-LM,bom_deep_6_5_30_15_No1,54,1,SATISFIED,60.3587,448910.0,2477.0
TS-Si-LM,bom_deep_6_5_30_15_No1,54,2,SATISFIED,60.3722,442091.0,2511.91
TS-Si-LM,bom_deep_6_5_30_15_No1,54,3,SATISFIED,60.3702,449587.0,2473.69
TS-Si-LM,bom_deep_6_5_30_15_No1,54,4,SATISFIED,60.3741,437112.0,2463.44
TS-Si-LM,bom_deep_6_5_30_15_No1,54,5,SATISFIED,60.353,464996.0,2413.78
TS-Si-LM,bom_deep_6_5_30_15_No1,54,6,SATISFIED,60.4455,451243.0,2481.22
TS-Si-LM,bom_deep_6_5_30_15_No1,54,7,SATISFIED,60.5165,450833.0,2465.28
TS-Si-LM,bom_deep_6_5_30_15_No1,54,8,SATISFIED,60.4282,442242.0,2436.16
TS-Si-LM,bom_deep_6_5_30_15_No1,54,9,SATISFIED,60.3686,433163.0,2466.47
TS-Si-LM,bom_deep_6_5_30_15_No1,54,10,SATISFIED,60.3512,439179.0,2467.72
TS-Si-LM,bom_deep_6_5_30_15_No2,54,1,SATISFIED,60.3555,439790.0,2450.91
TS-Si-LM,bom_deep_6_5_30_15_No2,54,2,SATISFIED,60.3478,468510.0,2428.59
TS-Si-LM,bom_deep_6_5_30_15_No2,54,3,SATISFIED,60.3498,459586.0,2409.97
TS-Si-LM,bom_deep_6_5_30_15_No2,54,4,SATISFIED,60.2646,475105.0,2426.53
TS-Si-LM,bom_deep_6_5_30_15_No2,54,5,SATISFIED,60.2168,470215.0,2455.72
TS-Si-LM,bom_deep_6_5_30_15_No2,54,6,SATISFIED,60.4384,459359.0,2452.84
TS-Si-LM,bom_deep_6_5_30_15_No2,54,7,SATISFIED,60.3639,442017.0,2443.47
TS-Si-LM,bom_deep_6_5_30_15_No2,54,8,SATISFIED,60.3731,471552.0,2410.12
TS-Si-LM,bom_deep_6_5_30_15_No2,54,9,SATISFIED,60.3595,460181.0,2437.03
TS-Si-LM,bom_deep_6_5_30_15_No2,54,10,SATISFIED,60.366,461750.0,2455.53
TS-Si-LM,bom_deep_7_5_10_5_No1,229,1,SATISFIED,61.1122,1906805.0,1797.75
TS-Si-LM,bom_deep_7_5_10_5_No1,229,2,SATISFIED,60.6696,1903908.0,1794.12
TS-Si-LM,bom_deep_7_5_10_5_No1,229,3,SATISFIED,61.1421,1893730.0,1775.75
TS-Si-LM,bom_deep_7_5_10_5_No1,229,4,SATISFIED,61.1609,1909328.0,1806.25
TS-Si-LM,bom_deep_7_5_10_5_No1,229,5,SATISFIED,61.1416,1910537.0,1809.03
TS-Si-LM,bom_deep_7_5_10_5_No1,229,6,SATISFIED,61.1416,1915066.0,1799.34
TS-Si-LM,bom_deep_7_5_10_5_No1,229,7,SATISFIED,60.7683,1905473.0,1799.34
TS-Si-LM,bom_deep_7_5_10_5_No1,229,8,SATISFIED,61.115,1901652.0,1794.62
TS-Si-LM,bom_deep_7_5_10_5_No1,229,9,SATISFIED,61.1603,1908961.0,1801.47
TS-Si-LM,bom_deep_7_5_10_5_No1,229,10,SATISFIED,61.1426,1903872.0,1810.31
TS-Si-LM,bom_deep_7_5_10_5_No2,229,1,SATISFIED,61.1804,1921116.0,1809.09
TS-Si-LM,bom_deep_7_5_10_5_No2,229,2,SATISFIED,61.1741,1921315.0,1798.94
TS-Si-LM,bom_deep_7_5_10_5_No2,229,3,SATISFIED,61.2065,1928418.0,1792.12
TS-Si-LM,bom_deep_7_5_10_5_No2,229,4,SATISFIED,60.7909,1936081.0,1796.69
TS-Si-LM,bom_deep_7_5_10_5_No2,229,5,SATISFIED,61.1471,1915787.0,1794.09
TS-Si-LM,bom_deep_7_5_10_5_No2,229,6,SATISFIED,61.1486,1916528.0,1797.0
TS-Si-LM,bom_deep_7_5_10_5_No2,229,7,SATISFIED,61.2111,1933363.0,1808.59
TS-Si-LM,bom_deep_7_5_10_5_No2,229,8,SATISFIED,61.2652,1930745.0,1800.12
TS-Si-LM,bom_deep_7_5_10_5_No2,229,9,SATISFIED,61.2878,1928120.0,1806.25
