Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Si-LM,P1,63,1,SATISFIED,60.289,77.0,3789.28
TS-Si-LM,P1,63,2,SATISFIED,60.2811,77.0,3806.59
TS-Si-LM,P1,63,3,SATISFIED,60.2869,77.0,3819.25
TS-Si-LM,P1,63,4,SATISFIED,60.2771,77.0,3914.38
TS-Si-LM,P1,63,5,SATISFIED,60.1697,77.0,3947.0
TS-Si-LM,P1,63,6,SATISFIED,60.2623,77.0,3945.22
TS-Si-LM,P1,63,7,SATISFIED,60.2841,77.0,4016.38
TS-Si-LM,P1,63,8,SATISFIED,60.2765,77.0,3933.31
TS-Si-LM,P1,63,9,SATISFIED,60.2764,77.0,3895.69
TS-Si-LM,P1,63,10,SATISFIED,60.3842,77.0,3942.47
TS-Si-LM,P2,74,1,SATISFIED,60.3368,90.0,3957.31
TS-Si-LM,P2,74,2,SATISFIED,60.3498,90.0,3978.62
TS-Si-LM,P2,74,3,SATISFIED,60.3321,90.0,3934.09
TS-Si-LM,P2,74,4,SATISFIED,60.3486,90.0,3790.44
TS-Si-LM,P2,74,5,SATISFIED,60.231,90.0,3793.59
TS-Si-LM,P2,74,6,SATISFIED,60.3321,90.0,3907.12
TS-Si-LM,P2,74,7,SATISFIED,60.3052,90.0,3836.69
TS-Si-LM,P2,74,8,SATISFIED,60.3461,90.0,3848.12
TS-Si-LM,P2,74,9,SATISFIED,60.419,90.0,3913.22
TS-Si-LM,P2,74,10,SATISFIED,60.3381,90.0,3903.41
TS-Si-LM,P3,83,1,SATISFIED,60.3681,100.0,3935.88
TS-Si-LM,P3,83,2,SATISFIED,60.3699,100.0,3899.28
TS-Si-LM,P3,83,3,SATISFIED,60.3545,100.0,3892.69
TS-Si-LM,P3,83,4,SATISFIED,60.4038,100.0,3925.94
TS-Si-LM,P3,83,5,SATISFIED,60.2578,100.0,3979.91
TS-Si-LM,P3,83,6,SATISFIED,60.3682,100.0,3902.88
TS-Si-LM,P3,83,7,SATISFIED,60.5058,100.0,3917.75
TS-Si-LM,P3,83,8,SATISFIED,60.3597,100.0,3929.31
TS-Si-LM,P3,83,9,SATISFIED,60.371,100.0,4003.09
TS-Si-LM,P3,83,10,SATISFIED,60.3734,100.0,4022.12
TS-Si-LM,P4,86,1,SATISFIED,60.3845,110.0,3870.47
TS-Si-LM,P4,86,2,SATISFIED,60.3937,110.0,3858.34
TS-Si-LM,P4,86,3,SATISFIED,60.246,110.0,3852.69
TS-Si-LM,P4,86,4,SATISFIED,60.3845,110.0,3803.22
TS-Si-LM,P4,86,5,SATISFIED,60.3902,110.0,3838.47
TS-Si-LM,P4,86,6,SATISFIED,60.5073,110.0,3831.0
TS-Si-LM,P4,86,7,SATISFIED,60.3818,110.0,3843.44
TS-Si-LM,P4,86,8,SATISFIED,60.3776,110.0,3729.25
TS-Si-LM,P4,86,9,SATISFIED,60.3863,110.0,3732.91
TS-Si-LM,P4,86,10,SATISFIED,60.3955,110.0,3762.44
TS-Si-LM,P5,92,1,SATISFIED,60.3955,135.0,3166.38
TS-Si-LM,P5,92,2,SATISFIED,60.3769,135.0,3138.5
TS-Si-LM,P5,92,3,SATISFIED,60.5348,135.0,3161.34
TS-Si-LM,P5,92,4,SATISFIED,60.256,135.0,3136.22
TS-Si-LM,P5,92,5,SATISFIED,60.2755,135.0,3191.41
TS-Si-LM,P5,92,6,SATISFIED,60.4169,135.0,3229.69
TS-Si-LM,P5,92,7,SATISFIED,60.413,135.0,3190.38
TS-Si-LM,P5,92,8,SATISFIED,60.409,135.0,3172.38
TS-Si-LM,P5,92,9,SATISFIED,60.4134,135.0,3102.88
TS-Si-LM,P5,92,10,SATISFIED,60.4031,135.0,3115.19
TS-Si-LM,P6,99,1,SATISFIED,60.5405,125.0,3692.72
TS-Si-LM,P6,99,2,SATISFIED,60.2521,125.0,3664.91
TS-Si-LM,P6,99,3,SATISFIED,60.4292,125.0,3652.62
TS-Si-LM,P6,99,4,SATISFIED,60.4261,125.0,3680.31
TS-Si-LM,P6,99,5,SATISFIED,60.4355,125.0,3687.66
TS-Si-LM,P6,99,6,SATISFIED,60.4335,125.0,3644.59
TS-Si-LM,P6,99,7,SATISFIED,60.4292,125.0,3743.06
TS-Si-LM,P6,99,8,SATISFIED,60.5698,125.0,3659.53
TS-Si-LM,P6,99,9,SATISFIED,60.4117,125.0,3645.28
TS-Si-LM,P6,99,10,SATISFIED,60.2851,125.0,3714.75
TS-Si-LM,P7,106,1,SATISFIED,60.4443,118.0,3756.5
TS-Si-LM,P7,106,2,SATISFIED,60.2885,118.0,3749.72
TS-Si-LM,P7,106,3,SATISFIED,60.459,118.0,3777.75
TS-Si-LM,P7,106,4,SATISFIED,60.4409,118.0,3799.81
TS-Si-LM,P7,106,5,SATISFIED,60.4532,118.0,3853.28
TS-Si-LM,P7,106,6,SATISFIED,60.4376,118.0,3786.16
TS-Si-LM,P7,106,7,SATISFIED,60.4735,118.0,3734.59
TS-Si-LM,P7,106,8,SATISFIED,60.2852,118.0,3741.41
TS-Si-LM,P7,106,9,SATISFIED,60.4371,118.0,3840.41
TS-Si-LM,P7,106,10,SATISFIED,60.4393,118.0,3791.12
TS-Si-LM,P8,111,1,SATISFIED,60.465,132.0,3825.53
TS-Si-LM,P8,111,2,SATISFIED,60.6057,133.0,3793.59
TS-Si-LM,P8,111,3,SATISFIED,60.2729,132.0,3732.81
TS-Si-LM,P8,111,4,SATISFIED,60.4919,132.0,3806.91
TS-Si-LM,P8,111,5,SATISFIED,60.4994,136.0,3794.19
TS-Si-LM,P8,111,6,SATISFIED,60.478,133.0,3729.81
TS-Si-LM,P8,111,7,SATISFIED,60.4759,132.0,3759.91
TS-Si-LM,P8,111,8,SATISFIED,60.4698,131.0,3770.69
TS-Si-LM,P8,111,9,SATISFIED,60.5923,132.0,3787.84
TS-Si-LM,P8,111,10,SATISFIED,60.463,132.0,3762.88
TS-Si-LM,P9,119,1,SATISFIED,60.506,134.0,3479.59
TS-Si-LM,P9,119,2,SATISFIED,60.4934,134.0,3485.72
TS-Si-LM,P9,119,3,SATISFIED,60.5004,134.0,3540.22
TS-Si-LM,P9,119,4,SATISFIED,60.4912,134.0,3535.12
TS-Si-LM,P9,119,5,SATISFIED,60.696,134.0,3517.75
TS-Si-LM,P9,119,6,SATISFIED,60.4877,134.0,3400.22
TS-Si-LM,P9,119,7,SATISFIED,60.4388,134.0,3532.53
TS-Si-LM,P9,119,8,SATISFIED,60.2854,134.0,3519.41
TS-Si-LM,P9,119,9,SATISFIED,60.4947,134.0,3505.22
TS-Si-LM,P9,119,10,SATISFIED,60.49,134.0,3488.28
TS-Si-LM,P10,123,1,SATISFIED,60.5097,155.0,3520.53
TS-Si-LM,P10,123,2,SATISFIED,60.6011,155.0,3491.91
TS-Si-LM,P10,123,3,SATISFIED,60.5097,155.0,3428.09
TS-Si-LM,P10,123,4,SATISFIED,60.5261,155.0,3506.44
TS-Si-LM,P10,123,5,SATISFIED,60.5125,155.0,3475.91
TS-Si-LM,P10,123,6,SATISFIED,60.5205,155.0,3443.16
TS-Si-LM,P10,123,7,SATISFIED,60.5114,155.0,3421.12
TS-Si-LM,P10,123,8,SATISFIED,60.4599,155.0,3497.47
TS-Si-LM,P10,123,9,SATISFIED,60.4891,155.0,3518.25
TS-Si-LM,P10,123,10,SATISFIED,60.529,155.0,3510.44
TS-Si-LM,P11,146,1,SATISFIED,60.6329,171.0,3167.88
TS-Si-LM,P11,146,2,SATISFIED,60.6206,171.0,3303.53
TS-Si-LM,P11,146,3,SATISFIED,60.6187,171.0,3259.34
TS-Si-LM,P11,146,4,SATISFIED,60.7129,171.0,3214.84
TS-Si-LM,P11,146,5,SATISFIED,60.6132,171.0,3194.53
TS-Si-LM,P11,146,6,SATISFIED,60.6225,171.0,3279.94
TS-Si-LM,P11,146,7,SATISFIED,60.6499,171.0,3211.56
TS-Si-LM,P11,146,8,SATISFIED,60.6272,171.0,3228.25
TS-Si-LM,P11,146,9,SATISFIED,60.7495,171.0,3169.16
TS-Si-LM,P11,146,10,SATISFIED,60.6003,171.0,3174.72
TS-Si-LM,P12,157,1,SATISFIED,60.662,164.0,3312.62
TS-Si-LM,P12,157,2,SATISFIED,60.698,166.0,3288.34
TS-Si-LM,P12,157,3,SATISFIED,60.6774,163.0,3309.22
TS-Si-LM,P12,157,4,SATISFIED,60.7637,165.0,3400.41
TS-Si-LM,P12,157,5,SATISFIED,60.6661,164.0,3373.47
TS-Si-LM,P12,157,6,SATISFIED,60.6879,165.0,3394.38
TS-Si-LM,P12,157,7,SATISFIED,60.6737,165.0,3413.62
TS-Si-LM,P12,157,8,SATISFIED,60.6822,166.0,3417.47
TS-Si-LM,P12,157,9,SATISFIED,60.7679,165.0,3365.5
TS-Si-LM,P12,157,10,SATISFIED,60.674,165.0,3387.56
TS-Si-LM,P13,192,1,SATISFIED,60.5346,228.0,2901.31
