Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Si-LM,la01.fjs,51,1,SATISFIED,61.9499,573.0,3921.03
TS-Si-LM,la01.fjs,51,2,SATISFIED,62.065,571.0,3794.69
TS-Si-LM,la01.fjs,51,3,SATISFIED,62.1133,572.0,3883.31
TS-Si-LM,la01.fjs,51,4,SATISFIED,61.837,573.0,3866.22
TS-Si-LM,la01.fjs,51,5,SATISFIED,61.9823,573.0,3873.88
TS-Si-LM,la01.fjs,51,6,SATISFIED,62.0821,572.0,3872.53
TS-Si-LM,la01.fjs,51,7,SATISFIED,62.2037,572.0,3873.5
TS-Si-LM,la01.fjs,51,8,SATISFIED,61.7892,574.0,3837.97
TS-Si-LM,la01.fjs,51,9,SATISFIED,61.9174,574.0,3920.41
TS-Si-LM,la01.fjs,51,10,SATISFIED,61.9509,573.0,3857.66
TS-Si-LM,la02.fjs,51,1,SATISFIED,61.8305,532.0,3877.03
TS-Si-LM,la02.fjs,51,2,SATISFIED,62.0402,531.0,3892.91
TS-Si-LM,la02.fjs,51,3,SATISFIED,61.9227,532.0,3971.88
TS-Si-LM,la02.fjs,51,4,SATISFIED,61.8224,531.0,3939.47
TS-Si-LM,la02.fjs,51,5,SATISFIED,61.9672,533.0,3889.12
TS-Si-LM,la02.fjs,51,6,SATISFIED,61.9004,531.0,3913.97
TS-Si-LM,la02.fjs,51,7,SATISFIED,62.0026,532.0,3898.81
TS-Si-LM,la02.fjs,51,8,SATISFIED,61.9432,531.0,3907.88
TS-Si-LM,la02.fjs,51,9,SATISFIED,62.038,531.0,3949.44
TS-Si-LM,la02.fjs,51,10,SATISFIED,61.8182,531.0,3911.44
TS-Si-LM,la03.fjs,51,1,SATISFIED,61.8868,481.0,3892.22
TS-Si-LM,la03.fjs,51,2,SATISFIED,61.8014,480.0,3915.34
TS-Si-LM,la03.fjs,51,3,SATISFIED,62.19,481.0,3945.66
TS-Si-LM,la03.fjs,51,4,SATISFIED,61.9889,480.0,3879.31
TS-Si-LM,la03.fjs,51,5,SATISFIED,61.8771,480.0,3941.0
TS-Si-LM,la03.fjs,51,6,SATISFIED,61.962,479.0,3890.44
TS-Si-LM,la03.fjs,51,7,SATISFIED,61.8115,480.0,3960.22
TS-Si-LM,la03.fjs,51,8,SATISFIED,61.8434,480.0,3929.16
TS-Si-LM,la03.fjs,51,9,SATISFIED,61.7239,481.0,3957.97
TS-Si-LM,la03.fjs,51,10,SATISFIED,61.9255,481.0,3960.69
TS-Si-LM,la04.fjs,51,1,SATISFIED,61.8569,504.0,3989.28
TS-Si-LM,la04.fjs,51,2,SATISFIED,61.8926,504.0,4038.75
TS-Si-LM,la04.fjs,51,3,SATISFIED,62.0226,504.0,3927.28
TS-Si-LM,la04.fjs,51,4,SATISFIED,61.9515,503.0,3965.62
TS-Si-LM,la04.fjs,51,5,SATISFIED,62.0342,504.0,3996.12
TS-Si-LM,la04.fjs,51,6,SATISFIED,62.0911,502.0,3996.22
TS-Si-LM,la04.fjs,51,7,SATISFIED,61.9871,503.0,4023.47
TS-Si-LM,la04.fjs,51,8,SATISFIED,61.8483,504.0,4017.66
TS-Si-LM,la04.fjs,51,9,SATISFIED,61.9065,504.0,3996.69
TS-Si-LM,la04.fjs,51,10,SATISFIED,61.9094,503.0,4006.62
TS-Si-LM,la05.fjs,51,1,SATISFIED,61.8645,463.0,4070.72
TS-Si-LM,la05.fjs,51,2,SATISFIED,61.983,460.0,3976.44
TS-Si-LM,la05.fjs,51,3,SATISFIED,62.1628,460.0,3965.62
TS-Si-LM,la05.fjs,51,4,SATISFIED,61.8334,462.0,4013.12
TS-Si-LM,la05.fjs,51,5,SATISFIED,61.8808,462.0,4049.31
TS-Si-LM,la05.fjs,51,6,SATISFIED,62.048,463.0,3994.38
TS-Si-LM,la05.fjs,51,7,SATISFIED,62.2958,461.0,4024.34
TS-Si-LM,la05.fjs,51,8,SATISFIED,62.2363,461.0,3979.03
TS-Si-LM,la05.fjs,51,9,SATISFIED,62.0503,462.0,4024.12
TS-Si-LM,la05.fjs,51,10,SATISFIED,62.0747,460.0,4029.16
TS-Si-LM,la06.fjs,76,1,SATISFIED,61.9899,800.0,3705.16
TS-Si-LM,la06.fjs,76,2,SATISFIED,62.0628,801.0,3698.19
TS-Si-LM,la06.fjs,76,3,SATISFIED,62.3122,800.0,3701.53
TS-Si-LM,la06.fjs,76,4,SATISFIED,61.9316,800.0,3736.31
TS-Si-LM,la06.fjs,76,5,SATISFIED,62.0844,800.0,3714.41
TS-Si-LM,la06.fjs,76,6,SATISFIED,62.0426,801.0,3739.28
TS-Si-LM,la06.fjs,76,7,SATISFIED,62.1019,801.0,3793.62
TS-Si-LM,la06.fjs,76,8,SATISFIED,62.2348,800.0,3702.59
TS-Si-LM,la06.fjs,76,9,SATISFIED,62.2118,799.0,3727.19
TS-Si-LM,la06.fjs,76,10,SATISFIED,61.9539,800.0,3704.44
TS-Si-LM,la07.fjs,76,1,SATISFIED,61.9535,751.0,3739.53
TS-Si-LM,la07.fjs,76,2,SATISFIED,62.1269,750.0,3734.38
TS-Si-LM,la07.fjs,76,3,SATISFIED,61.9778,752.0,3714.84
TS-Si-LM,la07.fjs,76,4,SATISFIED,62.0123,752.0,3732.56
TS-Si-LM,la07.fjs,76,5,SATISFIED,61.9262,752.0,3720.81
TS-Si-LM,la07.fjs,76,6,SATISFIED,61.9925,751.0,3750.34
TS-Si-LM,la07.fjs,76,7,SATISFIED,62.0234,752.0,3743.47
TS-Si-LM,la07.fjs,76,8,SATISFIED,62.0444,752.0,3747.38
TS-Si-LM,la07.fjs,76,9,SATISFIED,61.8599,751.0,3722.41
TS-Si-LM,la07.fjs,76,10,SATISFIED,61.768,751.0,3740.22
TS-Si-LM,la08.fjs,76,1,SATISFIED,62.0207,766.0,3653.53
TS-Si-LM,la08.fjs,76,2,SATISFIED,61.8989,766.0,3701.72
TS-Si-LM,la08.fjs,76,3,SATISFIED,62.1096,766.0,3654.12
TS-Si-LM,la08.fjs,76,4,SATISFIED,61.8467,766.0,3694.38
TS-Si-LM,la08.fjs,76,5,SATISFIED,61.9396,767.0,3690.31
TS-Si-LM,la08.fjs,76,6,SATISFIED,62.1008,766.0,3650.88
TS-Si-LM,la08.fjs,76,7,SATISFIED,62.0371,766.0,3661.72
TS-Si-LM,la08.fjs,76,8,SATISFIED,62.1285,766.0,3641.06
TS-Si-LM,la08.fjs,76,9,SATISFIED,61.9494,766.0,3648.81
TS-Si-LM,la08.fjs,76,10,SATISFIED,61.9026,766.0,3697.31
TS-Si-LM,la09.fjs,76,1,SATISFIED,61.9209,855.0,3702.09
TS-Si-LM,la09.fjs,76,2,SATISFIED,62.021,854.0,3683.22
TS-Si-LM,la09.fjs,76,3,SATISFIED,61.9035,855.0,3731.94
TS-Si-LM,la09.fjs,76,4,SATISFIED,61.9526,854.0,3741.38
TS-Si-LM,la09.fjs,76,5,SATISFIED,62.0329,854.0,3716.97
TS-Si-LM,la09.fjs,76,6,SATISFIED,61.9369,854.0,3706.84
