Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,1,SATISFIED,60.4481,61951620.0,1531.44
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,2,SATISFIED,60.3221,65678340.0,1507.06
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,3,SATISFIED,60.3972,61959600.0,1529.88
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,4,SATISFIED,60.3532,62061540.0,1533.97
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,5,SATISFIED,60.3541,63655020.0,1534.5
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,6,SATISFIED,60.4762,65736720.0,1535.56
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,7,SATISFIED,60.3544,60720780.0,1524.09
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,8,SATISFIED,60.4675,62622240.0,1540.06
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,9,SATISFIED,60.3326,64633860.0,1504.0
TS-Si-LM,bom_mix_3_4_9_100_30_No1,59,10,SATISFIED,60.43,64309020.0,1502.5
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,1,SATISFIED,60.3653,28648920.0,1790.59
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,2,SATISFIED,60.2423,28647660.0,1808.16
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,3,SATISFIED,60.2534,28642440.0,1845.31
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,4,SATISFIED,60.396,28655700.0,1819.19
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,5,SATISFIED,60.2595,28642500.0,1841.09
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,6,SATISFIED,60.3326,28653180.0,1855.5
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,7,SATISFIED,60.2112,28650660.0,1835.81
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,8,SATISFIED,60.2672,28586520.0,1860.75
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,9,SATISFIED,60.3968,28638000.0,1857.41
TS-Si-LM,bom_mix_3_4_9_100_30_No2,24,10,SATISFIED,60.2145,28646520.0,1843.25
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,1,SATISFIED,62.6183,50160420.0,674.78
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,2,SATISFIED,62.7304,58619100.0,676.12
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,3,SATISFIED,62.737,52856280.0,678.31
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,4,SATISFIED,62.8768,51705420.0,673.34
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,5,SATISFIED,62.7377,55585740.0,673.59
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,6,SATISFIED,62.9434,55983600.0,672.94
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,7,SATISFIED,63.1262,50080920.0,674.84
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,8,SATISFIED,62.0378,56456580.0,675.44
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,9,SATISFIED,62.7755,56941380.0,671.53
TS-Si-LM,bom_mix_4_5_8_100_30_No1,438,10,SATISFIED,63.2793,56368080.0,682.75
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,1,SATISFIED,60.6113,1909380.0,1588.41
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,2,SATISFIED,60.8226,1970220.0,1563.78
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,3,SATISFIED,60.5898,1838100.0,1592.5
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,4,SATISFIED,60.7671,1840320.0,1583.72
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,5,SATISFIED,60.5936,1895400.0,1581.38
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,6,SATISFIED,60.7462,2199060.0,1586.88
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,7,SATISFIED,60.7302,2047980.0,1581.25
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,8,SATISFIED,60.5652,2046240.0,1572.62
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,9,SATISFIED,60.7578,1787220.0,1610.09
TS-Si-LM,bom_mix_4_5_8_100_30_No2,118,10,SATISFIED,60.5713,1806000.0,1599.41
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,1,SATISFIED,61.1614,20844180.0,950.47
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,2,SATISFIED,61.6007,19949400.0,954.91
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,3,SATISFIED,61.7326,20937600.0,930.06
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,4,SATISFIED,61.7382,21065400.0,918.28
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,5,SATISFIED,61.8138,19941600.0,933.25
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,6,SATISFIED,61.4636,20887680.0,929.12
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,7,SATISFIED,61.722,20793600.0,934.16
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,8,SATISFIED,61.7477,20812140.0,933.06
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,9,SATISFIED,61.7161,20217540.0,941.41
TS-Si-LM,bom_mix_5_4_5_100_30_No1,280,10,SATISFIED,61.7259,20245320.0,929.28
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,1,SATISFIED,60.5462,5402340.0,1186.69
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,2,SATISFIED,60.8967,5589840.0,1193.78
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,3,SATISFIED,60.5579,5601060.0,1213.41
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,4,SATISFIED,60.9459,5394420.0,1195.78
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,5,SATISFIED,60.9766,5592420.0,1218.16
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,6,SATISFIED,61.0437,5583180.0,1204.56
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,7,SATISFIED,60.8182,5390880.0,1200.56
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,8,SATISFIED,60.9926,5368740.0,1198.34
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,9,SATISFIED,60.886,5608440.0,1211.41
TS-Si-LM,bom_mix_5_4_5_100_30_No2,166,10,SATISFIED,60.9682,5367180.0,1197.47
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,1,SATISFIED,60.2501,64098600.0,190801.66
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,2,SATISFIED,60.3682,59334600.0,192611.28
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,3,SATISFIED,60.4564,58856400.0,188924.28
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,4,SATISFIED,60.3582,65661060.0,191461.56
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,5,SATISFIED,60.5824,60349560.0,192681.19
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,6,SATISFIED,60.3641,61291740.0,192702.0
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,7,SATISFIED,60.3758,61147980.0,192310.12
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,8,SATISFIED,60.6118,59734740.0,191037.0
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,9,SATISFIED,60.377,64747920.0,188746.53
SA-Si-LM,bom_mix_3_4_9_100_30_No1,59,10,SATISFIED,60.3724,61423860.0,190229.84
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,1,SATISFIED,60.2072,28579740.0,314897.19
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,2,SATISFIED,60.307,28582800.0,319737.38
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,3,SATISFIED,60.3016,28585260.0,317858.0
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,4,SATISFIED,60.1915,28631220.0,321259.09
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,5,SATISFIED,60.44,28582080.0,319785.12
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,6,SATISFIED,60.2657,28637100.0,321500.38
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,7,SATISFIED,60.2539,28580160.0,323478.56
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,8,SATISFIED,60.2688,28579860.0,320841.75
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,9,SATISFIED,60.578,28653660.0,320074.5
SA-Si-LM,bom_mix_3_4_9_100_30_No2,24,10,SATISFIED,60.3048,28582380.0,319240.81
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,1,SATISFIED,62.1823,52743540.0,69458.69
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,2,SATISFIED,62.7824,49910220.0,70174.81
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,3,SATISFIED,62.5677,51646560.0,69611.44
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,4,SATISFIED,62.5557,56303400.0,70863.53
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,5,SATISFIED,62.1539,52427460.0,70277.03
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,6,SATISFIED,62.5415,57391320.0,69840.41
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,7,SATISFIED,63.0441,52453020.0,70094.5
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,8,SATISFIED,62.6584,56940660.0,70789.31
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,9,SATISFIED,62.7489,51734700.0,69274.5
SA-Si-LM,bom_mix_4_5_8_100_30_No1,438,10,SATISFIED,63.1586,53646180.0,69227.19
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,1,SATISFIED,60.4063,2024220.0,202319.16
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,2,SATISFIED,60.7506,1588620.0,207418.16
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,3,SATISFIED,60.6024,1960980.0,206559.16
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,4,SATISFIED,60.7731,1959300.0,207731.91
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,5,SATISFIED,60.5876,1843020.0,209047.94
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,6,SATISFIED,60.7854,2165760.0,205030.78
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,7,SATISFIED,60.6063,1963560.0,207051.06
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,8,SATISFIED,60.7473,1583760.0,209011.72
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,9,SATISFIED,60.5769,2235780.0,206961.88
SA-Si-LM,bom_mix_4_5_8_100_30_No2,118,10,SATISFIED,60.8015,1878840.0,206753.91
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,1,SATISFIED,61.2606,20862600.0,110615.53
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,2,SATISFIED,61.8035,20263680.0,109535.28
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,3,SATISFIED,61.7186,20638440.0,110681.72
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,4,SATISFIED,61.2159,20639160.0,110646.84
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,5,SATISFIED,61.581,20819520.0,110044.75
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,6,SATISFIED,61.6509,20239560.0,110207.66
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,7,SATISFIED,61.1648,21046020.0,111435.81
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,8,SATISFIED,61.7885,20813580.0,110218.38
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,9,SATISFIED,61.5697,20934060.0,110543.53
SA-Si-LM,bom_mix_5_4_5_100_30_No1,280,10,SATISFIED,61.7649,20724600.0,110169.91
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,1,SATISFIED,60.9324,5583780.0,166843.12
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,2,SATISFIED,60.618,5593020.0,168352.0
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,3,SATISFIED,60.5466,5375340.0,168402.84
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,4,SATISFIED,61.0313,5379720.0,167701.69
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,5,SATISFIED,61.0697,5372520.0,168689.34
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,6,SATISFIED,60.8296,5633700.0,168566.31
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,7,SATISFIED,61.0151,5396460.0,165090.31
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,8,SATISFIED,60.8396,5572080.0,165684.97
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,9,SATISFIED,61.0158,5396820.0,167635.16
SA-Si-LM,bom_mix_5_4_5_100_30_No2,166,10,SATISFIED,60.8384,5341680.0,168667.78
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,1,SATISFIED,60.3716,69748740.0,805.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,2,SATISFIED,60.6147,71437920.0,861.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,3,SATISFIED,60.5959,69032220.0,863.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,4,SATISFIED,60.5925,71870880.0,992.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,5,SATISFIED,60.5589,63701160.0,944.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,6,SATISFIED,60.5869,68573820.0,950.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,7,SATISFIED,60.5737,63125640.0,917.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,8,SATISFIED,60.5719,76012200.0,843.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,9,SATISFIED,60.5753,67016760.0,884.0
EA-Si-LM,bom_mix_3_4_9_100_30_No1,59,10,SATISFIED,60.5512,72862260.0,866.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,1,SATISFIED,60.1828,28673400.0,1049.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,2,SATISFIED,60.2821,28639140.0,1081.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,3,SATISFIED,60.2759,28696020.0,1001.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,4,SATISFIED,60.2748,28676700.0,984.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,5,SATISFIED,60.259,28672500.0,1005.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,6,SATISFIED,60.2578,28693320.0,984.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,7,SATISFIED,60.2463,28677180.0,1021.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,8,SATISFIED,60.2965,28663620.0,1031.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,9,SATISFIED,60.2859,28718580.0,1046.0
EA-Si-LM,bom_mix_3_4_9_100_30_No2,24,10,SATISFIED,60.6471,28675440.0,1155.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,1,SATISFIED,66.1222,66763380.0,422.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,2,SATISFIED,67.3457,64436880.0,395.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,3,SATISFIED,65.9136,61078980.0,439.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,4,SATISFIED,65.7078,66321900.0,426.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,5,SATISFIED,66.8691,60587700.0,415.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,6,SATISFIED,65.8244,65818320.0,425.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,7,SATISFIED,65.7974,65893140.0,403.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,8,SATISFIED,66.7096,62646240.0,428.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,9,SATISFIED,66.7003,59187240.0,411.0
EA-Si-LM,bom_mix_4_5_8_100_30_No1,438,10,SATISFIED,65.8309,60484200.0,442.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,1,SATISFIED,60.8912,2584740.0,797.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,2,SATISFIED,61.3126,2698380.0,754.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,3,SATISFIED,61.3235,2519100.0,836.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,4,SATISFIED,61.3548,2242020.0,799.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,5,SATISFIED,61.3199,2567100.0,795.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,6,SATISFIED,61.3053,2549460.0,838.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,7,SATISFIED,61.2718,2441580.0,769.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,8,SATISFIED,61.2625,2723820.0,776.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,9,SATISFIED,61.2639,2543580.0,755.0
EA-Si-LM,bom_mix_4_5_8_100_30_No2,118,10,SATISFIED,61.2798,2676420.0,834.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,1,SATISFIED,62.9147,21064080.0,513.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,2,SATISFIED,63.3441,20722680.0,558.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,3,SATISFIED,63.7438,21509760.0,592.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,4,SATISFIED,63.7159,22047660.0,524.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,5,SATISFIED,63.3954,20872800.0,576.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,6,SATISFIED,63.7238,22081320.0,555.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,7,SATISFIED,63.2596,22765380.0,561.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,8,SATISFIED,63.3335,21296280.0,526.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,9,SATISFIED,63.5747,23562660.0,611.0
EA-Si-LM,bom_mix_5_4_5_100_30_No1,280,10,SATISFIED,63.2823,21371220.0,556.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,1,SATISFIED,61.1057,5857860.0,686.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,2,SATISFIED,61.9481,5740140.0,633.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,3,SATISFIED,61.9276,5374320.0,678.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,4,SATISFIED,61.9045,5815800.0,692.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,5,SATISFIED,61.8835,5804640.0,607.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,6,SATISFIED,61.9284,5671200.0,665.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,7,SATISFIED,61.8924,5793480.0,649.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,8,SATISFIED,61.9132,5841420.0,627.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,9,SATISFIED,62.007,5745360.0,667.0
EA-Si-LM,bom_mix_5_4_5_100_30_No2,166,10,SATISFIED,61.9218,5682360.0,611.0
EAL-Si-LM,bom_mix_3_4_9_100_30_No1,59,1,SATISFIED,60.3622,75113520.0,758.0
