Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Si-LM,bom_wide_2_10_10_5_No1,41,1,SATISFIED,62.0982,139109.0,3702.41
TS-Si-LM,bom_wide_2_10_10_5_No1,41,2,SATISFIED,61.93,138700.0,3703.0
TS-Si-LM,bom_wide_2_10_10_5_No1,41,3,SATISFIED,62.005,138696.0,3691.47
TS-Si-LM,bom_wide_2_10_10_5_No1,41,4,SATISFIED,62.1086,138161.0,3715.16
TS-Si-LM,bom_wide_2_10_10_5_No1,41,5,SATISFIED,62.0754,140096.0,3747.44
TS-Si-LM,bom_wide_2_10_10_5_No1,41,6,SATISFIED,62.0341,137800.0,3743.0
TS-Si-LM,bom_wide_2_10_10_5_No1,41,7,SATISFIED,62.0886,138494.0,3682.06
TS-Si-LM,bom_wide_2_10_10_5_No1,41,8,SATISFIED,61.889,138868.0,3685.47
TS-Si-LM,bom_wide_2_10_10_5_No1,41,9,SATISFIED,62.0438,139752.0,3745.62
TS-Si-LM,bom_wide_2_10_10_5_No1,41,10,SATISFIED,62.1468,138950.0,3662.81
TS-Si-LM,bom_wide_2_10_10_5_No2,41,1,SATISFIED,62.0327,141820.0,3612.44
TS-Si-LM,bom_wide_2_10_10_5_No2,41,2,SATISFIED,62.0235,141820.0,3627.81
TS-Si-LM,bom_wide_2_10_10_5_No2,41,3,SATISFIED,61.9943,141820.0,3567.94
TS-Si-LM,bom_wide_2_10_10_5_No2,41,4,SATISFIED,61.9459,141820.0,3588.0
TS-Si-LM,bom_wide_2_10_10_5_No2,41,5,SATISFIED,62.0374,141820.0,3535.62
TS-Si-LM,bom_wide_2_10_10_5_No2,41,6,SATISFIED,62.0248,141820.0,3570.81
TS-Si-LM,bom_wide_2_10_10_5_No2,41,7,SATISFIED,62.0424,141820.0,3607.44
TS-Si-LM,bom_wide_2_10_10_5_No2,41,8,SATISFIED,62.2075,141820.0,3637.31
TS-Si-LM,bom_wide_2_10_10_5_No2,41,9,SATISFIED,62.183,141820.0,3639.88
TS-Si-LM,bom_wide_2_10_10_5_No2,41,10,SATISFIED,62.0355,141820.0,3605.44
TS-Si-LM,bom_wide_2_10_30_15_No1,41,1,SATISFIED,62.0909,63912.0,2829.94
TS-Si-LM,bom_wide_2_10_30_15_No1,41,2,SATISFIED,61.9825,63805.0,2807.0
TS-Si-LM,bom_wide_2_10_30_15_No1,41,3,SATISFIED,61.8232,63915.0,2818.19
TS-Si-LM,bom_wide_2_10_30_15_No1,41,4,SATISFIED,62.0217,64037.0,2838.22
TS-Si-LM,bom_wide_2_10_30_15_No1,41,5,SATISFIED,62.0194,64007.0,2852.06
TS-Si-LM,bom_wide_2_10_30_15_No1,41,6,SATISFIED,62.1038,64431.0,2819.91
TS-Si-LM,bom_wide_2_10_30_15_No1,41,7,SATISFIED,62.2976,63818.0,2818.72
TS-Si-LM,bom_wide_2_10_30_15_No1,41,8,SATISFIED,61.9687,64260.0,2850.91
TS-Si-LM,bom_wide_2_10_30_15_No1,41,9,SATISFIED,62.0384,63886.0,2791.53
TS-Si-LM,bom_wide_2_10_30_15_No1,41,10,SATISFIED,61.9666,63891.0,2816.53
TS-Si-LM,bom_wide_2_10_30_15_No2,41,1,SATISFIED,62.098,59604.0,2950.09
TS-Si-LM,bom_wide_2_10_30_15_No2,41,2,SATISFIED,62.0703,59913.0,2952.28
