Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
TS-Si-LM,YFJS01,41,1,SATISFIED,60.2177,773.0,4091.16
TS-Si-LM,YFJS01,41,2,SATISFIED,60.2261,773.0,4105.69
TS-Si-LM,YFJS01,41,3,SATISFIED,60.2077,773.0,4130.06
TS-Si-LM,YFJS01,41,4,SATISFIED,60.1338,773.0,4103.75
TS-Si-LM,YFJS01,41,5,SATISFIED,60.2157,773.0,4181.25
TS-Si-LM,YFJS01,41,6,SATISFIED,60.126,773.0,4178.22
TS-Si-LM,YFJS01,41,7,SATISFIED,60.1251,773.0,4167.25
TS-Si-LM,YFJS01,41,8,SATISFIED,60.1325,773.0,4144.22
TS-Si-LM,YFJS01,41,9,SATISFIED,60.2109,773.0,4166.59
TS-Si-LM,YFJS01,41,10,SATISFIED,60.2176,773.0,4197.06
TS-Si-LM,YFJS02,41,1,SATISFIED,60.3104,825.0,4108.25
TS-Si-LM,YFJS02,41,2,SATISFIED,60.2293,825.0,4112.94
TS-Si-LM,YFJS02,41,3,SATISFIED,60.1845,825.0,4111.28
TS-Si-LM,YFJS02,41,4,SATISFIED,60.2482,825.0,4056.19
TS-Si-LM,YFJS02,41,5,SATISFIED,60.2357,825.0,4097.59
TS-Si-LM,YFJS02,41,6,SATISFIED,60.2451,825.0,4005.31
TS-Si-LM,YFJS02,41,7,SATISFIED,60.2326,825.0,4063.38
TS-Si-LM,YFJS02,41,8,SATISFIED,60.2365,825.0,4085.06
TS-Si-LM,YFJS02,41,9,SATISFIED,60.2238,825.0,4045.47
TS-Si-LM,YFJS02,41,10,SATISFIED,60.2263,825.0,4091.62
TS-Si-LM,YFJS03,25,1,SATISFIED,60.1834,347.0,4119.22
TS-Si-LM,YFJS03,25,2,SATISFIED,60.1305,347.0,4069.19
TS-Si-LM,YFJS03,25,3,SATISFIED,60.1895,347.0,4078.0
TS-Si-LM,YFJS03,25,4,SATISFIED,60.372,347.0,4047.97
TS-Si-LM,YFJS03,25,5,SATISFIED,60.177,347.0,4135.41
TS-Si-LM,YFJS03,25,6,SATISFIED,60.1347,347.0,4131.12
TS-Si-LM,YFJS03,25,7,SATISFIED,60.196,347.0,4116.94
TS-Si-LM,YFJS03,25,8,SATISFIED,60.204,347.0,4048.19
TS-Si-LM,YFJS03,25,9,SATISFIED,60.2049,347.0,4110.19
TS-Si-LM,YFJS03,25,10,SATISFIED,60.2061,347.0,4112.91
TS-Si-LM,YFJS04,29,1,SATISFIED,60.2139,390.0,4143.38
TS-Si-LM,YFJS04,29,2,SATISFIED,60.2091,390.0,4079.62
TS-Si-LM,YFJS04,29,3,SATISFIED,60.1971,390.0,4082.5
TS-Si-LM,YFJS04,29,4,SATISFIED,60.1983,390.0,4107.84
TS-Si-LM,YFJS04,29,5,SATISFIED,60.1952,390.0,4151.31
TS-Si-LM,YFJS04,29,6,SATISFIED,60.1607,390.0,4128.69
TS-Si-LM,YFJS04,29,7,SATISFIED,60.2025,390.0,4065.53
TS-Si-LM,YFJS04,29,8,SATISFIED,60.1953,390.0,4108.56
TS-Si-LM,YFJS04,29,9,SATISFIED,60.4005,390.0,4103.84
TS-Si-LM,YFJS04,29,10,SATISFIED,60.1912,390.0,4097.59
TS-Si-LM,YFJS05,33,1,SATISFIED,60.1983,452.0,4076.28
TS-Si-LM,YFJS05,33,2,SATISFIED,60.2009,457.0,4099.03
TS-Si-LM,YFJS05,33,3,SATISFIED,60.2028,445.0,4088.88
TS-Si-LM,YFJS05,33,4,SATISFIED,60.1977,452.0,4100.81
TS-Si-LM,YFJS05,33,5,SATISFIED,60.2187,452.0,4064.88
TS-Si-LM,YFJS05,33,6,SATISFIED,60.135,445.0,4075.03
TS-Si-LM,YFJS05,33,7,SATISFIED,60.2285,452.0,4099.97
TS-Si-LM,YFJS05,33,8,SATISFIED,60.1708,452.0,3982.47
TS-Si-LM,YFJS05,33,9,SATISFIED,60.2213,445.0,4072.84
TS-Si-LM,YFJS05,33,10,SATISFIED,60.2041,461.0,4070.34
TS-Si-LM,YFJS06,37,1,SATISFIED,60.2096,449.0,4094.97
TS-Si-LM,YFJS06,37,2,SATISFIED,60.3689,447.0,4110.25
TS-Si-LM,YFJS06,37,3,SATISFIED,60.2061,447.0,4112.78
TS-Si-LM,YFJS06,37,4,SATISFIED,60.2108,449.0,4074.53
TS-Si-LM,YFJS06,37,5,SATISFIED,60.1913,449.0,4103.88
TS-Si-LM,YFJS06,37,6,SATISFIED,60.2306,447.0,4097.62
TS-Si-LM,YFJS06,37,7,SATISFIED,60.2192,449.0,4119.16
TS-Si-LM,YFJS06,37,8,SATISFIED,60.2139,450.0,4075.09
TS-Si-LM,YFJS06,37,9,SATISFIED,60.2212,450.0,4117.66
TS-Si-LM,YFJS06,37,10,SATISFIED,60.2127,447.0,4117.03
TS-Si-LM,YFJS07,37,1,SATISFIED,60.2247,444.0,4115.84
TS-Si-LM,YFJS07,37,2,SATISFIED,60.2184,444.0,4056.78
TS-Si-LM,YFJS07,37,3,SATISFIED,60.2287,456.0,4033.53
TS-Si-LM,YFJS07,37,4,SATISFIED,60.2175,455.0,4007.72
TS-Si-LM,YFJS07,37,5,SATISFIED,60.4176,455.0,4018.91
TS-Si-LM,YFJS07,37,6,SATISFIED,60.2179,455.0,3983.97
TS-Si-LM,YFJS07,37,7,SATISFIED,60.2176,455.0,3998.22
TS-Si-LM,YFJS07,37,8,SATISFIED,60.2208,456.0,4052.34
TS-Si-LM,YFJS07,37,9,SATISFIED,60.2065,458.0,4007.16
TS-Si-LM,YFJS07,37,10,SATISFIED,60.2224,456.0,4104.59
TS-Si-LM,YFJS08,37,1,SATISFIED,60.2161,353.0,3966.28
TS-Si-LM,YFJS08,37,2,SATISFIED,60.2183,353.0,3919.16
TS-Si-LM,YFJS08,37,3,SATISFIED,60.2218,353.0,3950.22
TS-Si-LM,YFJS08,37,4,SATISFIED,60.2087,353.0,3903.59
TS-Si-LM,YFJS08,37,5,SATISFIED,60.2073,353.0,3935.88
TS-Si-LM,YFJS08,37,6,SATISFIED,60.2221,353.0,3923.75
TS-Si-LM,YFJS08,37,7,SATISFIED,60.2356,353.0,3946.25
TS-Si-LM,YFJS08,37,8,SATISFIED,60.2688,353.0,3941.69
TS-Si-LM,YFJS08,37,9,SATISFIED,60.2261,353.0,3958.69
TS-Si-LM,YFJS08,37,10,SATISFIED,60.2326,353.0,3955.94
TS-Si-LM,YFJS09,37,1,SATISFIED,60.1812,242.0,3440.62
TS-Si-LM,YFJS09,37,2,SATISFIED,60.239,242.0,3399.16
TS-Si-LM,YFJS09,37,3,SATISFIED,60.1458,242.0,3425.28
TS-Si-LM,YFJS09,37,4,SATISFIED,60.2212,242.0,3409.34
TS-Si-LM,YFJS09,37,5,SATISFIED,60.2502,242.0,3469.16
TS-Si-LM,YFJS09,37,6,SATISFIED,60.2284,242.0,3434.03
TS-Si-LM,YFJS09,37,7,SATISFIED,60.1975,242.0,3479.78
TS-Si-LM,YFJS09,37,8,SATISFIED,60.2154,242.0,3472.12
TS-Si-LM,YFJS09,37,9,SATISFIED,60.339,242.0,3472.0
TS-Si-LM,YFJS09,37,10,SATISFIED,60.2116,242.0,3495.78
TS-Si-LM,YFJS10,41,1,SATISFIED,60.216,399.0,3890.56
TS-Si-LM,YFJS10,41,2,SATISFIED,60.2402,399.0,3979.0
TS-Si-LM,YFJS10,41,3,SATISFIED,60.2434,399.0,3947.62
TS-Si-LM,YFJS10,41,4,SATISFIED,60.2584,399.0,3944.91
TS-Si-LM,YFJS10,41,5,SATISFIED,60.2443,399.0,3909.84
TS-Si-LM,YFJS10,41,6,SATISFIED,60.1686,399.0,3889.78
TS-Si-LM,YFJS10,41,7,SATISFIED,60.2464,399.0,3835.38
TS-Si-LM,YFJS10,41,8,SATISFIED,60.1583,399.0,3912.28
TS-Si-LM,YFJS10,41,9,SATISFIED,60.2396,399.0,3967.88
TS-Si-LM,YFJS10,41,10,SATISFIED,60.3874,399.0,3965.44
TS-Si-LM,YFJS11,51,1,SATISFIED,60.2622,529.0,3981.88
TS-Si-LM,YFJS11,51,2,SATISFIED,60.2565,529.0,3912.28
TS-Si-LM,YFJS11,51,3,SATISFIED,60.2624,529.0,3959.22
TS-Si-LM,YFJS11,51,4,SATISFIED,60.2663,529.0,3971.88
TS-Si-LM,YFJS11,51,5,SATISFIED,60.2717,530.0,3984.06
TS-Si-LM,YFJS11,51,6,SATISFIED,60.2622,529.0,3943.75
TS-Si-LM,YFJS11,51,7,SATISFIED,60.2751,529.0,3948.09
