Instances,feature_depth_min,feature_depth_max,feature_depth_mean,feature_depth_stdev,feature_depth_q25,feature_depth_q50,feature_depth_q75,feature_depth_gini,feature_operation-children_max,feature_operation-children_mean,feature_operation-children_stdev,feature_operation-children_q50,feature_operation-children_q75,feature_operation-children_gini,feature_assembly-nodes-per-manufacturing-nodes,feature_operations_no,feature_machine_no,feature_machine_operations_min,feature_machine_operations_max,feature_machine_operations_mean,feature_machine_operations_stdev,feature_machine_operations_q25,feature_machine_operations_q50,feature_machine_operations_q75,feature_machine_operations_gini,feature_machine_fraction_stdev_min,feature_machine_fraction_stdev_max,feature_machine_fraction_stdev_mean,feature_machine_fraction_stdev_stdev,feature_machine_fraction_stdev_q25,feature_machine_fraction_stdev_q50,feature_machine_fraction_stdev_q75,feature_machine_fraction_stdev_gini,feature_machine_fraction_mean_min,feature_machine_fraction_mean_max,feature_machine_fraction_mean_mean,feature_machine_fraction_mean_stdev,feature_machine_fraction_mean_q25,feature_machine_fraction_mean_q50,feature_machine_fraction_mean_q75,feature_machine_fraction_mean_gini,feature_operation_machines_min,feature_operation_machines_max,feature_operation_machines_mean,feature_operation_machines_stdev,feature_operation_machines_q25,feature_operation_machines_q50,feature_operation_machines_q75,feature_operation_machines_gini,feature_levels_min,feature_levels_max,feature_levels_mean,feature_levels_stdev,feature_levels_q25,feature_levels_q50,feature_levels_q75,feature_levels_gini,feature_operation_mean_acctual_execution_time_min,feature_operation_mean_acctual_execution_time_max,feature_operation_mean_acctual_execution_time_mean,feature_operation_mean_acctual_execution_time_stdev,feature_operation_mean_acctual_execution_time_q25,feature_operation_mean_acctual_execution_time_q50,feature_operation_mean_acctual_execution_time_q75,feature_operation_mean_acctual_execution_time_gini,feature_operation_stdev_acctual_execution_time_max,feature_operation_stdev_acctual_execution_time_mean,feature_operation_stdev_acctual_execution_time_stdev,feature_operation_stdev_acctual_execution_time_q25,feature_operation_stdev_acctual_execution_time_q50,feature_operation_stdev_acctual_execution_time_q75,feature_operation_stdev_acctual_execution_time_gini,feature_machine_mean_acctual_execution_time_min,feature_machine_mean_acctual_execution_time_max,feature_machine_mean_acctual_execution_time_mean,feature_machine_mean_acctual_execution_time_stdev,feature_machine_mean_acctual_execution_time_q25,feature_machine_mean_acctual_execution_time_q50,feature_machine_mean_acctual_execution_time_q75,feature_machine_mean_acctual_execution_time_gini,feature_machine_stev_acctual_execution_time_min,feature_machine_stev_acctual_execution_time_max,feature_machine_stev_acctual_execution_time_mean,feature_machine_stev_acctual_execution_time_stdev,feature_machine_stev_acctual_execution_time_q25,feature_machine_stev_acctual_execution_time_q50,feature_machine_stev_acctual_execution_time_q75,feature_machine_stev_acctual_execution_time_gini,algo_TS-Ei-LM,algo_SA-Ei-LM,algo_TSL-Ei-LM,algo_SAL-Ei-LM,algo_TS-Si-LM,algo_SA-Si-LM,algo_TSL-Si-LM,algo_SAL-Si-LM
bom_deep_10_3_10_5_No1,11,11,11.0,0.0,11.0,11.0,11.0,2.583791742911349e-17,2,1.1,0.3038218101251,1.0,1.0,0.0818181743801659,0.0975609756097561,45,10,0.2444444444444444,0.4,0.3333333333333333,0.0564131341175104,0.2833333333333333,0.3333333333333333,0.3833333333333333,0.0906666394666748,0.1013793755049703,0.296273147243853,0.1938699736771845,0.0820116671597988,0.1111314386238023,0.1815818843545966,0.2860830316447095,0.2241937338601943,0.3444444444444444,0.6555555555555556,0.4933333333333333,0.1045205921520417,0.3972222222222222,0.5111111111111111,0.5583333333333333,0.1126125897857362,0.1,0.5,0.3333333333333333,0.1461630471892138,0.2,0.4,0.5,0.242370297659281,0.0444444444444444,0.2444444444444444,0.1444444444444444,0.0672811189799442,0.0833333333333333,0.1444444444444444,0.2055555555555555,0.2538459781066305,3020.0,12600.0,4730.666666666667,2146.204260379875,3270.0,3720.0,5520.0,0.2186479602442402,0.0,0.0,0.0,0.0,0.0,0.0,-2.9280151263111616e-17,3990.0,5656.666666666667,4896.023706685472,486.9323158083397,4565.735294117647,4830.695187165775,5308.125,0.0528301771077844,1260.7607414013269,3109.1329486382037,2165.6884010522685,572.9961639455175,1750.2071924546246,2147.4323654425034,2745.113181943558,0.1418305294662967,d>b>f>h>c>a>g>e,,,,,,,
bom_deep_10_3_10_5_No2,11,11,11.0,0.0,11.0,11.0,11.0,2.583791742911349e-17,2,1.1,0.3038218101251,1.0,1.0,0.0818181743801659,0.0975609756097561,45,10,0.1777777777777777,0.4666666666666667,0.3,0.0865431218188735,0.2222222222222222,0.3,0.3555555555555555,0.1518518012345847,0.097182531580755,0.2549509756796392,0.1659730694046298,0.0530856076513237,0.1231480135420462,0.1585518749556216,0.1988378642667591,0.1661692984954413,0.2222222222222222,0.6444444444444445,0.3933333333333333,0.1221885475495284,0.2972222222222221,0.4055555555555555,0.4555555555555555,0.1610169082160402,0.1,0.5,0.3,0.1381698559415514,0.2,0.3,0.4,0.2567900378601109,0.0444444444444444,0.2444444444444444,0.1444444444444444,0.0672811189799442,0.0833333333333333,0.1444444444444444,0.2055555555555555,0.2538459781066305,1220.0,15600.0,2914.6666666666665,2886.395676271706,1390.0,1920.0,3240.0,0.3852665107793676,0.0,0.0,0.0,0.0,0.0,0.0,-2.9280151263111616e-17,1407.5,4023.75,2809.4119630369632,813.6002500383936,2190.0714285714284,2688.4285714285716,3483.409090909091,0.153762044243266,226.5108007516261,4497.449462380502,2607.5799139172295,1645.670792692162,1052.7909774178315,3025.292742926488,4200.430428168221,0.3338577529286045,a>d>b>c>f>h>g>e,,,,,,,
bom_deep_10_3_15_5_No1,11,11,11.0,0.0,11.0,11.0,11.0,2.583791742911349e-17,2,1.1,0.3038218101251,1.0,1.0,0.0818181743801659,0.0975609756097561,45,15,0.0666666666666666,0.4888888888888889,0.2192592592592592,0.116342457053928,0.1333333333333333,0.2,0.3111111111111111,0.2810809528853762,0.0407499897001417,0.2134088694111506,0.107777447247948,0.0531722684115847,0.0664832642100583,0.0867258180783987,0.1535100112869631,0.2645290682095705,0.0428571428571428,0.2904761904761905,0.1377777777777777,0.0724745784249252,0.0857142857142857,0.1285714285714285,0.1952380952380952,0.2857140783411643,0.0666666666666666,0.3333333333333333,0.2192592592592592,0.0980849170565193,0.1333333333333333,0.2666666666666666,0.3333333333333333,0.2480479349180777,0.0444444444444444,0.2444444444444444,0.1444444444444444,0.0672811189799442,0.0833333333333333,0.1444444444444444,0.2055555555555555,0.2538459781066305,1638.0,18288.0,5135.01,3295.9730642723844,3132.25,3894.0,6464.8,0.3058004455002877,1722.5121189704298,817.0421930787574,481.029663755044,519.2243814052504,953.1354573196824,1183.3013468907434,0.3266294942797779,3898.222222222222,8321.0,5059.124325026825,1147.567992418839,4101.5,4719.5625,5722.461538461538,0.1113126133655352,1446.6151131915792,6067.983190484298,2951.533583333682,1428.9495551181917,1740.6757308585652,2658.5545780450784,4165.901733975834,0.2501204220849254,b>h>d>f>a>c>e>g,,,,,,,
bom_deep_10_3_15_5_No2,11,11,11.0,0.0,11.0,11.0,11.0,2.583791742911349e-17,2,1.1,0.3038218101251,1.0,1.0,0.0818181743801659,0.0975609756097561,45,15,0.0888888888888888,0.3333333333333333,0.194074074074074,0.0694989204319826,0.1555555555555555,0.1777777777777777,0.2666666666666666,0.1933841242740835,0.0356348322549899,0.1452546078405125,0.0851461202731852,0.0324791763539652,0.052297636036849,0.0834248581641405,0.0958223835120436,0.2054733729340219,0.0238095238095238,0.1904761904761904,0.1034920634920635,0.0453352578718376,0.0714285714285714,0.1,0.1285714285714285,0.2388545749309066,0.0666666666666666,0.3333333333333333,0.194074074074074,0.087411972716478,0.1333333333333333,0.2,0.2666666666666666,0.2483459280151388,0.0444444444444444,0.2444444444444444,0.1444444444444444,0.0672811189799442,0.0833333333333333,0.1444444444444444,0.2055555555555555,0.2538459781066305,1596.0,12474.0,4659.834074074074,2527.3079622090772,2978.5,3990.0,5824.0,0.2801574594588014,1671.564536594385,762.4385051875518,494.4048050356991,395.2726906832801,904.1749001161224,1180.1673066548915,0.3650010659513164,3205.6666666666665,7228.285714285715,4780.373506308506,1099.97114880728,4010.0,4451.333333333333,5953.625,0.1217519110257867,1452.3071300520423,3717.8586002467296,2483.9932948042892,754.4877332410226,1579.5664753342924,2756.9993471163534,3070.0433657942267,0.1652370211031374,d>f>h>b>a>c>e>g,,,,,,,
bom_deep_10_5_10_5_No1,11,11,11.0,0.0,11.0,11.0,11.0,4.128776793391626e-17,4,1.3545816733067728,0.6140153862190763,1.0,2.0,0.1965256475494348,0.2752808988764045,681,10,0.1997063142437591,0.368575624082232,0.2807635829662261,0.0477072400733164,0.2547723935389133,0.2716593245227606,0.3204845814977973,0.087238462651991,0.7282017424984492,1.354416643594003,1.1333081848895237,0.1972067357180239,0.9851421366271856,1.192451277428614,1.2804962659033046,0.088409934091189,4.055555555555555,6.277777777777778,5.191111111111111,0.7675661211536996,4.3583333333333325,5.322222222222223,5.825,0.0796232861373939,0.1,0.5,0.2807635829662261,0.1337139337676297,0.2,0.3,0.4,0.2674551606706289,0.0029368575624082,0.0161527165932452,0.0095447870778267,0.0044458889193795,0.0055066079295154,0.0095447870778267,0.013582966226138,0.2538434943473899,3666.0,28048.5,5978.02601566324,1605.253624056223,5180.700000000001,5788.5,6645.0,0.1210732703241799,2592.253459829883,997.9250174353824,799.3831206688583,5.656854249492381,1039.244116333277,1650.7560245736668,0.4489190822608144,5442.863905325444,6264.855263157895,5950.54667191402,318.5731088151249,5632.161171726756,6082.6647413360115,6253.46347826087,0.0279703755532823,1489.8245843761497,2387.3747000963244,1902.385577267372,336.40079677856016,1610.5258117449189,1776.247200963653,2237.1548199776616,0.0934451982285841,d>b>c>g>a>h>f>e,,,,,,,
bom_deep_10_5_10_5_No2,11,11,11.0,0.0,11.0,11.0,11.0,4.128776793391626e-17,4,1.3545816733067728,0.6140153862190763,1.0,2.0,0.1965256475494348,0.2752808988764045,681,10,0.1997063142437591,0.368575624082232,0.2807635829662261,0.0477072400733164,0.2547723935389133,0.2716593245227606,0.3204845814977973,0.087238462651991,0.7282017424984492,1.354416643594003,1.1333081848895237,0.1972067357180239,0.9851421366271856,1.192451277428614,1.2804962659033046,0.088409934091189,4.055555555555555,6.277777777777778,5.191111111111111,0.7675661211536996,4.3583333333333325,5.322222222222223,5.825,0.0796232861373939,0.1,0.5,0.2807635829662261,0.1337139337676297,0.2,0.3,0.4,0.2674551606706289,0.0029368575624082,0.0161527165932452,0.0095447870778267,0.0044458889193795,0.0055066079295154,0.0095447870778267,0.013582966226138,0.2538434943473899,3667.0,28899.0,5985.413240332844,1639.2576861552188,5178.9,5802.0,6643.875,0.1220781552833034,2596.4961005170026,999.7767429652704,804.616153755274,2.4748737341529163,1038.9563673866835,1708.1051928292918,0.4507175575024562,5393.207100591716,6306.869565217391,5957.869146095424,343.76373273866886,5632.911171726756,6083.849765119508,6255.95073089701,0.0301356425978018,1489.8245843761497,2548.7229179782744,1925.5919725014064,388.076028745186,1610.2362712534969,1798.9640153277678,2235.6917620395316,0.1062245072244398,b>d>c>g>a>h>e>f,,,,,,,
bom_deep_10_5_20_5_No1,11,11,11.0,0.0,11.0,11.0,11.0,-8.291532460056991e-17,5,1.6196319018404908,0.8963366099197104,1.0,2.0,0.2640528978071634,0.3369620253164557,5281,20,0.1117212649119484,0.2099981064192387,0.1533895095625828,0.0276402355824079,0.1348229501988259,0.1498769172505207,0.1703275894716909,0.0980586978769232,1.955289721431799,4.32573050991904,2.834381226595473,0.5996268392134071,2.268141363662892,2.9024729558481033,3.1384343449261536,0.1137695659294422,4.0394736842105265,8.173684210526316,5.663947368421053,1.200318608381566,4.846052631578948,5.514473684210527,6.413157894736842,0.1156344355368171,0.05,0.25,0.1533895095625828,0.0672291532671711,0.1,0.15,0.2,0.2471957795477065,0.0003787161522438,0.0020829388373414,0.0012308274947926,0.0005733100462218,0.0007100927854572,0.0012308274947926,0.001751562204128,0.2538255314979717,1243.0,981189.0,35006.28780218393,64919.421251955646,6417.8,14086.0,34502.625,0.6366131587937032,64950.586279109135,1857.1977358433032,3489.414949275486,537.9573381400785,1030.9616869699862,1764.9385258416223,0.6219105008934205,27348.605985037408,41914.33370165746,35005.53847708998,3890.3986245200895,31650.642328706672,35439.377760227944,37584.56300588668,0.0614203813202195,43372.963273609,81557.54845746064,63067.45138629441,9511.223057310552,57931.512051712285,60602.16549965395,69233.7507592728,0.0803457461165583,c>d>g>h>b>a>f>e,,,,,,,
bom_deep_10_5_20_5_No2,11,11,11.0,0.0,11.0,11.0,11.0,1.594933174636635e-17,3,1.126984126984127,0.3806642535588704,1.0,1.0,0.1014978671396146,0.1076923076923077,72,20,0.0972222222222222,0.25,0.1444444444444444,0.0388679977303096,0.1111111111111111,0.1388888888888889,0.1666666666666666,0.1408652870932627,0.0303488489333442,0.1147078669352808,0.0668914199165036,0.0206641031391539,0.0542731098009805,0.0586140793771006,0.0838763209674714,0.1603073257357545,0.0289473684210526,0.1473684210526316,0.0736842105263158,0.0293040229622632,0.0526315789473684,0.0644736842105263,0.0960526315789473,0.2094640014417123,0.05,0.25,0.1444444444444444,0.0767085005276999,0.05,0.15,0.2,0.2970083413873876,0.0277777777777777,0.1527777777777778,0.0902777777777777,0.0420506993624651,0.0520833333333333,0.0902777777777777,0.1284722222222222,0.2538458726630334,1288.0,60816.0,8230.789814814814,12008.722453762794,3027.075,4027.0,6204.0,0.5393436430669679,4872.965421588789,904.005173154901,873.9339634391716,0.0,880.3479425772516,1255.6193583402842,0.4902504125946642,3819.2,20050.5,8905.49061924187,4262.742960217887,5438.522727272727,7478.1,11675.1875,0.2536516162799532,2049.6029317352613,21351.304911610707,10641.247654527118,6577.442546116006,4826.247732496233,10301.909956995976,17669.239949116974,0.3398661366542498,f>b>h>d>e>c>a>g,,,,,,,
bom_deep_10_5_30_15_No1,11,11,11.0,0.0,11.0,11.0,11.0,4.2673549535349785e-17,4,1.3684992570579495,0.6203543825067093,1.0,2.0,0.1998441369666982,0.2841225626740947,922,30,0.2136659436008676,0.3416485900216919,0.2764280549530007,0.0303416810378355,0.2521691973969631,0.2738611713665944,0.2966377440347071,0.0606678654014322,0.3853857385629166,0.7496505297827135,0.5750678161665828,0.0956348623652984,0.4983051490577391,0.572901077401573,0.6738931376895955,0.0931198538581906,2.1045977011494252,3.5206896551724136,2.831954022988506,0.3608227614489661,2.5468390804597703,2.817816091954023,3.0839080459770116,0.0714037008816959,0.0333333333333333,0.5,0.2764280549530007,0.1479865786208362,0.1333333333333333,0.2666666666666666,0.4,0.3074968119955594,0.0021691973969631,0.0119305856832971,0.0070498915401301,0.0032837856335113,0.0040672451193058,0.0070498915401301,0.0100325379609544,0.2538425531871686,3676.0,22048.5,6096.469082436002,1381.11123962031,5416.733333333334,5858.0,6424.5,0.0997181516989006,2566.7976157071676,1378.6661738754003,486.4053943013463,1267.8424586674796,1474.845597702401,1598.704542523638,0.1766293986423618,5790.720524017467,6493.915322580645,6137.372865468353,175.6734260989967,6004.951805141041,6142.819978330506,6284.749160454785,0.0160317427517039,1588.9587591943357,2228.5129891024367,1973.3618593113551,174.34239280904154,1838.2993973998127,1981.738071105108,2143.316555929882,0.0493618762946796,d>b>c>a>g>e>h>f,,,,,,,
bom_deep_10_5_30_15_No2,11,11,11.0,0.0,11.0,11.0,11.0,4.2673549535349785e-17,4,1.3684992570579495,0.6203543825067093,1.0,2.0,0.1998441369666982,0.2841225626740947,922,30,0.2136659436008676,0.3416485900216919,0.2764280549530007,0.0303416810378355,0.2521691973969631,0.2738611713665944,0.2966377440347071,0.0606678654014322,0.3853857385629166,0.7496505297827135,0.5750678161665828,0.0956348623652984,0.4983051490577391,0.572901077401573,0.6738931376895955,0.0931198538581906,2.1045977011494252,3.5206896551724136,2.831954022988506,0.3608227614489661,2.5468390804597703,2.817816091954023,3.0839080459770116,0.0714037008816959,0.0333333333333333,0.5,0.2764280549530007,0.1479865786208362,0.1333333333333333,0.2666666666666666,0.4,0.3074968119955594,0.0021691973969631,0.0119305856832971,0.0070498915401301,0.0032837856335113,0.0040672451193058,0.0070498915401301,0.0100325379609544,0.2538425531871686,3676.0,22696.5,6104.903957647559,1402.2552241928065,5418.783333333333,5859.818181818182,6433.733333333333,0.1004400590910007,2579.5255377685253,1376.4743571455604,489.8821214515421,1267.641116404797,1474.4455794184696,1595.974453174948,0.1787049837742819,5752.117903930131,6429.030973451328,6146.8946316779375,187.27521106091527,6009.586939589666,6178.897484061931,6284.254946738147,0.0169470056150442,1565.952894092232,2347.473228520549,1988.133499638642,189.63456851353465,1825.768851642836,1988.7578693710277,2130.29115338697,0.0531552021962132,d>b>c>a>g>h>e>f,,,,,,,
