Algorithm,Bom,Nodes,AttemptNr,Status,Time,Makespan,Iterations
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,1,SATISFIED,60.4067,806225.0,1326.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,2,SATISFIED,60.2518,794147.0,1283.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,3,SATISFIED,60.2193,812786.0,1164.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,4,SATISFIED,60.2786,814386.0,1327.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,5,SATISFIED,60.2607,778497.0,1151.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,6,SATISFIED,60.2187,806944.0,1316.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,7,SATISFIED,60.4356,806048.0,1309.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,8,SATISFIED,60.209,800029.0,1281.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,9,SATISFIED,60.2193,803288.0,1278.0
EA-Ei-LM,bom_deep_6_5_10_5_No1,54,10,SATISFIED,60.2444,783997.0,1289.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,1,SATISFIED,60.3793,640422.0,1299.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,2,SATISFIED,60.358,668437.0,1308.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,3,SATISFIED,60.223,688078.0,1416.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,4,SATISFIED,60.2146,661362.0,1466.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,5,SATISFIED,60.2474,634596.0,1361.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,6,SATISFIED,60.2232,700350.0,1338.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,7,SATISFIED,60.2126,700361.0,1322.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,8,SATISFIED,60.2458,642485.0,1288.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,9,SATISFIED,60.2148,654115.0,1402.0
EA-Ei-LM,bom_deep_6_5_10_5_No2,54,10,SATISFIED,60.2087,676851.0,1359.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,1,SATISFIED,60.2208,494418.0,1136.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,2,SATISFIED,60.2558,465772.0,1177.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,3,SATISFIED,60.2548,521636.0,1163.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,4,SATISFIED,60.2478,488371.0,1177.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,5,SATISFIED,60.2378,451143.0,1149.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,6,SATISFIED,60.2322,503721.0,1227.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,7,SATISFIED,60.2411,522104.0,1209.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,8,SATISFIED,60.213,484297.0,1199.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,9,SATISFIED,60.2334,455728.0,1228.0
EA-Ei-LM,bom_deep_6_5_30_15_No1,54,10,SATISFIED,60.2427,501499.0,1154.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,1,SATISFIED,60.225,512902.0,1235.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,2,SATISFIED,60.2788,468305.0,1263.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,3,SATISFIED,60.3946,484797.0,1176.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,4,SATISFIED,60.4416,538737.0,1094.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,5,SATISFIED,60.2291,513691.0,1156.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,6,SATISFIED,60.2569,484995.0,1195.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,7,SATISFIED,60.3433,533429.0,1130.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,8,SATISFIED,60.2162,496591.0,1160.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,9,SATISFIED,60.2537,512901.0,1187.0
EA-Ei-LM,bom_deep_6_5_30_15_No2,54,10,SATISFIED,60.2337,514935.0,1254.0
EA-Ei-LM,bom_deep_7_5_10_5_No1,229,1,SATISFIED,61.5466,1898047.0,1029.0
