Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
DAFJS01,5.1,5.1,5.75,3.05,3.5,5.05,4.2,4.25
DAFJS02,3.55,6.5,4.0,5.7,3.65,4.75,3.2,4.65
DAFJS03,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
DAFJS04,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
DAFJS05,4.7,4.7,5.6,4.35,3.35,4.55,3.35,5.4
DAFJS06,5.8,3.6,5.4,2.2,5.0,5.35,4.25,4.4
DAFJS07,6.45,2.1,6.95,1.45,6.0,3.15,6.5,3.4
DAFJS08,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
DAFJS09,6.35,4.3,5.35,5.3,3.7,3.55,3.7,3.75
DAFJS10,5.4,4.15,5.3,2.85,5.5,4.15,4.6,4.05
DAFJS11,5.95,1.75,5.45,1.75,6.95,3.45,7.1,3.6
DAFJS12,6.0,1.25,5.95,1.85,6.9,3.25,7.15,3.65
DAFJS13,5.05,4.65,4.8,3.55,2.45,5.85,4.6,5.05
DAFJS14,5.4,4.1,7.05,4.3,4.05,3.2,3.05,4.85
DAFJS15,5.6,1.5,5.9,1.5,7.75,3.45,6.65,3.65
DAFJS16,6.2,1.3,6.9,1.8,6.65,3.55,6.25,3.35
DAFJS17,5.9,3.15,6.05,4.9,4.0,4.3,3.05,4.65
DAFJS18,5.45,4.9,5.1,6.35,3.95,4.2,1.7,4.35
DAFJS19,5.75,1.55,5.85,1.55,7.1,3.7,6.75,3.75
DAFJS20,6.85,2.15,6.5,1.8,7.1,3.35,4.8,3.45
DAFJS21,5.7,2.35,6.55,2.65,6.45,3.2,6.4,2.7
DAFJS22,7.2,2.6,6.85,2.25,6.65,2.25,4.9,3.3
DAFJS23,6.0,1.7,6.45,1.7,6.35,3.05,6.9,3.85
DAFJS24,5.35,1.65,6.35,1.45,7.05,3.75,6.4,4.0
DAFJS25,5.7,1.4,5.75,1.6,7.8,3.5,6.75,3.5
DAFJS26,6.05,1.55,5.35,1.45,7.2,3.6,7.3,3.5
DAFJS27,6.35,1.5,5.8,1.55,7.0,3.8,6.85,3.15
DAFJS28,5.65,1.5,6.15,1.7,7.2,3.3,6.95,3.55
DAFJS29,6.5,1.45,5.8,1.9,6.7,3.2,6.9,3.55
DAFJS30,6.2,1.65,5.95,1.4,6.5,3.95,6.9,3.45
