Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
bom_deep_10_3_10_5_No1,5.75,2.05,5.45,1.4,7.2,4.25,5.7,4.2
bom_deep_10_3_10_5_No2,3.45,3.9,4.65,3.45,6.3,4.8,4.65,4.8
bom_deep_10_3_15_5_No1,5.6,2.3,5.7,2.7,6.3,3.5,7.4,2.5
bom_deep_10_3_15_5_No2,6.1,2.8,6.3,1.7,6.3,2.6,7.2,3.0
bom_deep_10_5_10_5_No1,4.6,1.7,3.1,1.3,7.6,7.4,4.5,5.8
bom_deep_10_5_10_5_No2,4.6,1.6,3.0,1.4,7.0,7.2,4.4,6.8
bom_deep_10_5_20_5_No1,5.9,5.2,1.0,2.45,7.4,7.5,2.9,3.65
bom_deep_10_5_20_5_No2,6.45,2.6,5.8,2.8,6.35,2.3,7.1,2.6
bom_deep_10_5_30_15_No1,4.4,1.8,3.0,1.2,6.5,7.3,4.6,7.2
bom_deep_10_5_30_15_No2,4.3,1.5,3.1,1.5,7.4,7.3,4.8,6.1
bom_deep_6_3_16_4_No1,4.0,5.6,4.9,4.4,5.6,3.8,2.9,4.8
bom_deep_6_3_16_4_No2,3.2,4.0,3.4,3.9,6.3,5.0,5.9,4.3
bom_deep_6_4_40_15_No1,7.0,5.0,1.0,3.2,8.0,6.0,2.0,3.8
bom_deep_6_4_40_15_No2,6.6,3.6,1.3,2.6,8.0,6.4,2.5,5.0
bom_deep_6_5_10_5_No1,4.2,5.6,4.6,4.7,3.2,4.4,5.0,4.3
bom_deep_6_5_10_5_No2,4.5,4.8,4.5,4.3,3.6,3.9,5.0,5.4
bom_deep_6_5_20_10_No1,3.6,1.3,3.4,1.7,6.7,7.0,5.7,6.6
bom_deep_6_5_20_10_No2,5.9,1.7,3.0,1.7,8.0,7.0,3.6,5.1
bom_deep_6_5_30_10_No1,3.8,1.6,3.7,1.4,6.85,5.5,7.25,5.9
bom_deep_6_5_30_10_No2,4.5,2.2,4.4,2.6,7.3,4.3,5.4,5.3
bom_deep_6_5_30_15_No1,4.6,3.4,5.8,2.6,5.2,3.7,7.0,3.7
bom_deep_6_5_30_15_No2,5.8,3.5,4.5,3.2,4.8,4.0,6.3,3.9
bom_deep_7_3_10_5_No1,5.7,3.95,5.2,4.05,3.5,4.75,5.65,3.2
bom_deep_7_3_10_5_No2,4.6,1.6,3.7,1.4,7.45,5.35,7.0,4.9
bom_deep_7_3_15_5_No1,3.6,4.9,3.8,4.3,4.2,6.2,3.1,5.9
bom_deep_7_3_15_5_No2,5.0,1.5,3.6,1.6,7.8,4.8,7.0,4.7
bom_deep_7_4_16_4_No1,6.75,1.7,6.65,1.65,6.6,3.5,5.65,3.5
bom_deep_7_4_16_4_No2,4.0,1.6,3.3,1.5,7.4,5.8,7.0,5.4
bom_deep_7_5_10_5_No1,4.9,2.9,1.2,2.0,7.4,7.5,4.4,5.7
bom_deep_7_5_10_5_No2,4.6,3.2,1.0,2.1,7.4,7.5,4.3,5.9
bom_deep_7_5_30_15_No1,5.5,2.4,4.6,3.0,5.9,3.8,7.4,3.4
bom_deep_7_5_30_15_No2,4.4,1.8,5.7,3.3,7.0,4.0,6.0,3.8
bom_deep_8_3_16_4_No1,5.4,3.5,5.4,4.6,5.5,3.0,4.9,3.7
bom_deep_8_3_16_4_No2,4.1,4.8,5.0,5.6,4.4,4.5,3.3,4.3
bom_deep_8_3_20_5_No1,5.6,3.25,5.45,4.0,5.2,3.4,6.05,3.05
bom_deep_8_3_20_5_No2,4.5,4.6,5.6,3.9,4.0,3.5,4.9,5.0
bom_deep_8_4_40_15_No1,5.0,7.0,1.1,3.25,6.0,8.0,1.9,3.75
bom_deep_8_4_40_15_No2,5.0,7.0,1.0,3.4,6.0,8.0,2.0,3.6
bom_deep_8_5_10_5_No1,6.0,4.7,1.5,1.5,7.3,7.7,3.0,4.3
bom_deep_8_5_10_5_No2,6.0,4.9,1.7,1.3,7.2,7.8,3.0,4.1
bom_deep_8_5_30_15_No1,6.2,4.1,5.6,4.7,5.5,2.7,4.7,2.5
bom_deep_8_5_30_15_No2,4.5,4.7,5.5,3.0,5.9,2.7,5.2,4.5
bom_deep_9_3_16_4_No1,2.95,6.0,3.7,4.2,2.5,6.4,3.95,6.3
bom_deep_9_3_16_4_No2,3.4,1.7,3.6,1.3,6.9,6.7,6.7,5.7
bom_deep_9_4_40_15_No1,5.0,6.0,1.2,3.4,7.0,8.0,1.8,3.6
bom_deep_9_4_40_15_No2,5.0,6.0,1.0,2.9,7.0,8.0,2.2,3.9
bom_deep_9_5_10_5_No1,5.8,3.4,1.4,1.7,7.2,7.8,3.5,5.2
bom_deep_9_5_10_5_No2,4.9,3.0,1.9,1.2,7.2,7.8,4.1,5.9
bom_deep_9_5_30_15_No1,4.8,1.7,2.5,1.9,6.6,7.6,4.1,6.8
bom_deep_9_5_30_15_No2,4.7,1.6,2.8,1.6,6.4,7.4,4.3,7.2
