Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
P1,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P10,4.55,5.35,4.15,5.35,4.15,4.15,4.15,4.15
P11,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P12,4.05,3.4,4.4,3.4,7.0,3.4,6.95,3.4
P13,5.8,2.85,6.0,2.85,4.05,5.2,4.8,4.45
P14,4.4,4.4,4.8,4.4,4.4,4.4,4.4,4.8
P15,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P16,5.3,4.1,4.5,4.1,4.5,4.1,5.3,4.1
P17,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P18,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P19,4.05,3.05,3.6,3.05,6.6,4.4,7.15,4.1
P2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P20,3.65,3.55,3.85,3.1,4.25,6.65,4.65,6.3
P21,3.65,5.25,3.65,6.85,4.45,3.65,4.85,3.65
P22,3.2,4.35,3.15,4.8,3.95,6.05,4.85,5.65
P23,3.7,1.55,4.1,1.55,5.7,7.05,5.75,6.6
P24,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P25,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P26,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P27,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P28,5.55,3.55,4.75,3.55,3.55,6.35,3.95,4.75
P3,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P7,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
P8,4.65,1.95,5.9,1.95,7.0,4.45,6.35,3.75
P9,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
