Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
la01.fjs,3.8,5.45,3.5,4.45,3.75,4.3,4.65,6.1
la02.fjs,4.3,5.7,3.55,5.1,3.9,4.7,3.95,4.8
la03.fjs,3.85,2.75,5.3,3.15,5.3,5.5,4.6,5.55
la04.fjs,3.4,4.05,4.9,3.3,4.9,4.8,5.55,5.1
la05.fjs,5.4,4.05,3.3,6.25,4.85,4.85,3.8,3.5
la06.fjs,3.7,5.25,2.75,4.85,3.6,5.55,4.2,6.1
la07.fjs,3.45,6.45,3.4,4.2,4.35,5.0,3.35,5.8
la08.fjs,3.65,5.15,3.75,4.85,4.4,4.95,4.05,5.2
la09.fjs,4.3,4.8,2.85,5.75,3.85,4.9,4.2,5.35
la10.fjs,4.15,4.95,4.15,4.5,4.95,4.55,3.85,4.9
la11.fjs,3.4,5.5,2.6,5.7,4.5,4.85,4.5,4.95
la12.fjs,3.25,4.45,3.25,4.85,3.25,6.45,4.45,6.05
la13.fjs,3.3,5.2,3.3,6.55,4.05,5.1,4.05,4.45
la14.fjs,2.9,6.1,3.3,4.5,4.5,4.9,4.5,5.3
la15.fjs,3.55,5.55,3.95,4.75,3.2,5.15,3.95,5.9
la16.fjs,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
la17.fjs,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
la18.fjs,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
la19.fjs,4.85,4.05,4.35,4.05,5.35,4.05,5.25,4.05
la20.fjs,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
la21.fjs,5.6,1.3,5.75,1.7,7.75,3.55,6.85,3.5
la22.fjs,6.6,1.6,5.1,1.4,7.7,3.55,6.4,3.65
la23.fjs,6.8,1.5,4.35,1.5,7.75,4.05,6.45,3.6
la24.fjs,6.6,1.45,5.85,1.55,7.2,3.6,6.2,3.55
la25.fjs,6.0,1.8,6.2,1.3,7.4,3.65,6.4,3.25
la26.fjs,5.8,1.3,4.7,1.7,8.0,4.05,6.4,4.05
la27.fjs,6.8,1.45,3.5,1.55,8.0,4.7,5.85,4.15
la28.fjs,6.5,1.55,3.65,1.45,7.9,4.9,6.3,3.75
la29.fjs,6.45,1.35,3.75,1.65,8.0,4.2,5.7,4.9
la30.fjs,6.55,1.4,3.85,1.6,7.85,4.4,6.45,3.9
la31.fjs,5.1,1.75,2.95,1.3,8.0,5.8,4.5,6.6
la32.fjs,5.6,1.75,2.35,1.9,7.8,6.5,4.0,6.1
la33.fjs,5.8,1.8,2.9,1.35,8.0,6.55,4.25,5.35
la34.fjs,5.3,1.7,3.0,1.45,8.0,6.2,4.2,6.15
la35.fjs,5.05,1.6,3.2,1.4,8.0,6.55,4.2,6.0
la36.fjs,7.2,3.15,3.15,3.15,7.8,5.25,3.15,3.15
la37.fjs,7.1,2.5,2.5,2.5,7.9,6.0,2.5,5.0
la38.fjs,6.1,3.75,3.75,3.75,7.4,3.75,3.75,3.75
la39.fjs,7.0,3.0,3.0,3.0,8.0,6.0,3.0,3.0
la40.fjs,5.95,3.75,3.75,3.75,7.55,3.75,3.75,3.75
bom_fjssp_10_5_10_50_10_No1,3.8,4.75,5.5,3.75,5.5,4.2,5.4,3.1
bom_fjssp_10_5_10_50_10_No2,4.9,4.6,4.1,4.9,4.5,4.6,4.6,3.8
bom_fjssp_10_5_15_50_10_No1,5.0,4.2,3.9,3.9,4.6,4.6,5.2,4.6
bom_fjssp_15_5_10_50_10_No1,5.3,4.2,6.1,4.9,3.2,3.4,4.4,4.5
bom_fjssp_15_5_10_50_10_No2,3.5,5.5,4.2,4.7,3.8,4.3,5.1,4.9
bom_fjssp_1_5_8_60_10_No1,3.6,5.3,4.5,4.4,4.6,5.6,4.2,3.8
bom_fjssp_1_5_8_60_10_No2,4.2,4.3,3.5,5.8,4.0,5.0,4.2,5.0
bom_fjssp_1_6_8_60_10_No1,4.4,5.7,3.4,3.9,5.0,4.9,4.9,3.8
bom_fjssp_1_6_8_60_10_No2,6.4,4.0,5.4,2.5,6.1,2.7,5.3,3.6
bom_fjssp_1_7_7_60_10_No1,4.5,6.1,4.2,4.3,3.5,4.1,3.9,5.4
