Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
bom_mix_3_4_9_100_30_No1,3.8,3.6,5.3,4.4,5.6,4.2,5.1,4.0
bom_mix_3_4_9_100_30_No2,6.15,3.3,4.8,2.6,6.9,3.5,4.95,3.8
bom_mix_4_5_8_100_30_No1,4.8,3.4,4.7,2.9,5.6,5.1,5.2,4.3
bom_mix_4_5_8_100_30_No2,5.4,4.8,5.1,3.7,4.3,4.2,4.9,3.6
bom_mix_5_4_5_100_30_No1,3.7,4.7,4.6,3.0,4.4,5.7,4.2,5.7
bom_mix_5_4_5_100_30_No2,4.3,4.5,4.6,4.7,5.5,4.8,3.9,3.7
bom_mix_2_10_5_80_30_No1,4.1,5.6,3.9,3.7,4.3,5.1,4.9,4.4
bom_mix_2_10_5_80_30_No2,5.2,3.6,5.8,4.2,4.4,4.3,5.0,3.5
bom_mix_2_5_8_80_30_No1,6.6,3.0,5.5,3.1,5.0,3.9,6.1,2.8
bom_mix_2_5_8_80_30_No2,6.4,1.9,5.6,3.2,5.8,3.6,6.9,2.6
bom_mix_3_8_3_80_30_No1,4.4,3.4,3.5,4.2,6.8,4.5,4.8,4.4
bom_mix_3_8_3_80_30_No2,4.3,2.9,5.6,5.0,4.8,5.0,5.2,3.2
bom_mix_4_6_4_80_30_No1,4.4,3.7,5.2,3.6,5.4,2.5,6.3,4.9
bom_mix_4_6_4_80_30_No2,4.65,1.4,4.25,1.8,5.4,6.0,6.05,6.45
bom_mix_2_5_10_80_20_No1,3.1,4.8,3.9,6.1,4.5,5.5,3.6,4.5
bom_mix_2_5_10_80_20_No2,5.3,4.2,5.3,3.2,4.3,4.3,5.9,3.5
bom_mix_3_4_6_80_20_No1,6.0,4.9,3.6,3.6,5.0,5.0,4.6,3.3
bom_mix_3_4_6_80_20_No2,5.4,5.2,3.9,4.9,3.6,4.4,4.3,4.3
bom_mix_4_2_10_80_20_No1,1.9,5.3,5.5,4.5,3.6,5.6,3.9,5.7
bom_mix_4_2_10_80_20_No2,5.6,3.3,6.0,2.0,6.3,3.5,6.0,3.3
bom_mix_4_3_10_80_20_No1,4.0,5.7,4.1,4.5,4.4,4.4,4.3,4.6
bom_mix_4_3_10_80_20_No2,5.5,3.6,4.1,4.7,4.5,3.5,4.7,5.4
bom_mix_4_3_6_80_30_No1,3.4,3.0,5.5,4.9,5.4,4.3,4.2,5.3
bom_mix_4_3_6_80_30_No2,4.0,5.3,4.9,3.3,4.6,3.8,5.3,4.8
bom_mix_5_2_5_80_30_No1,5.5,3.7,4.6,3.8,4.5,4.1,5.6,4.2
bom_mix_5_2_5_80_30_No2,4.3,4.8,3.9,4.8,3.6,5.6,4.3,4.7
bom_mix_7_2_4_80_30_No1,5.2,4.35,4.75,4.35,4.1,4.9,4.7,3.65
bom_mix_7_2_4_80_30_No2,4.0,2.2,4.2,2.1,6.7,3.9,7.3,5.6
bom_mix_2_8_6_60_10_No1,4.8,4.2,4.0,4.5,4.9,5.1,4.0,4.5
bom_mix_2_8_6_60_10_No2,4.7,3.65,4.7,3.85,4.3,4.45,5.15,5.2
bom_mix_3_5_5_60_10_No1,3.4,4.5,5.6,4.5,4.5,4.4,5.0,4.1
bom_mix_3_5_5_60_10_No2,3.4,5.0,3.1,5.5,4.1,5.0,4.8,5.1
bom_mix_5_3_5_60_10_No1,4.8,4.9,4.8,3.5,4.9,3.7,4.3,5.1
bom_mix_5_3_5_60_10_No2,4.5,4.4,5.5,3.5,4.0,2.9,5.7,5.5
bom_mix_6_2_5_60_10_No1,5.6,2.2,5.1,4.3,5.6,5.6,3.6,4.0
bom_mix_6_2_5_60_10_No2,4.2,4.4,4.65,2.7,5.5,5.8,5.1,3.65
bom_mix_7_3_4_60_10_No1,3.5,1.6,4.2,1.4,5.5,7.2,5.2,7.4
bom_mix_7_3_4_60_10_No2,3.3,5.1,4.2,4.3,4.9,7.2,2.9,4.1
bom_mix_2_3_10_50_10_No1,3.1,4.7,4.7,5.9,4.2,5.4,3.4,4.6
bom_mix_2_3_10_50_10_No2,3.6,4.3,5.0,4.1,4.7,4.9,4.1,5.3
bom_mix_2_3_7_50_10_No1,5.4,5.3,4.0,4.5,4.0,4.2,4.4,4.2
bom_mix_2_3_7_50_10_No2,3.5,4.5,4.2,5.2,3.9,4.6,4.0,6.1
bom_mix_2_5_7_50_10_No1,4.7,5.1,3.0,3.8,4.4,4.8,4.7,5.5
bom_mix_2_5_7_50_10_No2,4.35,5.1,5.4,5.6,4.05,3.7,3.9,3.9
bom_mix_3_3_10_50_10_No1,5.7,4.2,5.2,3.1,4.4,3.8,5.6,4.0
bom_mix_3_3_10_50_10_No2,3.4,5.3,4.4,5.65,2.5,5.8,2.8,6.15
bom_mix_2_5_7_40_10_No1,3.8,3.5,4.6,3.9,4.4,5.2,5.1,5.5
bom_mix_2_5_7_40_10_No2,3.4,4.5,4.8,3.5,3.9,5.4,5.2,5.3
bom_mix_6_2_4_40_10_No1,5.3,3.5,4.9,3.4,5.6,4.1,5.1,4.1
bom_mix_6_2_4_40_10_No2,5.3,3.4,5.4,4.6,4.7,3.9,4.7,4.0
