Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
bom_wide_2_10_10_5_No1,5.8,1.8,6.65,2.6,5.5,3.5,6.7,3.45
bom_wide_2_10_10_5_No2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
bom_wide_2_10_30_15_No1,3.5,4.65,5.25,5.25,5.3,2.95,3.55,5.55
bom_wide_2_10_30_15_No2,5.1,4.3,5.0,5.1,3.95,5.1,3.9,3.55
bom_wide_2_11_13_5_No1,5.3,1.35,6.3,1.75,7.4,3.6,7.0,3.3
bom_wide_2_11_13_5_No2,5.1,2.75,6.75,3.25,5.9,3.0,6.3,2.95
bom_wide_2_7_20_10_No1,6.05,2.6,6.75,1.9,7.3,2.45,5.9,3.05
bom_wide_2_7_20_10_No2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
bom_wide_2_7_20_5_No1,5.15,3.55,5.15,3.55,5.15,3.55,6.35,3.55
bom_wide_2_7_20_5_No2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
bom_wide_2_9_10_5_No1,6.0,3.05,6.05,2.5,6.85,2.4,6.65,2.5
bom_wide_2_9_10_5_No2,7.05,1.55,5.45,2.95,6.15,3.3,5.9,3.65
bom_wide_3_10_10_5_No1,4.35,2.05,5.55,2.1,7.0,5.05,6.1,3.8
bom_wide_3_10_10_5_No2,4.65,1.45,5.25,1.55,6.75,4.4,6.75,5.2
bom_wide_3_10_30_15_No1,6.2,2.2,5.7,2.2,5.9,2.9,7.3,3.6
bom_wide_3_10_30_15_No2,6.0,1.5,5.0,1.8,6.9,3.5,7.2,4.1
bom_wide_3_5_16_4_No1,6.0,3.85,5.3,4.5,4.2,4.55,4.15,3.45
bom_wide_3_5_16_4_No2,6.55,2.15,5.85,3.2,6.6,3.2,6.45,2.0
bom_wide_3_7_10_5_No1,4.3,1.75,4.1,1.6,7.1,4.85,7.3,5.0
bom_wide_3_7_15_5_No1,4.8,1.7,5.0,1.5,7.4,4.25,7.4,3.95
bom_wide_3_8_15_5_No1,6.3,1.5,5.1,1.5,8.0,3.7,6.6,3.3
bom_wide_3_8_15_5_No2,5.5,3.7,3.95,3.6,6.2,3.7,5.45,3.9
bom_wide_3_9_15_5_No1,6.0,1.4,5.5,1.6,7.4,3.6,7.1,3.4
bom_wide_3_9_15_5_No2,6.2,1.7,5.7,1.3,7.4,3.3,6.5,3.9
bom_wide_4_10_10_5_No1,3.7,1.7,3.7,1.3,7.5,5.2,7.4,5.5
bom_wide_4_10_10_5_No2,4.2,1.3,3.4,1.7,7.4,5.5,7.4,5.1
bom_wide_4_10_30_15_No1,4.9,2.3,5.6,1.5,7.1,4.7,6.1,3.8
bom_wide_4_10_30_15_No2,4.1,2.5,4.5,1.7,6.9,5.3,7.2,3.8
bom_wide_4_6_16_4_No1,6.65,2.2,5.95,1.65,7.35,2.95,6.0,3.25
bom_wide_4_6_16_4_No2,5.0,2.1,5.7,2.5,6.4,3.65,7.05,3.6
bom_wide_4_6_40_15_No1,3.0,4.5,1.4,4.1,6.0,7.4,2.1,7.5
bom_wide_4_6_40_15_No2,3.0,4.7,1.0,4.4,5.9,8.0,2.0,7.0
bom_wide_4_7_12_5_No1,4.7,1.7,3.0,1.3,7.2,7.8,4.5,5.8
bom_wide_4_7_12_5_No2,5.0,6.6,1.1,2.1,6.4,8.0,2.9,3.9
bom_wide_4_8_10_5_No1,4.9,2.5,1.8,1.7,7.1,7.9,4.4,5.7
bom_wide_4_8_10_5_No2,2.6,1.8,3.5,2.1,7.2,5.5,7.4,5.9
bom_wide_5_10_10_5_No1,6.0,4.9,1.3,1.7,7.6,7.4,3.0,4.1
bom_wide_5_10_10_5_No2,6.0,4.6,1.5,1.5,7.9,7.1,3.0,4.4
bom_wide_5_10_30_15_No1,4.5,2.0,2.5,1.6,6.7,7.2,4.7,6.8
bom_wide_5_10_30_15_No2,5.0,1.9,2.8,1.7,6.6,7.0,3.6,7.4
bom_wide_5_3_10_5_No1,5.7,5.3,1.4,1.6,7.9,7.1,3.0,4.0
bom_wide_5_3_10_5_No2,5.6,5.4,1.2,1.9,7.0,8.0,3.1,3.8
bom_wide_5_4_16_4_No1,3.8,4.55,4.95,5.25,3.8,5.35,3.0,5.3
bom_wide_5_4_16_4_No2,4.4,1.5,5.7,1.8,6.7,3.6,7.7,4.6
bom_wide_5_6_20_4_No1,6.05,1.7,5.15,1.3,5.9,4.1,7.05,4.75
bom_wide_5_6_20_4_No2,3.8,1.6,2.8,1.8,6.2,6.7,6.6,6.5
bom_wide_5_8_20_5_No1,6.4,4.9,1.1,2.1,8.0,6.6,2.8,4.1
bom_wide_5_8_20_5_No2,5.8,1.4,4.9,1.6,7.7,3.9,7.2,3.5
bom_wide_5_9_15_5_No1,6.0,3.1,1.6,1.4,7.5,7.5,3.9,5.0
bom_wide_5_9_15_5_No2,6.5,5.0,1.0,2.8,8.0,6.5,2.2,4.0
