Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
YFJS01,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
YFJS02,4.45,4.85,4.45,4.45,4.45,4.45,4.45,4.45
YFJS03,4.3,4.7,4.3,5.1,4.3,4.7,4.3,4.3
YFJS04,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
YFJS05,3.65,2.9,6.1,2.6,5.6,4.65,6.4,4.1
YFJS06,5.0,2.85,5.25,2.9,4.8,5.65,4.0,5.55
YFJS07,4.5,3.05,5.7,2.55,5.95,3.8,5.1,5.35
YFJS08,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
YFJS09,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
YFJS10,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
YFJS11,4.95,4.2,4.6,2.85,5.3,4.65,4.95,4.5
YFJS12,5.75,1.8,5.25,2.05,6.75,4.95,6.4,3.05
YFJS13,4.6,4.2,4.6,4.2,5.0,4.2,4.6,4.6
YFJS14,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
YFJS15,7.9,2.65,4.15,2.65,6.35,3.2,6.2,2.9
YFJS16,7.5,1.65,6.15,1.5,6.4,3.45,5.95,3.4
YFJS17,6.9,1.5,5.2,1.5,7.7,4.15,4.8,4.25
YFJS18,6.25,1.75,4.75,1.75,7.8,4.65,5.05,4.0
YFJS19,7.3,1.5,3.85,1.5,7.7,4.45,5.1,4.6
YFJS20,6.7,1.4,4.3,1.6,8.0,4.75,4.5,4.75
