Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
100_2_4_173,11572.5,11555.2,11581.5,11545.5,11539.0,11527.4,11538.6,11530.3
100_2_6_187,11894.1,11844.4,11897.3,11841.4,11866.2,11827.8,11857.1,11826.9
100_4_2_203,11345.3,11341.4,11355.8,11348.2,11337.5,11340.2,11328.4,11346.3
100_4_4_216,12247.6,12237.5,12234.6,12234.5,12242.9,12355.3,12257.3,12345.7
100_4_6_225,10972.9,10930.0,10970.3,10934.2,10996.5,11167.8,10995.3,11183.7
100_4_8_240,12070.7,12012.9,12078.1,12016.0,12101.8,12392.3,12115.2,12382.4
150_6_4_416,17119.5,17021.4,17118.6,17029.4,17103.1,17462.3,17117.2,17455.8
150_8_2_444,17658.8,17666.6,17655.1,17698.2,17567.9,17678.4,17567.2,17670.7
150_8_6_466,17298.2,17204.3,17285.7,17258.7,17142.3,17681.2,17182.4,17702.6
200_6_4_575,22598.4,22506.1,22573.0,22530.1,22508.9,22831.0,22525.9,22818.1
200_6_8_595,23564.6,23520.7,23625.1,23494.1,23528.1,24364.0,23486.7,24348.0
250_6_2_721,27917.2,28376.6,27929.9,28175.9,27686.6,27811.2,27671.7,27775.8
250_8_2_764,28827.8,29843.3,28839.1,29770.7,28313.0,28405.4,28317.3,28362.7
250_8_6_782,28783.7,31133.2,28808.9,29468.0,28381.6,28647.2,28408.7,28609.7
300_2_2_806,33294.9,33286.9,33295.5,33284.6,33280.2,33283.8,33282.7,33285.8
300_4_4_860,33069.6,32988.5,33120.1,32983.2,33069.6,33273.3,33087.7,33304.6
300_6_4_897,34824.7,36613.2,34886.2,35508.0,34352.6,34551.0,34306.4,34554.3
300_6_6_907,35048.1,36933.3,35036.7,36173.0,34686.0,34964.4,34690.3,35001.4
50_2_2_1,5659.1,5661.1,5656.9,5659.3,5650.9,5651.6,5651.1,5651.5
50_2_2_2,6049.8,6046.7,6053.5,6043.5,6035.1,6035.6,6035.1,6036.0
50_2_4_11,5699.1,5680.1,5697.1,5677.4,5668.7,5663.5,5669.5,5662.9
50_2_4_12,6091.7,6068.0,6098.8,6069.8,6055.1,6051.3,6058.6,6051.0
50_2_6_21,5753.9,5711.1,5760.4,5717.4,5714.2,5693.0,5709.2,5693.7
50_2_6_22,6164.1,6117.8,6170.2,6113.8,6104.7,6089.4,6111.1,6086.6
50_2_8_31,5813.9,5760.5,5819.7,5770.7,5766.7,5723.0,5765.6,5729.8
50_2_8_32,6234.1,6151.6,6224.9,6161.2,6172.1,6123.5,6169.9,6128.6
50_4_2_41,6132.8,6124.4,6134.7,6131.2,6116.3,6117.8,6117.3,6117.5
50_4_2_42,5866.0,5864.8,5866.0,5861.0,5847.8,5847.4,5848.3,5849.4
50_4_4_51,6186.4,6168.6,6186.3,6166.9,6168.0,6159.1,6169.4,6158.3
50_4_4_52,5917.3,5908.2,5931.7,5919.2,5897.6,5903.0,5903.1,5904.0
50_4_6_61,6257.1,6233.7,6259.6,6226.0,6234.9,6213.8,6240.8,6221.9
50_4_6_62,6001.5,5969.6,5988.8,5973.5,5983.6,5964.4,5979.0,5972.5
50_4_8_71,6377.1,6337.6,6390.2,6325.0,6366.7,6347.1,6372.1,6346.2
50_4_8_72,6329.8,6282.5,6335.8,6301.6,6328.8,6293.5,6328.7,6298.6
50_6_2_81,6315.4,6302.7,6305.7,6310.1,6292.2,6297.8,6295.0,6299.1
50_6_2_82,6190.0,6190.8,6185.5,6183.4,6175.4,6186.9,6177.4,6185.9
50_6_4_91,6382.1,6372.1,6383.1,6376.7,6380.6,6446.5,6388.7,6447.5
50_6_4_92,6258.5,6249.7,6255.9,6245.1,6250.5,6323.3,6262.5,6323.8
50_6_6_102,6325.8,6319.8,6324.3,6308.7,6342.1,6466.7,6334.8,6475.6
50_6_6_103,5999.6,5983.6,5990.9,5982.8,6003.5,6102.6,5999.0,6088.7
50_6_8_111,6671.1,6653.9,6673.3,6659.0,6715.6,6906.9,6698.1,6901.6
50_6_8_112,6531.1,6532.6,6551.7,6519.7,6584.3,6760.9,6578.5,6733.6
50_8_2_122,6293.2,6295.8,6295.5,6289.4,6280.8,6308.9,6279.1,6313.3
50_8_2_123,6556.5,6548.3,6560.1,6557.5,6539.8,6574.8,6536.7,6576.1
50_8_4_131,6286.5,6290.7,6297.5,6286.2,6303.4,6476.7,6311.3,6453.9
50_8_4_132,6371.0,6369.0,6371.3,6360.2,6362.4,6534.8,6376.4,6540.1
50_8_6_141,6203.5,6203.0,6205.9,6201.0,6236.2,6525.5,6232.7,6474.0
50_8_6_142,6447.4,6439.6,6446.8,6442.9,6463.5,6738.1,6475.8,6714.0
50_8_8_153,6815.5,6798.8,6808.5,6809.2,6851.2,7229.2,6845.3,6941.0
50_8_8_154,6509.1,6500.8,6525.4,6485.4,6544.5,6921.9,6547.0,6862.0
