Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
100_2_4_173,0.7792805235161481,0.5153184189788359,0.8719489114816035,0.33287428063732616,0.23347557149587125,0.038018188773683737,0.22253935781960635,0.10365790684688694
100_2_6_187,0.8812765042039983,0.2876988665527135,0.913926073926074,0.24294467680345494,0.5304569940659966,0.06446110454742895,0.4484631095803401,0.05525200590470257
100_4_2_203,0.5970149461437837,0.5059769660623157,0.815375323767414,0.6896864940320635,0.3803760198730134,0.4540163188732766,0.08665570514594559,0.647727578789557
100_4_4_216,0.17165566705777652,0.10101478673859635,0.07858579624646456,0.07891800923609413,0.14413218230682698,0.9602082558640028,0.24960700903852895,0.896143994703128
100_4_6_225,0.1804401375702867,0.014786080440305974,0.16670142359952794,0.03009831273664932,0.2684618574666974,0.9241548387562496,0.25998042201390115,0.9843936081890708
100_4_8_240,0.18778598644150898,0.0479417781227363,0.20735111355467742,0.056050768849472465,0.2669116525000834,0.9797143013169078,0.29938110739349005,0.9544237427017463
150_6_4_416,0.2249676820564989,0.012877401394669386,0.22186236234499898,0.027994272047109435,0.18363434874771362,0.9353264975813932,0.2179875423107358,0.9283354391200147
150_8_2_444,0.6281763052705542,0.6771299572993149,0.6078785058310359,0.8471869887403354,0.08035653188036443,0.7507706118111998,0.0652878083415527,0.7056313517536117
150_8_6_466,0.2718726425364329,0.12449664202034505,0.25048802098090184,0.20663896118725572,0.026243085989772263,0.9128197026416178,0.08858681279893692,0.9327288401614636
200_6_4_575,0.35927950338055015,0.1125722319333728,0.29233081234061925,0.1635556183928441,0.11920417222298078,0.9112235012096477,0.1436001916723709,0.89368484570759
200_6_8_595,0.119018280081301,0.07316620307124203,0.17853432460883722,0.045508571484707494,0.0788020615946344,0.9390370828683665,0.0382004117969789,0.9294921893637053
250_6_2_721,0.35707752072090737,1.0,0.38066196313753514,0.7198510429654174,0.02996167965118595,0.20570802613994318,0.008826970443349754,0.15466219189594715
250_8_2_764,0.3396545722995092,0.9496772284559547,0.3432481596069536,0.9180966732033168,0.01798378814136177,0.07454381594532536,0.020838380600629293,0.05254601695531672
250_8_6_782,0.174006336249619,1.0,0.18401304931772886,0.41850528632682815,0.03514842384349842,0.12723822345679925,0.04237457275191061,0.11224380025658875
300_2_2_806,0.6979723502304147,0.4792077456593586,0.739724025974026,0.36804607131220035,0.2584930526462784,0.3762914862914863,0.33527073732718893,0.45049969743518126
300_4_4_860,0.26367787255490355,0.041602223904589994,0.40543055237172887,0.028689399073309925,0.26256379717146316,0.8278782373293488,0.31282508337554316,0.9023412515442624
300_6_4_897,0.2403034525926328,1.0,0.26547976348232244,0.5317094782058358,0.037841282696106614,0.12317355507937955,0.01795759330834144,0.12382649680093741
300_6_6_907,0.1773931087653468,1.0,0.17391799359797705,0.6736883950808965,0.02159400776481542,0.14173281004082636,0.02013377184559604,0.15972210561109138
50_2_2_1,0.6459224598930481,0.7800730994152046,0.5062932732901773,0.67240027988867,0.03850662194702443,0.09590213278293773,0.05930207649247896,0.0853030303030303
50_2_2_2,0.677867796691326,0.5329411764705883,0.8356166056166057,0.42396394455217984,0.0047619047619047615,0.02587301587301587,0.0047619047619047615,0.051460652637123225
50_2_4_11,0.9467408103592314,0.47739204353566056,0.8761540941328174,0.4076695021725817,0.2037984164957849,0.074760101010101,0.2409054268488759,0.0479173776640182
50_2_4_12,0.779051488962512,0.358539659479616,0.8900979179550609,0.3716395041715552,0.11901523405036288,0.06484790132415683,0.19502077969239537,0.0537396989495069
50_2_6_21,0.8718749293150964,0.2818201477881939,0.95032693001443,0.41401961437309004,0.3293327795001323,0.0551044142187135,0.2786824258485666,0.06366550464257623
50_2_6_22,0.8360964411053491,0.36046686694783747,0.898879359131979,0.30867407570245586,0.20388540269391348,0.04404566013032936,0.26827563535803917,0.010474231099768222
50_2_8_31,0.916994469711161,0.3797484587783533,0.9768320095745839,0.4912675870786348,0.4568272219242203,0.012798712614246593,0.44226677258009844,0.07977880570181815
50_2_8_32,0.9518193103573488,0.2607593692904694,0.8707447331599963,0.34344981263286656,0.4360812655975681,0.031853564596570336,0.4166956258363152,0.0783713526061758
50_4_2_41,0.7082347234201454,0.4165866141249772,0.8189440739440739,0.6680594266016262,0.09996512438967682,0.131918690070864,0.13219720452457026,0.14649399286227932
50_4_2_42,0.7341514591514592,0.7043091168091168,0.7418735711839161,0.5283825934688002,0.11334242067000688,0.11048940186871219,0.1433699946630981,0.1701395692775003
50_4_4_51,0.805123496317179,0.3783834219973861,0.8607005313982057,0.33967974210823537,0.3879842784626316,0.14097115716615288,0.39260343096509,0.11880512022708503
50_4_4_52,0.6078109089547769,0.43775082359988016,0.9127163821503445,0.663053496555855,0.14946656309274237,0.23744119372067485,0.2404275232105421,0.30998652291105117
50_4_6_61,0.8114807482782244,0.4599932591902783,0.9160142982731312,0.3403401793489782,0.49446459555659306,0.12833608945586267,0.5679593519019062,0.24515290309303914
50_4_6_62,0.7926178473254267,0.3560608499997479,0.5922217704388639,0.37914994561795556,0.5318286133344607,0.15473543669204912,0.5122109058884736,0.33481981433771746
50_4_8_71,0.7373771252048836,0.25365442303895175,0.8868199906367042,0.14922305764411029,0.6165035235238918,0.38033920346650785,0.6974848923020531,0.3892605706108148
