Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P10,0.1,0.3,0.0,0.3,0.0,0.0,0.0,0.0
P11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P12,0.08333333333333333,0.0,0.18333333333333332,0.0,0.6916666666666667,0.0,0.7166666666666666,0.0
P13,0.7,0.0,0.725,0.0,0.3,0.525,0.425,0.4
P14,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
P15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P16,0.3,0.0,0.1,0.0,0.1,0.0,0.3,0.0
P17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P19,0.15,0.0,0.05833333333333333,0.0,0.6166666666666666,0.21666666666666665,0.8416666666666668,0.16666666666666666
P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P20,0.4333333333333333,0.4,0.4666666666666666,0.3333333333333333,0.5,0.9,0.575,0.9
P21,0.0,0.4,0.0,0.8,0.2,0.0,0.3,0.0
P22,0.35,0.6,0.3,0.7,0.5,1.0,0.7,0.9
P23,0.33166666666666667,0.0,0.3672222222222222,0.0,0.7219444444444444,0.9152777777777779,0.7375,0.8488888888888889
P24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P28,0.5,0.0,0.3,0.0,0.0,0.7,0.1,0.3
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.41261904761904755,0.0,0.6369047619047619,0.0,0.8645238095238096,0.3857142857142857,0.700952380952381,0.2269047619047619
P9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
