Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
la01.fjs,0.45,0.675,0.35,0.5416666666666666,0.41666666666666663,0.5333333333333333,0.5666666666666667,0.8416666666666666
la02.fjs,0.5,0.75,0.3,0.65,0.41666666666666663,0.5333333333333333,0.41666666666666663,0.55
la03.fjs,0.4,0.15,0.65,0.25,0.6333333333333333,0.6333333333333333,0.4666666666666666,0.6333333333333333
la04.fjs,0.21666666666666665,0.36666666666666664,0.6,0.21666666666666665,0.5,0.5333333333333334,0.6333333333333333,0.5666666666666667
la05.fjs,0.6566666666666666,0.41666666666666663,0.27666666666666667,0.7916666666666666,0.5316666666666667,0.5650000000000001,0.4,0.3733333333333333
la06.fjs,0.31666666666666665,0.6833333333333333,0.13333333333333333,0.5833333333333333,0.26666666666666666,0.7166666666666666,0.4499999999999999,0.75
la07.fjs,0.26666666666666666,0.75,0.3,0.38333333333333336,0.4499999999999999,0.5333333333333333,0.33333333333333337,0.7333333333333333
la08.fjs,0.2,0.5,0.25,0.5,0.35,0.55,0.3,0.55
la09.fjs,0.5,0.65,0.15,0.8,0.4,0.55,0.45,0.7
la10.fjs,0.05,0.25,0.05,0.1,0.25,0.15,0.0,0.2
la11.fjs,0.3,0.75,0.1,0.8,0.5,0.6,0.5,0.65
la12.fjs,0.0,0.3,0.0,0.4,0.0,0.8,0.3,0.7
la13.fjs,0.15,0.55,0.15,0.85,0.3,0.55,0.3,0.4
la14.fjs,0.0,0.8,0.1,0.4,0.4,0.5,0.4,0.6
la15.fjs,0.05,0.55,0.15,0.35,0.0,0.45,0.15,0.6
la16.fjs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la17.fjs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la18.fjs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la19.fjs,0.2,0.0,0.025,0.0,0.3,0.0,0.25,0.0
la20.fjs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
la21.fjs,0.7391043024663715,0.027099567099567103,0.7193955150851703,0.059992287406080515,0.983594566353187,0.39744360684015856,0.8755170755170756,0.40384564031115755
la22.fjs,0.7250205943231797,0.046043236504430055,0.47705530997199724,0.026478433257238976,0.9793103448275862,0.3019913289049033,0.6680619177671556,0.34798670677908766
la23.fjs,0.8234549277513942,0.026692597463388534,0.3888017462176745,0.038587783460741716,0.9509852216748769,0.3253343069276666,0.7038111044383063,0.2851521758551757
la24.fjs,0.796452275794381,0.01888111888111888,0.7281407660717059,0.023798561869569558,0.9057027286439052,0.3220661490877709,0.7766628412201667,0.3231295493015257
la25.fjs,0.7860529214909691,0.039704930811783126,0.7430422452669011,0.040756302521008404,0.9615549401578815,0.31032116263655685,0.8532237051816214,0.2462205236704611
la26.fjs,0.5706391744067059,0.01064338886919532,0.44832234881761523,0.03689108898348028,1.0,0.44864355694562563,0.6178037369946556,0.3973381959321651
la27.fjs,0.7744590403211092,0.028630541871921183,0.3458332421091042,0.02275132275132275,1.0,0.46295967889071343,0.6424145228972815,0.43694179894179896
la28.fjs,0.6149990877577084,0.033466520707900016,0.27952586206896546,0.010162037037037035,0.9866666666666667,0.42333082466703154,0.5925986361977741,0.31900599799306695
la29.fjs,0.5799544429973953,0.0032258064516129032,0.2877103035463835,0.02539285714285714,1.0,0.3752414095371669,0.4720206621919454,0.3918510318573432
la30.fjs,0.691260487542248,0.00865530303030303,0.4092510677322383,0.03834812822108648,0.996875,0.42798360623451376,0.7148313658839974,0.4009314342685486
la31.fjs,0.3915334081123555,0.021516719148298096,0.12155369971159447,0.0035714285714285713,1.0,0.46550101944838795,0.34024739393160447,0.504020735599683
la32.fjs,0.4738443991807837,0.004,0.021623804494513878,0.008012820512820512,0.9714285714285713,0.6015747926114058,0.19952789862057593,0.5440847464257076
la33.fjs,0.45316260639944855,0.025546707678286623,0.14332034924140186,0.010263157894736842,1.0,0.5005183325446484,0.29337860969439916,0.3842393074761496
la34.fjs,0.41131545635381955,0.016666666666666666,0.11760011883541295,0.0,1.0,0.5415319693094629,0.3098602133870676,0.5534792167196259
la35.fjs,0.3678092438962004,0.01759568933481977,0.154112312807965,0.008712121212121213,1.0,0.5230713730713731,0.2584622503100764,0.507752573513443
la36.fjs,0.6425745618278187,0.0,0.0,0.0,0.9595454545454546,0.05987085395353355,0.0,0.0
la37.fjs,0.6801325200568946,0.0,0.0,0.0,0.9847457627118643,0.19600600221648584,0.0,0.04087930934458645
la38.fjs,0.3394729344729345,0.0,0.0,0.0,0.8014705882352942,0.0,0.0,0.0
la39.fjs,0.7421217921895025,0.0,0.0,0.0,1.0,0.19668809754055216,0.0,0.0
la40.fjs,0.29263648251062435,0.0,0.0,0.0,0.8545454545454545,0.0,0.0,0.0
bom_fjssp_10_5_10_50_10_No1,0.24170202756574022,0.41065515854995827,0.469679900012114,0.30874338635068216,0.371145489341512,0.2959867824910033,0.44198644665817843,0.20104634997217122
bom_fjssp_10_5_10_50_10_No2,0.6869658520198436,0.6162902176276993,0.5231093000890296,0.587484104753363,0.5556367996164558,0.5780656821645227,0.647433374082536,0.5172073825293811
bom_fjssp_10_5_15_50_10_No1,0.532551572606207,0.4310651513606675,0.3887964247145761,0.402511262914836,0.48170273613893794,0.4599182758211085,0.5764589083219781,0.4847563381579637
bom_fjssp_15_5_10_50_10_No1,0.5643460566119681,0.39468645050526646,0.5994878044903663,0.5262111155124475,0.2912815051465869,0.28239277758058406,0.42850320830803235,0.4093839069260886
bom_fjssp_15_5_10_50_10_No2,0.35117889555272014,0.5755780866495528,0.46959818379482704,0.5297094576461205,0.4445607602927931,0.4519772009180373,0.5181592878198344,0.5071661143694933
bom_fjssp_1_5_8_60_10_No1,0.29765015492642266,0.4187440014673869,0.36940881164673367,0.3722100716852541,0.3544299661407796,0.5859156351985827,0.3604182019791434,0.2859633337599715
bom_fjssp_1_5_8_60_10_No2,0.5134406728366391,0.478101205500357,0.42035000103750786,0.6971838575874553,0.505317136730582,0.5738377890375705,0.4543101379810473,0.6222741317349613
bom_fjssp_1_6_8_60_10_No1,0.4779854342102882,0.6230307877455243,0.3200552608867591,0.4081177461130402,0.5262467680303708,0.5295204233446151,0.547631675389105,0.38953483625278207
bom_fjssp_1_6_8_60_10_No2,0.8639905801402792,0.44438051747310714,0.7337649986075362,0.23743617056466265,0.8528989153416395,0.23450551481740164,0.7577288785125114,0.3446467389662485
bom_fjssp_1_7_7_60_10_No1,0.4273409368548893,0.6389506325433782,0.36035587630043864,0.42395767312969834,0.2992739578665149,0.4528090821488765,0.35217211525102343,0.5746869121778841
