Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
YFJS01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YFJS02,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
YFJS03,0.0,0.1,0.0,0.2,0.0,0.1,0.0,0.0
YFJS04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YFJS05,0.15592948717948718,0.023076923076923078,0.6142628205128206,0.0,0.4636217948717949,0.30086996336996336,0.653525641025641,0.2604166666666667
YFJS06,0.5833333333333333,0.2,0.6333333333333333,0.2833333333333333,0.5416666666666666,0.6416666666666666,0.4666666666666667,0.6166666666666666
YFJS07,0.469047619047619,0.1,0.6,0.0,0.7468253968253967,0.36190476190476184,0.6190476190476191,0.7063492063492063
YFJS08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YFJS09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YFJS10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YFJS11,0.675,0.5083333333333334,0.6,0.175,0.7,0.6083333333333333,0.675,0.575
YFJS12,0.6925595238095238,0.0,0.5732142857142858,0.05714285714285714,0.8235119047619047,0.5020833333333334,0.7645833333333334,0.25625
YFJS13,0.1,0.0,0.1,0.0,0.2,0.0,0.1,0.1
YFJS14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YFJS15,0.9966666666666667,0.0,0.068676889866406,0.0,0.3737540552793007,0.014731182795698924,0.22718150119710429,0.004545454545454545
YFJS16,0.9243532371243214,0.003883495145631068,0.6551105450964779,0.0,0.6805159782669095,0.09894404818438791,0.5757207547940508,0.10793431484280831
YFJS17,0.7505084122490845,0.0,0.4912678118362791,0.0,0.9304257983367867,0.24928388239565397,0.3438916758584786,0.2564910975370173
YFJS18,0.5436313636421473,0.0,0.3425113926167482,0.0,0.9706349206349207,0.1606882790447056,0.25570041311899216,0.17329316953522875
YFJS19,0.9092184821910971,0.017149104234531372,0.5160239794619403,0.018430189448765275,0.967140545336034,0.5704421928272839,0.5976436028259575,0.5770081077442484
YFJS20,0.7689126509728974,0.0031901178477599526,0.5545298582556061,0.01434287969739902,1.0,0.6160420335134231,0.6023207532656825,0.6298287274774609
